Assim, ﻿assim
como, como
o, o
dia, dia
em, em
que, que
o, o
homem, homem
chegou, chegou
à, à
Lua, lua
ou, ou
em, em
que, que
o, o
papa, papa
João, joão
Paulo, paulo
2º, 2º
sofreu, sofreu
um, um
atentado, atentado
,, ,
o, o
dia, dia
da, da
morte, mort
de, de
Ayrton, ayrton
Senna, senna
ficará, ficará
gravado, gravado
na, na
memória, memória
de, de
muitas, muita
pessoas, pessoa
., .

, 

A, a
pedido, pedido
da, da
Folha, folha
,, ,
fãs, fã
do, do
automobilismo, automobilismo
no, no
mundo, mundo
inteiro, inteiro
enviaram, enviaram
por, por
correio, correio
eletrônico, eletrônico
,, ,
através, atravé
da, da
rede, rede
de, de
computadores, computador
Compuserve, compuserv
,, ,
mensagens, mensagen
contando, contando
como, como
viveram, viveram
o, o
1º, 1º
de, de
maio, maio
de, de
94, 94
., .

, 

Do, do
Canadá, canadá
à, à
Nova, nova
Zelândia, zelândia
,, ,
os, os
sentimentos, sentimento
foram, foram
muitas, muita
vezes, veze
os, os
mesmos, mesmo
,, ,
como, como
o, o
mau, mau
pressentimento, pressentimento
devido, devido
à, à
morte, mort
do, do
austríaco, austríaco
Roland, roland
Ratzenberger, ratzenberg
,, ,
na, na
véspera, véspera
,, ,
e, e
a, a
lembrança, lembrança
de, de
outros, outro
mitos, mito
da, da
F-1, f-1
mortos, morto
nas, na
pistas, pista
,, ,
como, como
Gilles, gill
Villeneuve, villeneuv
(, (
82, 82
), )
e, e
Jim, jim
Clark, clark
(, (
68, 68
), )
., .

, 

Leia, leia
,, ,
a, a
seguir, seguir
,, ,
trechos, trecho
dessas, dessa
mensagens, mensagen
., .

, 

ESTADOS, estado
UNIDOS, unido

, 

`, `
`, `
Acordei, acordei
para, para
assistir, assistir
a, a
prova, prova
às, às
4h45, 4h45
., .
Quando, quando
vi, vi
Senna, senna
sair, sair
da, da
pista, pista
,, ,
pensei, pensei
:, :
`, `
Merda, merda
,, ,
três, trê
abandonos, abandono
seguidos, seguido
', '
., .
Quando, quando
o, o
carro, carro
parou, parou
e, e
ele, ele
não, não
saiu, saiu
,, ,
meu, meu
coração, coração
parou, parou
., .

, 

Ao, ao
saber, saber
que, que
ele, ele
sofrera, sofrera
ferimentos, ferimento
graves, grave
na, na
cabeça, cabeça
,, ,
acordei, acordei
meu, meu
marido, marido
,, ,
que, que
é, é
brasileiro, brasileiro
., .

, 

Quando, quando
soube, soub
da, da
morte, mort
cerebral, cerebr
,, ,
não, não
pude, pude
acreditar, acreditar
., .
Liguei, liguei
para, para
um, um
amigo, amigo
no, no
Rio, rio
para, para
conferir, conferir
., .
Ao, ao
desligar, desligar
,, ,
sentei-me, sentei-m
no, no
chão, chão
e, e
chorei, chorei
como, como
nunca, nunca
na, na
minha, minha
vida, vida
., .
Meu, meu
marido, marido
me, me
abraçou, abraç
., .
Choramos, choramo
por, por
uns, un
20, 20
minutos, minuto
., .

, 

Fui, fui
ao, ao
GP, gp
Brasil, brasil
deste, dest
ano, ano
., .
Fiquei, fiquei
desapontada, desapontada
com, com
tão, tão
pouca, pouca
homenagem, homenagem
ao, ao
Ayrton, ayrton
., .

, 

Na, na
saída, saída
do, do
cemitério, cemitério
,, ,
chorava, chorava
descontroladamente, descontroladament
., .
Minha, minha
cunhada, cunhada
tentou, tentou
me, me
consolar, consolar
em, em
português, portuguê
., .
Só, só
entendi, entendi
uma, uma
parte, part
., .
Talvez, talvez
eu, eu
não, não
quisesse, quisess
entender, entend
., .
Ainda, ainda
não, não
quero, quero
acreditar, acreditar
que, que
é, é
verdade, verdad
., .
'', ''
Colleen, colleen
Magee, mage
,, ,
27, 27
,, ,
cidade, cidad
de, de
Sparks, spark
., .

, 

`, `
`, `
Tinha, tinha
gravado, gravado
a, a
corrida, corrida
,, ,
para, para
vê-la, vê-la
depois, depoi
., .
Quando, quando
eu, eu
estava, estava
saindo, saindo
para, para
o, o
trabalho, trabalho
,, ,
minha, minha
mulher, mulher
,, ,
que, que
assistira, assistira
ao, ao
noticiário, noticiário
,, ,
gritou, gritou
:, :
`, `
Senna, senna
morreu, morreu
!, !
', '

, 

Achei, achei
que, que
ela, ela
fizera, fizera
confusão, confusão
com, com
Ratzenberger, ratzenberg
., .
Mas, ma
,, ,
ao, ao
abrir, abrir
o, o
jornal, jornal
no, no
trem, trem
,, ,
a, a
foto, foto
de, de
Senna, senna
estava, estava
na, na
primeira, primeira
página, página
., .
Tive, tive
vontade, vontad
de, de
dizer, dizer
a, a
todos, todo
no, no
vagão, vagão
que, que
uma, uma
lenda, lenda
das, da
corridas, corrida
tinha, tinha
desaparecido, desaparecido
., .

, 

Aquele, aquel
dia, dia
permanecerá, permanecerá
gravado, gravado
na, na
minha, minha
cabeça, cabeça
,, ,
como, como
o, o
dia, dia
da, da
morte, mort
de, de
John, john
Lennon, lennon
ou, ou
da, da
explosão, explosão
do, do
ônibus, ônibu
espacial, espaci
., .
'', ''
Iori, iori
Suzuki, suzuki
,, ,
32, 32
,, ,
Nova, nova
York, york
., .

, 

`, `
`, `
Eu, eu
esperava, esperava
mais, mai
coisas, coisa
ruins, ruin
naquele, naquel
fim-de-semana, fim-de-semana
,, ,
depois, depoi
do, do
acidente, acident
de, de
Ratzenberger, ratzenberg
;, ;
uma, uma
premonição, premonição
,, ,
como, como
muitos, muito
outros, outro
disseram, disseram
depois, depoi
., .

, 

Após, apó
o, o
incidente, incident
da, da
largada, largada
(, (
fragmentos, fragmento
de, de
carros, carro
atingiram, atingiram
torcedores, torcedor
), )
,, ,
pensei, pensei
que, que
nada, nada
mais, mai
pudesse, pudess
ocorrer, ocorr
e, e
relaxei, relaxei
., .

, 

Quando, quando
a, a
prova, prova
recomeçou, recomeç
,, ,
torci, torci
para, para
que, que
Schumacher, schumach
passasse, passass
Senna, senna
., .
Então, então
houve, houv
a, a
batida, batida
., .

, 

Soube, soub
instantaneamente, instantaneament
,, ,
no, no
meu, meu
coração, coração
,, ,
que, que
ele, ele
se, se
fora, fora
., .
Esperei, esperei
horas, hora
para, para
ouvir, ouvir
que, que
estava, estava
errada, errada
., .
Não, não
estava, estava
., .
Senti-me, senti-m
culpada, culpada
por, por
ter, ter
esperado, esperado
a, a
tragédia, tragédia
e, e
tê-la, tê-la
visto, visto
,, ,
por, por
ter, ter
desejado, desejado
um, um
desfecho, desfecho
que, que
tirasse, tirass
Senna, senna
da, da
liderança, liderança
., .
'', ''
Susan, susan
Zenel, zenel
,, ,
39, 39
,, ,
Washington, washington
., .

, 

`, `
`, `
Obtive, obtiv
uma, uma
credencial, credenci
de, de
fotógrafo, fotógrafo
para, para
o, o
GP, gp
., .
Soube, soub
que, que
Ayrton, ayrton
batera, batera
,, ,
mas, ma
estava, estava
na, na
pista, pista
tirando, tirando
fotos, foto
., .
Nos, no
boxes, box
,, ,
ouvi, ouvi
o, o
anúncio, anúncio
na, na
TV, tv
,, ,
primeiro, primeiro
em, em
italiano, italiano
:, :
`, `
E, e
morto, morto
Senna, senna
!, !
', '

, 

A, a
primeira, primeira
coisa, coisa
que, que
me, me
tocou, tocou
foi, foi
o, o
silêncio, silêncio
na, na
área, área
dos, do
boxes, box
., .
Todo, todo
o, o
ruído, ruído
e, e
as, as
conversas, conversa
pararam, pararam
,, ,
substituídos, substituído
por, por
sussurros, sussurro
e, e
lágrimas, lágrima
., .

, 

Vendo, vendo
o, o
vídeo, vídeo
meses, mese
depois, depoi
,, ,
uma, uma
coisa, coisa
que, que
me, me
espantou, espant
foi, foi
o, o
instante, instant
em, em
que, que
puseram, puseram
Ayrton, ayrton
no, no
helicóptero, helicóptero
., .

, 

Sid, sid
Watkins, watkin
,, ,
que, que
conheço, conheço
bem, bem
,, ,
não, não
o, o
acompanhou, acompanh
a, a
bordo, bordo
., .
Conhecendo, conhecendo
sua, sua
especialidade, especialidad
,, ,
neurocirurgia, neurocirurgia
,, ,
achei, achei
que, que
significava, significava
que, que
não, não
havia, havia
esperança, esperança
., .
'', ''
Raymond, raymond
Ninness, nin
,, ,
53, 53
,, ,
East, east
Point, point
., .

, 

`, `
`, `
Estava, estava
visitando, visitando
meu, meu
primo, primo
em, em
Long, long
Beach, beach
,, ,
no, no
dia, dia
1º, 1º
de, de
maio, maio
., .
Assistimos, assistimo
a, a
um, um
VT, vt
da, da
prova, prova
,, ,
à, à
noite, noit
,, ,
em, em
um, um
bar, bar
., .
Tínhamos, tínhamo
bebido, bebido
razoavelmente, razoavelment
,, ,
mas, ma
admito, admito
que, que
foi, foi
um, um
choque, choqu
., .

, 

Não, não
gostava, gostava
de, de
Senna, senna
,, ,
assim, assim
como, como
de, de
nenhum, nenhum
outro, outro
esportista, esportista
em, em
geral, geral
., .
Para, para
ser, ser
sincero, sincero
,, ,
minha, minha
mulher, mulher
e, e
eu, eu
o, o
considerávamos, considerávamo
pirado, pirado
,, ,
na, na
pior, pior
das, da
hipóteses, hipótes
,, ,
e, e
um, um
imbecil, imbecil
,, ,
na, na
melhor, melhor
das, da
hipóteses, hipótes
., .

, 

Mas, ma
o, o
homem, homem
era, era
um, um
piloto, piloto
impressionante, impressionant
..., ...
realmente, realment
impressionante, impressionant
., .
Ele, ele
era, era
bom, bom
para, para
seu, seu
esporte, esport
e, e
seu, seu
país, paí
., .

, 

Acho, acho
forte, fort
demais, demai
dizer, dizer
que, que
ele, ele
era, era
amado, amado
no, no
mundo, mundo
inteiro, inteiro
., .
O, o
interessante, interessant
é, é
a, a
forma, forma
como, como
ele, ele
era, era
visto, visto
em, em
seu, seu
país, paí
., .

, 

Ver, ver
mulheres, mulher
adultas, adulta
beijando, beijando
o, o
capacete, capacet
de, de
Senna, senna
no, no
funeral, funer
foi, foi
uma, uma
das, da
cenas, cena
mais, mai
bizarras, bizarra
da, da
história, história
da, da
televisão, televisão
., .

, 

O, o
público, público
brasileiro, brasileiro
pode, pode
ficar, ficar
tranquilo, tranquilo
:, :
Senna, senna
era, era
conhecido, conhecido
,, ,
festejado, festejado
e, e
criticado, criticado
,, ,
e, e
será, será
sempre, sempr
respeitado, respeitado
pelos, pelo
torcedores, torcedor
do, do
mundo, mundo
inteiro, inteiro
;, ;
mas, ma
nunca, nunca
da, da
forma, forma
como, como
era, era
em, em
seu, seu
país, paí
., .
'', ''
Richard, richard
Straude, straud
,, ,
34, 34
,, ,
Gulf, gulf
Breeze, breez
., .

, 

REINO, reino
UNIDO, unido

, 

`, `
`, `
Sou, sou
corredora, corredora
de, de
kart, kart
e, e
quero, quero
chegar, chegar
à, à
F-1, f-1
., .
Naquele, naquel
dia, dia
,, ,
fui, fui
a, a
Coventry, coventri
assistir, assistir
à, à
final, final
de, de
um, um
torneio, torneio
de, de
speedway, speedway
(, (
motociclismo, motociclismo
em, em
pista, pista
oval, oval
de, de
areia, areia
), )
., .

, 

Soube, soub
que, que
Senna, senna
tinha, tinha
batido, batido
quando, quando
ouvi, ouvi
a, a
conversa, conversa
de, de
espectadores, espectador
à, à
minha, minha
frente, frent
., .
Voltei, voltei
para, para
o, o
carro, carro
e, e
mamãe, mamã
disse, diss
que, que
talvez, talvez
ele, ele
não, não
sobrevivesse, sobrevivess
., .

, 

Ficamos, ficamo
