Jean, ﻿jean
Alesi, alesi
,, ,
da, da
Ferrari, ferrari
,, ,
obteve, obtev
,, ,
ontem, ontem
,, ,
a, a
pole, pole
provisória, provisória
do, do
GP, gp
de, de
Mônaco, mônaco
,, ,
quinta, quinta
etapa, etapa
deste, dest
ano, ano
da, da
F-1, f-1
., .

, 

Em, em
um, um
treino, treino
que, que
teve, teve
até, até
chuva, chuva
,, ,
o, o
francês, francê
fez, fez
o, o
tempo, tempo
de, de
1min23s754, 1min23s754
,, ,
esbanjando, esbanjando
arrojo, arrojo
em, em
um, um
circuito, circuito
difícil, difícil
., .

, 

Alesi, alesi
obteve, obtev
seu, seu
tempo, tempo
na, na
primeira, primeira
parte, part
do, do
treino, treino
,, ,
depois, depoi
que, que
quase, quas
todos, todo
os, os
seus, seu
adversários, adversário
saíram, saíram
à, à
pista, pista
., .

, 

A, a
31, 31
minutos, minuto
do, do
final, final
,, ,
o, o
melhor, melhor
tempo, tempo
era, era
de, de
Michael, michael
Schumacher, schumach
,, ,
da, da
Benetton, benetton
,, ,
com, com
1min24s429, 1min24s429
,, ,
que, que
havia, havia
baixado, baixado
quase, quas
meio, meio
segundo, segundo
a, a
marca, marca
anterior, anterior
,, ,
do, do
finlandês, finlandê
Mika, mika
Hakkinen, hakkinen
,, ,
da, da
McLaren, mclaren
., .

, 

Arriscando, arriscando
,, ,
passando, passando
a, a
poucos, pouco
centímetros, centímetro
das, da
cercas, cerca
de, de
proteção, proteção
,, ,
Alesi, alesi
superou, super
o, o
alemão, alemão
em, em
uma, uma
volta, volta
perfeita, perfeita
., .

, 

Quando, quando
faltavam, faltavam
25, 25
minutos, minuto
para, para
a, a
sessão, sessão
acabar, acabar
,, ,
uma, uma
inesperada, inesperada
chuva, chuva
atingiu, atingiu
a, a
pista, pista
., .

, 

Ela, ela
não, não
durou, durou
muito, muito
e, e
,, ,
com, com
50, 50
minutos, minuto
de, de
treino, treino
,, ,
a, a
pista, pista
já, já
estava, estava
seca, seca
e, e
quase, quas
todos, todo
voltaram, voltaram
., .
Ninguém, ninguém
,, ,
porém, porém
,, ,
alcançou, alcanç
o, o
piloto, piloto
ferrarista, ferrarista
., .

, 

Schumacher, schumach
acabou, acab
fazendo, fazendo
1min24s146, 1min24s146
e, e
o, o
companheiro, companheiro
de, de
Alesi, alesi
,, ,
Gerhard, gerhard
Berger, berger
,, ,
com, com
o, o
cronômetro, cronômetro
zerado, zerado
,, ,
1min24s509, 1min24s509
,, ,
que, que
lhe, lhe
valeu, valeu
o, o
terceiro, terceiro
posto, posto
., .

, 

Damon, damon
Hill, hill
,, ,
da, da
Williams, william
,, ,
se, se
recuperou, recuper
do, do
mau, mau
desempenho, desempenho
da, da
primeira, primeira
parte, part
da, da
sessão, sessão
_, _
era, era
o, o
oitavo, oitavo
_, _
,, ,
e, e
marcou, marcou
o, o
quarto, quarto
tempo, tempo
(, (
1min24s659, 1min24s659
), )
., .

, 

Em, em
quinto, quinto
ficou, ficou
Mika, mika
Hakkinen, hakkinen
,, ,
da, da
McLaren, mclaren
_, _
a, a
escuderia, escuderia
não, não
escondia, escondia
a, a
satisfação, satisfação
de, de
ter, ter
dado, dado
,, ,
assim, assim
,, ,
uma, uma
resposta, resposta
a, a
Nigel, nigel
Mansell, mansel
,, ,
que, que
criticou, critic
o, o
carro, carro
e, e
foi, foi
dispensado, dispensado
do, do
time, time
nesta, nesta
semana, semana
., .

, 

O, o
brasileiro, brasileiro
Rubens, ruben
Barrichello, barrichello
,, ,
da, da
Jordan, jordan
,, ,
ficou, ficou
com, com
a, a
13ª, 13ª
colocação, colocação
do, do
grid, grid
provisório, provisório
(, (
1min26s787, 1min26s787
), )
e, e
afirmou, afirm
ter, ter
tido, tido
`, `
`, `
azar, azar
'', ''
em, em
suas, sua
tentativas, tentativa
., .

, 

`, `
`, `
Peguei, peguei
muito, muito
tráfego, tráfego
'', ''
,, ,
disse, diss
,, ,
elogiando, elogiando
o, o
desempenho, desempenho
de, de
seu, seu
carro, carro
., .
Seu, seu
companheiro, companheiro
,, ,
Eddie, eddi
Irvine, irvin
,, ,
que, que
nunca, nunca
correu, correu
em, em
Mônaco, mônaco
,, ,
fez, fez
o, o
nono, nono
tempo, tempo
., .

, 

