Faz, ﻿faz
cinco, cinco
anos, ano
., .

, 

Na, na
mesma, mesma
Viena, viena
dos, do
Habsburgos, habsburgo
,, ,
um, um
negro, negro
chamado, chamado
Frank, frank
Rijkaard, rijkaard
,, ,
com, com
então, então
27, 27
anos, ano
,, ,
marcava, marcava
o, o
gol, gol
que, que
dava, dava
ao, ao
Milan, milan
a, a
sua, sua
quinta, quinta
Copa, copa
dos, do
Campeões, campeõ
., .

, 

Rijkaard, rijkaard
já, já
havia, havia
vencido, vencido
com, com
o, o
Milan, milan
outra, outra
Copa, copa
,, ,
em, em
89, 89
,, ,
contra, contra
o, o
Estrela, estrela
de, de
Bucareste, bucarest
(, (
ele, ele
perdeu, perdeu
uma, uma
decisão, decisão
com, com
o, o
Milan, milan
,, ,
em, em
93, 93
,, ,
para, para
o, o
Olympique, olympiqu
de, de
Marselha, marselha
), )
., .

, 

Mas, ma
Rijkaard, rijkaard
,, ,
aos, ao
32, 32
anos, ano
,, ,
entra, entra
hoje, hoje
em, em
campo, campo
pela, pela
quarta, quarta
vez, vez
para, para
disputar, disputar
a, a
final, final
da, da
Copa, copa
dos, do
Campeões, campeõ
vestindo, vestindo
a, a
camisa, camisa
adversária, adversária
:, :
a, a
do, do
Ajax, ajax
,, ,
de, de
Amsterdã, amsterdã
., .

, 

Nascido, nascido
em, em
Amsterdã, amsterdã
em, em
30, 30
de, de
setembro, setembro
de, de
1962, 1962
,, ,
1,90, 1,90
m, m
,, ,
88, 88
kg, kg
,, ,
Rijkaard, rijkaard
praticamente, praticament
dividiu, dividiu
a, a
carreira, carreira
entre, entr
o, o
Ajax, ajax
e, e
o, o
Milan, milan
., .

, 

Jogou, jogou
de, de
80, 80
a, a
88, 88
no, no
time, time
holandês, holandê
e, e
de, de
88, 88
a, a
93, 93
no, no
Milan, milan
,, ,
quando, quando
retornou, retorn
ao, ao
renovado, renovado
Ajax, ajax
., .

, 

Há, há
uma, uma
breve, breve
interrupção, interrupção
na, na
sequência, sequência
:, :
em, em
87, 87
,, ,
foi, foi
vendido, vendido
ao, ao
Sporting, sport
de, de
Lisboa, lisboa
,, ,
que, que
repassou-o, repassou-o
ao, ao
Real, real
Zaragoza, zaragoza
., .

, 

Rijkaard, rijkaard
não, não
se, se
deu, deu
bem, bem
na, na
Espanha, espanha
e, e
fez, fez
apenas, apena
11, 11
jogos, jogo
., .
Só, só
se, se
recuperou, recuper
na, na
seleção, seleção
holandesa, holandesa
campeã, campeã
européia, européia
de, de
88, 88
., .

, 

Ele, ele
é, é
bastante, bastant
reservado, reservado
e, e
não, não
gosta, gosta
de, de
dar, dar
entrevistas, entrevista
., .
Diz, diz
que, que
sentia, sentia
que, que
o, o
Milan, milan
havia, havia
fechado, fechado
um, um
ciclo, ciclo
e, e
retirou, retir
o, o
seu, seu
futebol, futebol
elegante, elegant
,, ,
discreto, discreto
e, e
eficiente, eficient
., .

, 

Seu, seu
grande, grand
desafeto, desafeto
é, é
Johann, johann
Cruyff, cruyff
_, _
que, que
ele, ele
mandou, mandou
para, para
aquele, aquel
lugar, lugar
em, em
um, um
treinamento, treinamento
do, do
Ajax, ajax
., .
O, o
atual, atual
técnico, técnico
do, do
Barcelona, barcelona
nunca, nunca
o, o
perdoou, perdoou
., .

, 

Rijkaard, rijkaard
passa, passa
temporadas, temporada
em, em
Veneza, veneza
e, e
tem, tem
uma, uma
confecção, confecção
de, de
cuecas, cueca
chamada, chamada
`, `
`, `
Under, under
Jeans, jean
'', ''
., .

, 

Se, se
vencer, vencer
hoje, hoje
,, ,
estará, estará
ao, ao
lado, lado
de, de
dois, doi
adversários, adversário
milanistas, milanista
que, que
conquistaram, conquistaram
a, a
Copa, copa
dos, do
Campeões, campeõ
por, por
times, time
diferentes, diferent
:, :

, 

Savicevic, savicev
(, (
Estrela, estrela
Vermelha, vermelha
,, ,
91, 91
,, ,
Milan, milan
,, ,
94, 94
), )
e, e
francês, francê
Desailly, desailli
(, (
Olympique, olympiqu
,, ,
93, 93
,, ,
Milan, milan
94, 94
), )
., .

, 

Ainda, ainda
ganharam, ganharam
por, por
dois, doi
times, time
:, :
Miodrag, miodrag
Belodedici, belodedici
(, (
Estrela, estrela
de, de
Bucareste, bucarest
,, ,
86, 86
,, ,
Estrela, estrela
Vermelha, vermelha
de, de
Belgrado, belgrado
,, ,
91, 91
), )
e, e
Ronald, ronald
Koeman, koeman
(, (
PSV, psv
,, ,
88, 88
,, ,
Barcelona, barcelona
,, ,
92, 92
), )
., .

, 

O, o
grande, grand
meio-campista, meio-campista
Frank, frank
Rijkaard, rijkaard
faz, faz
a, a
sua, sua
despedida, despedida
do, do
futebol, futebol
neste, nest
próximo, próximo
domingo, domingo
,, ,
no, no
jogo, jogo
entre, entr
o, o
Ajax, ajax
e, e
o, o
Twente, twent
,, ,
pelo, pelo
Campeonato, campeonato
Holandês, holandê
., .

, 

Ele, ele
se, se
mudará, mudará
para, para
Mônaco, mônaco
,, ,
mas, ma
antes, ant
dará, dará
uma, uma
volta, volta
ao, ao
mundo, mundo
com, com
a, a
mulher, mulher
Monique, moniqu
., .
É, é
o, o
personagem, personagem
da, da
última, última
valsa, valsa
em, em
Viena, viena
., .

, 

(, (
Matinas, matina
Suzuki, suzuki
Jr., jr.
), )

, 

