Único, ﻿único
representante, representant
paulista, paulista
nas, na
semifinais, semifinai
da, da
Copa, copa
do, do
Brasil, brasil
,, ,
o, o
Corinthians, corinthian
enfrenta, enfrenta
na, na
próxima, próxima
quarta-feira, quarta-feira
o, o
Vasco, vasco
da, da
Gama, gama
,, ,
no, no
Maracanã, maracanã
,, ,
no, no
Rio, rio
,, ,
às, às
20h45, 20h45
., .

, 

A, a
competição, competição
garante, garant
uma, uma
vaga, vaga
na, na
Libertadores, libertador
da, da
América, américa
96, 96
(, (
o, o
mais, mai
importante, important
torneio, torneio
sul-americano, sul-americano
interclubes, interclub
), )
., .

, 

As, as
duas, dua
equipes, equip
voltam, voltam
a, a
jogar, jogar
no, no
dia, dia
30, 30
no, no
Pacaembu, pacaembu
., .

, 

Com, com
essa, essa
tabela, tabela
,, ,
a, a
partida, partida
entre, entr
Corinthians, corinthian
e, e
Araçatuba, araçatuba
,, ,
marcada, marcada
para, para
o, o
dia, dia
seguinte, seguint
ao, ao
jogo, jogo
de, de
ida, ida
com, com
o, o
Vasco, vasco
,, ,
pode, pode
ser, ser
adiada, adiada
., .

, 

A, a
outra, outra
semifinal, semifin
reúne, reún
Grêmio, grêmio
e, e
Flamengo, flamengo
., .

, 

O, o
primeiro, primeiro
jogo, jogo
será, será
também, também
no, no
Maracanã, maracanã
,, ,
na, na
próxima, próxima
terça-feira, terça-feira
,, ,
dia, dia
23, 23
., .

, 

A, a
definição, definição
de, de
quem, quem
irá, irá
à, à
final, final
do, do
torneio, torneio
acontece, acontec
no, no
estádio, estádio
Olímpico, olímpico
,, ,
em, em
Porto, porto
Alegre, alegr
,, ,
no, no
dia, dia
31, 31
., .

, 

O, o
Corinthians, corinthian
conseguiu, conseguiu
sua, sua
vaga, vaga
para, para
a, a
semifinal, semifin
superando, superando
o, o
Paraná, paraná
Clube, clube
_, _
0, 0
a, a
0, 0
,, ,
em, em
Curitiba, curitiba
,, ,
e, e
2, 2
a, a
1, 1
,, ,
em, em
São, são
Paulo, paulo
., .

, 

O, o
próximo, próximo
adversário, adversário
corintiano, corintiano
chegou, chegou
às, às
semifinais, semifinai
desclassificando, desclassificando
o, o
Atlético-MG, atlético-mg
., .

, 

Vasco, vasco
e, e
Atlético-MG, atlético-mg
venceram, venceram
por, por
1, 1
a, a
0, 0
seus, seu
jogos, jogo
fora, fora
de, de
casa, casa
e, e
a, a
classificação, classificação
foi, foi
determinada, determinada
nos, no
pênaltis, pênalti
por, por
4, 4
a, a
1, 1
em, em
favor, favor
do, do
Vasco, vasco
,, ,
no, no
último, último
jogo, jogo
no, no
estádio, estádio
Mineirão, mineirão
,, ,
na, na
quinta-feira, quinta-feira
., .

, 

O, o
Grêmio, grêmio
passou, passou
para, para
esta, esta
fase, fase
ao, ao
derrotar, derrotar
o, o
São, são
Paulo, paulo
por, por
2, 2
a, a
0, 0
,, ,
em, em
Porto, porto
Alegre, alegr
_, _
o, o
primeiro, primeiro
jogo, jogo
terminou, termin
empatado, empatado
em, em
1, 1
a, a
1, 1
., .

, 

Na, na
fase, fase
anterior, anterior
,, ,
a, a
equipe, equip
gaúcha, gaúcha
já, já
havia, havia
eliminado, eliminado
o, o
Palmeiras, palmeira
,, ,
o, o
terceiro, terceiro
time, time
de, de
São, são
Paulo, paulo
no, no
torneio, torneio
., .

, 

O, o
Flamengo, flamengo
conquistou, conquist
sua, sua
vaga, vaga
na, na
semifinal, semifin
superando, superando
o, o
Cruzeiro, cruzeiro
., .

, 

O, o
equipe, equip
de, de
Wanderley, wanderley
Luxemburgo, luxemburgo
venceu, venceu
por, por
1, 1
a, a
0, 0
no, no
Mineirão, mineirão
e, e
empatou, empat
em, em
1, 1
a, a
1, 1
no, no
Maracanã, maracanã
., .

, 

A, a
Copa, copa
do, do
Brasil, brasil
é, é
uma, uma
competição, competição
nacional, nacion
que, que
reúne, reún
os, os
melhores, melhor
colocados, colocado
nos, no
campeonatos, campeonato
regionais, regionai
do, do
ano, ano
anterior, anterior
., .

, 

As, as
equipes, equip
disputam, disputam
chaves, chave
simples, simpl
com, com
jogos, jogo
de, de
ida, ida
e, e
volta, volta
,, ,
classificando-se, classificando-s
a, a
equipe, equip
com, com
melhor, melhor
desempenho, desempenho
., .

, 

A, a
competição, competição
existe, exist
desde, desd
1989, 1989
., .
O, o
time, time
com, com
mais, mai
títulos, título
do, do
torneio, torneio
é, é
o, o
Grêmio, grêmio
_, _
campeão, campeão
em, em
89, 89
e, e
no, no
ano, ano
passado, passado
., .

, 

Cruzeiro, cruzeiro
(, (
93, 93
), )
,, ,
Internacional, internacion
(, (
92, 92
), )
,, ,
Criciúma, criciúma
(, (
91, 91
), )
e, e
Flamengo, flamengo
(, (
90, 90
), )
têm, têm
um, um
título, título
cada, cada
., .

, 

