Carlos, ﻿carlo
dos, do
Santos, santo
Fernandes, fernand
,, ,
32, 32
,, ,
foi, foi
atingido, atingido
na, na
barriga, barriga
por, por
uma, uma
bala, bala
de, de
fuzil, fuzil
AR, ar
15, 15
,, ,
quando, quando
assistia, assistia
ao, ao
jogo, jogo
Fluminense, fluminens
e, e
Bangu, bangu
,, ,
sábado, sábado
à, à
tarde, tard
,, ,
no, no
Maracanã, maracanã
(, (
zona, zona
norte, nort
do, do
Rio, rio
), )
., .

, 

Fernandes, fernand
,, ,
que, que
seria, seria
torcedor, torcedor
do, do
Fluminense, fluminens
,, ,
foi, foi
levado, levado
ainda, ainda
com, com
vida, vida
para, para
o, o
hospital, hospit
Souza, souza
Aguiar, aguiar
,, ,
no, no
centro, centro
da, da
cidade, cidad
,, ,
e, e
morreu, morreu
na, na
mesa, mesa
de, de
operação, operação
., .

, 

O, o
torcedor, torcedor
,, ,
que, que
estava, estava
sentado, sentado
no, no
setor, setor
de, de
cadeiras, cadeira
,, ,
abaixo, abaixo
da, da
arquibancada, arquibancada
,, ,
teria, teria
sido, sido
atingido, atingido
ao, ao
se, se
levantar, levantar
para, para
reclamar, reclamar
do, do
juiz, juiz
,, ,
no, no
segundo, segundo
tempo, tempo
., .

, 

O, o
Fluminense, fluminens
venceu, venceu
por, por
1, 1
a, a
0, 0
,, ,
gol, gol
do, do
atacante, atacant
Ézio, ézio
., .
Até, até
ontem, ontem
,, ,
a, a
polícia, polícia
ainda, ainda
não, não
tinha, tinha
informações, informaçõ
sobre, sobr
a, a
autoria, autoria
do, do
crime, crime
., .

, 

É, é
possível, possível
que, que
o, o
tiro, tiro
tenha, tenha
partido, partido
de, de
uma, uma
das, da
favelas, favela
próximas, próxima
ao, ao
estádio, estádio
e, e
atingido, atingido
acidentalmente, acidentalment
Fernandes, fernand
., .
Segundo, segundo
a, a
polícia, polícia
,, ,
porém, porém
,, ,
ele, ele
não, não
teria, teria
vindo, vindo
do, do
morro, morro
da, da
Mangueira, mangueira
,, ,
pois, poi
a, a
vítima, vítima
estaria, estaria
de, de
costas, costa
para, para
a, a
favela, favela
., .

, 

*, *
Colaborou, colabor
Malu, malu
Machado, machado
,, ,
free-lance, free-lanc
para, para
a, a
Folha, folha

, 

