Franklin, ﻿franklin
Edmundo, edmundo
Rijkaard, rijkaard
,, ,
32, 32
,, ,
encerra, encerra
a, a
sua, sua
carreira, carreira
de, de
jogador, jogador
como, como
queria, queria
:, :
campeão, campeão
holandês, holandê
e, e
campeão, campeão
da, da
Copa, copa
dos, do
Campeões, campeõ
pelo, pelo
Ajax, ajax
,, ,
de, de
Amsterdã, amsterdã
., .

, 

Ontem, ontem
,, ,
ele, ele
comandou, comand
o, o
seu, seu
jovem, jovem
time, time
a, a
um, um
fato, fato
que, que
parecia, parecia
impossível, impossível
:, :
ganhar, ganhar
do, do
Milan, milan
,, ,
equipe, equip
que, que
o, o
próprio, próprio
Rijkaard, rijkaard
ajudou, ajud
a, a
tornar, tornar
imbatível, imbatível
., .

, 

Ele, ele
festejou, festej
a, a
sua, sua
vitória, vitória
como, como
um, um
dos, do
três, trê
teens, teen
negros, negro
que, que
nasceram, nasceram
em, em
dias, dia
primeiros, primeiro
de, de
1976, 1976
(, (
Kanu, kanu
,, ,
Seedorf, seedorf
e, e
Kluivert, kluivert
), )
., .

, 

Com, com
a, a
saúde, saúd
de, de
ontem, ontem
,, ,
poderia, poderia
jogar, jogar
mais, mai
., .

, 

Frank, frank
Rijkaard, rijkaard
entra, entra
para, para
a, a
galeria, galeria
dos, do
cinco, cinco
jogadores, jogador
que, que
já, já
ganharam, ganharam
a, a
Copa, copa
dos, do
Campeões, campeõ
por, por
dois, doi
times, time
diferentes, diferent
., .

, 

Além, além
dele, dele
,, ,
Miodrag, miodrag
Belodedici, belodedici
,, ,
Ronald, ronald
Koeman, koeman
,, ,
e, e
os, os
milaneses, milanes
Dejan, dejan
Savicevic, savicev
,, ,
que, que
ontem, ontem
não, não
jogou, jogou
,, ,
e, e
Marcel, marcel
Desailly, desailli
., .

, 

Desailly, desailli
não, não
conseguiu, conseguiu
atingir, atingir
uma, uma
marca, marca
notável, notável
:, :
se, se
o, o
Milan, milan
vencesse, vencess
,, ,
seria, seria
três, trê
vezes, veze
seguidas, seguida
campeão, campeão
., .

, 

Além, além
dele, dele
,, ,
no, no
Milan, milan
,, ,
foram, foram
destaques, destaqu
os, os
lateral, later
esquerdo, esquerdo
Maldini, maldini
,, ,
o, o
meio-campista, meio-campista
Albertini, albertini
e, e
o, o
atacante, atacant
Simone, simon
., .

, 

No, no
primeiro, primeiro
tempo, tempo
,, ,
graças, graça
à, à
marcação, marcação
de, de
Desailly, desailli
e, e
Albertini, albertini
,, ,
e, e
o, o
constante, constant
deslocamento, deslocamento
de, de
Boban, boban
,, ,
o, o
Milan, milan
mandou, mandou
no, no
jogo, jogo
., .

, 

O, o
Ajax, ajax
era, era
um, um
time, time
estático, estático
,, ,
lento, lento
,, ,
sem, sem
flutuação, flutuação
,, ,
com, com
os, os
jogadores, jogador
fixos, fixo
,, ,
o, o
que, que
facilitava, facilitava
amplamente, amplament
o, o
já, já
eficiente, eficient
trabalho, trabalho
de, de
marcação, marcação
do, do
Milan, milan
., .

, 

O, o
grande, grand
erro, erro
do, do
técnico, técnico
Fabio, fabio
Capello, capello
foi, foi
o, o
de, de
não, não
ter, ter
mexido, mexido
no, no
time, time
pelos, pelo
15min, 15min
do, do
segundo, segundo
tempo, tempo
,, ,
quando, quando
ficou, ficou
visível, visível
que, que
o, o
Milan, milan
perdia, perdia
o, o
meio-campo, meio-campo
., .

, 

A, a
vitória, vitória
consagra, consagra
um, um
novo, novo
técnico, técnico
:, :
Louis, loui
Va, va
Call, call
,, ,
43, 43
,, ,
que, que
em, em
seu, seu
primeiro, primeiro
trabalho, trabalho
efetivo, efetivo
como, como
técnico, técnico
ganhou, ganhou
,, ,
com, com
o, o
Ajax, ajax
,, ,
a, a
Copa, copa
da, da
Uefa, uefa
92, 92
,, ,
a, a
Copa, copa
da, da
Holanda, holanda
de, de
93, 93
e, e
os, os
Campeonatos, campeonato
Holandeses, holandes
de, de
94, 94
e, e
95, 95
., .

, 

(, (
MSJr, msjr
., .
), )

, 

