Rubens, ﻿ruben
Barrichello, barrichello
teve, teve
problemas, problema
ontem, ontem
em, em
Imola, imola
,, ,
durante, durant
o, o
GP, gp
de, de
San, san
Marino, marino
de, de
F-1, f-1
., .

, 

Mas, ma
,, ,
desta, desta
vez, vez
,, ,
até, até
seu, seu
carro, carro
tirá-lo, tirá-lo
da, da
prova, prova
,, ,
seu, seu
desempenho, desempenho
foi, foi
destacável, destacável
,, ,
ao, ao
contrário, contrário
do, do
que, que
ocorreu, ocorreu
nas, na
duas, dua
outras, outra
provas, prova
do, do
ano, ano
., .

, 

`, `
`, `
Foi, foi
um, um
fim-de-semana, fim-de-semana
positivo, positivo
'', ''
,, ,
afirmou, afirm
o, o
piloto, piloto
,, ,
que, que
vivia, vivia
,, ,
segundo, segundo
ele, ele
próprio, próprio
,, ,
uma, uma
fase, fase
ruim, ruim
., .

, 

Barrichello, barrichello
largou, largou
na, na
décima, décima
posição, posição
do, do
grid, grid
e, e
evoluiu, evoluiu
até, até
a, a
sétima, sétima
em, em
apenas, apena
uma, uma
volta, volta
., .
Um, um
giro, giro
depois, depoi
,, ,
era, era
o, o
sexto, sexto
,, ,
depois, depoi
de, de
ultrapassar, ultrapassar
o, o
finlandês, finlandê
Mika, mika
Hakkinen, hakkinen
,, ,
da, da
McLaren, mclaren
., .

, 

`, `
`, `
Acho, acho
que, que
passei, passei
uns, un
sete, sete
'', ''
,, ,
afirmou, afirm
o, o
piloto, piloto
da, da
Jordan, jordan
,, ,
depois, depoi
da, da
corrida, corrida
., .
Na, na
nona, nona
volta, volta
,, ,
Barrichello, barrichello
parou, parou
para, para
trocar, trocar
os, os
pneus, pneu
biscoitos, biscoito
e, e
voltou, voltou
em, em
11º., 11º.

, 

`, `
`, `
Foi, foi
bom, bom
parar, parar
só, só
depois, depoi
'', ''
,, ,
disse, diss
o, o
brasileiro, brasileiro
que, que
,, ,
com, com
paciência, paciência
,, ,
esperou, esper
os, os
que, que
estavam, estavam
a, a
sua, sua
frente, frent
terem, terem
que, que
parar, parar
., .

, 

Quando, quando
abandonou, abandon
com, com
um, um
problema, problema
de, de
câmbio, câmbio
,, ,
era, era
o, o
quinto, quinto
colocado, colocado
., .
`, `
`, `
Dava, dava
para, para
segurar, segurar
a, a
posição, posição
até, até
o, o
final, final
'', ''
,, ,
avaliou, avali
o, o
piloto, piloto
,, ,
que, que
foi, foi
bastante, bastant
perseguido, perseguido
por, por
Nigel, nigel
Mansell, mansel
,, ,
da, da
McLaren, mclaren
., .

, 

Por, por
várias, vária
voltas, volta
,, ,
a, a
diferença, diferença
entre, entr
os, os
dois, doi
foi, foi
de, de
menos, meno
de, de
um, um
segundo, segundo
., .

, 

Barrichello, barrichello
permanece, permanec
até, até
quinta-feira, quinta-feira
em, em
Imola, imola
., .
A, a
Jordan, jordan
,, ,
entre, entr
outras, outra
equipes, equip
,, ,
faz, faz
três, trê
dias, dia
de, de
testes, test
a, a
partir, partir
de, de
amanhã, amanhã
., .

, 

(, (
JHM, jhm
), )

, 

