Para, ﻿para
a, a
próxima, próxima
fase, fase
da, da
Taça, taça
Libertadores, libertador
,, ,
com, com
início, início
no, no
próximo, próximo
dia, dia
26, 26
de, de
julho, julho
,, ,
o, o
Palmeiras, palmeira
poderá, poderá
substituir, substituir
dois, doi
jogadores, jogador
na, na
sua, sua
lista, lista
de, de
inscrição, inscrição
., .

, 

Segundo, segundo
José, josé
Carlos, carlo
Brunoro, brunoro
,, ,
diretor, diretor
de, de
esportes, esport
da, da
Parmalat, parmalat
(, (
patrocinadora, patrocinadora
do, do
clube, clube
), )
,, ,
o, o
primeiro, primeiro
nome, nome
na, na
lista, lista
de, de
reforços, reforço
é, é
o, o
do, do
ex-são-paulino, ex-são-paulino
Cafu, cafu
,, ,
atualmente, atualment
no, no
Zaragoza, zaragoza
,, ,
da, da
Espanha, espanha
., .

, 

Brunoro, brunoro
disse, diss
que, que
o, o
Palmeiras, palmeira
já, já
tem, tem
a, a
prioridade, prioridad
para, para
contratar, contratar
o, o
jogador, jogador
junto, junto
ao, ao
clube, clube
espanhol, espanhol
., .

, 

O, o
obstáculo, obstáculo
nas, na
negociações, negociaçõ
é, é
a, a
interferência, interferência
do, do
São, são
Paulo, paulo
., .

, 

`, `
`, `
Existe, exist
uma, uma
cláusula, cláusula
no, no
contrato, contrato
de, de
venda, venda
do, do
Cafu, cafu
,, ,
que, que
o, o
impede, imped
de, de
ser, ser
emprestado, emprestado
ou, ou
vendido, vendido
,, ,
especificamente, especificament
,, ,
para, para
a, a
Sociedade, sociedad
Esportiva, esportiva
Palmeiras, palmeira
no, no
período, período
de, de
um, um
ano, ano
'', ''
,, ,
disse, diss
João, joão
Paulo, paulo
Medina, medina
,, ,
coordenador, coordenador
do, do
São, são
Paulo, paulo
., .

, 

Segundo, segundo
ele, ele
,, ,
o, o
não, não
cumprimento, cumprimento
da, da
cláusula, cláusula
implica, implica
em, em
uma, uma
multa, multa
a, a
ser, ser
paga, paga
pelo, pelo
Palmeiras, palmeira
no, no
valor, valor
de, de
US$, us$
3,6, 3,6
milhões, milhõ
_, _
mesma, mesma
quantia, quantia
recebida, recebida
pelo, pelo
São, são
Paulo, paulo
na, na
venda, venda
de, de
Cafu, cafu
,, ,
em, em
janeiro, janeiro
., .

, 

O, o
Palmeiras, palmeira
pode, pode
usar, usar
o, o
Juventude, juventud
(, (
RS, rs
), )
,, ,
também, também
patrocinado, patrocinado
pela, pela
Parmalat, parmalat
,, ,
como, como
`, `
`, `
ponte, pont
'', ''
., .

, 

Outro, outro
reforço, reforço
pode, pode
ser, ser
Renato, renato
Gaúcho, gaúcho
,, ,
do, do
Fluminense, fluminens
., .

, 

(, (
AR, ar
), )

, 

