Andrada, ﻿andrada
quer, quer
ser, ser
técnico, técnico
de, de
uma, uma
equipe, equip
brasileira, brasileira
,, ,
de, de
preferência, preferência
o, o
Vasco, vasco
,, ,
onde, ond
trabalhou, trabalh
15, 15
dias, dia
em, em
94, 94
., .

, 

", "
Gostaria, gostaria
de, de
ser, ser
o, o
treinador, treinador
de, de
goleiros, goleiro
,, ,
mas, ma
não, não
concordaram, concordaram
com, com
o, o
salário, salário
que, que
pedi, pedi
'', ''
,, ,
disse, diss
., .

, 

Depois, depoi
de, de
deixar, deixar
o, o
futebol, futebol
em, em
84, 84
,, ,
além, além
de, de
tentar, tentar
ser, ser
técnico, técnico
,, ,
ele, ele
enveredou, envered
pela, pela
política, política
,, ,
em, em
cargos, cargo
ligados, ligado
ao, ao
esporte, esport
na, na
administração, administração
da, da
Província, província
de, de
Santa, santa
Fé, fé
(, (
centro, centro
da, da
Argentina, argentina
), )
., .

, 

Em, em
setembro, setembro
,, ,
disputará, disputará
o, o
cargo, cargo
de, de
vereador, vereador
de, de
Rosario, rosario
,, ,
pelo, pelo
partido, partido
do, do
presidente, president
reeleito, reeleito
,, ,
Carlos, carlo
Menem, menem
., .
Hoje, hoje
,, ,
é, é
dono, dono
de, de
uma, uma
empresa, empresa
de, de
transporte, transport
., .

, 

(, (
RB, rb
), )

, 

