Depois, ﻿depoi
de, de
se, se
tornar, tornar
a, a
brasileira, brasileira
que, que
obteve, obtev
a, a
melhor, melhor
colocação, colocação
da, da
história, história
do, do
país, paí
num, num
Mundial, mundial
de, de
mountain, mountain
bike, bike
_, _
quarto, quarto
lugar, lugar
na, na
categoria, categoria
júnior, júnior
em, em
1994, 1994
_, _
,, ,
Adriana, adriana
dos, do
Santos, santo
Nascimento, nascimento
,, ,
19, 19
,, ,
quer, quer
chegar, chegar
à, à
Olimpíada, olimpíada
., .

, 

Nascida, nascida
em, em
Campos, campo
do, do
Jordão, jordão
,, ,
cidade, cidad
montanhosa, montanhosa
a, a
175, 175
km, km
a, a
nordeste, nordest
de, de
São, são
Paulo, paulo
,, ,
Adriana, adriana
reconhece, reconhec
que, que
uma, uma
medalha, medalha
olímpica, olímpica
`, `
`, `
é, é
quase, quas
impossível, impossível
'', ''
., .

, 

`, `
`, `
Meu, meu
objetivo, objetivo
mesmo, mesmo
é, é
lutar, lutar
por, por
uma, uma
vaga, vaga
em, em
Atlanta, atlanta
'', ''
,, ,
contou, contou
., .

, 

Folha, folha
-, -
Como, como
você, você
se, se
prepara, prepara
para, para
chegar, chegar
à, à
Olimpíada, olimpíada
?, ?

, 

Adriana, adriana
dos, do
Santos, santo
Nascimento, nascimento
-, -
Pedalo, pedalo
diariamente, diariament
de, de
três, trê
a, a
quatro, quatro
horas, hora
,, ,
em, em
trilhas, trilha
e, e
no, no
asfalto, asfalto
., .

, 

Também, também
faço, faço
corrida, corrida
,, ,
musculação, musculação
e, e
,, ,
uma, uma
vez, vez
por, por
semana, semana
,, ,
natação, natação
., .

, 

Folha, folha
-, -
E, e
as, as
competições, competiçõ
?, ?

, 

Adriana, adriana
-, -
Este, est
ano, ano
,, ,
antes, ant
do, do
Mundial, mundial
,, ,
quero, quero
participar, participar
de, de
torneios, torneio
fora, fora
do, do
Brasil, brasil
para, para
pegar, pegar
mais, mai
ritmo, ritmo
de, de
competição, competição
., .

, 

Folha, folha
-, -
Você, você
chegou, chegou
em, em
quarto, quarto
lugar, lugar
no, no
Mundial-94, mundial-94
na, na
categoria, categoria
júnior, júnior
(, (
até, até
18, 18
anos, ano
), )
., .
Agora, agora
,, ,
você, você
é, é
sênior, sênior
., .
O, o
que, que
isso, isso
muda, muda
?, ?

, 

Adriana, adriana
-, -
É, é
bom, bom
,, ,
pois, poi
me, me
dá, dá
a, a
oportunidade, oportunidad
de, de
lutar, lutar
por, por
uma, uma
vaga, vaga
na, na
Olimpíada, olimpíada
., .
Mas, ma
,, ,
como, como
júnior, júnior
,, ,
eu, eu
teria, teria
mais, mai
chances, chanc
de, de
conseguir, conseguir
uma, uma
medalha, medalha
em, em
Atlanta, atlanta
., .
Agora, agora
,, ,
já, já
era, era
., .
Quero, quero
é, é
lutar, lutar
pela, pela
vaga, vaga
., .

, 

(, (
MT, mt
), )

, 

