Uma, ﻿uma
das, da
causas, causa
da, da
queda, queda
de, de
gols, gol
no, no
segundo, segundo
turno, turno
é, é
a, a
má, má
fase, fase
da, da
maioria, maioria
dos, do
artilheiros, artilheiro
., .

, 

Após, apó
a, a
13ª, 13ª
rodada, rodada
,, ,
quando, quando
a, a
média, média
do, do
campeonato, campeonato
atingia, atingia
2,75, 2,75
gols, gol
por, por
partida, partida
,, ,
os, os
dez, dez
maiores, maior
artilheiros, artilheiro
do, do
Paulista, paulista
_, _
liderados, liderado
por, por
Marcelo, marcelo
,, ,
do, do
Rio, rio
Branco, branco
_, _
tinham, tinham
marcado, marcado
ao, ao
todo, todo
77, 77
gols, gol
., .

, 

Nas, na
sete, sete
rodadas, rodada
seguintes, seguint
,, ,
para, para
manter, manter
essa, essa
média, média
,, ,
eles, ele
deveriam, deveriam
ter, ter
marcado, marcado
41, 41
gols, gol
., .
Mas, ma
anotaram, anotaram
apenas, apena
21, 21
., .

, 

São, são
vários, vário
os, os
atacantes, atacant
que, que
estão, estão
sem, sem
marcar, marcar
há, há
vários, vário
jogos, jogo
., .
O, o
principal, princip
caso, caso
é, é
de, de
Viola, viola
., .
Seu, seu
último, último
gol, gol
no, no
Paulista, paulista
foi, foi
contra, contra
a, a
Ponte, pont
Preta, preta
,, ,
em, em
23, 23
de, de
fevereiro, fevereiro
., .

, 

Flávio, flávio
,, ,
o, o
`, `
`, `
matador, matador
'', ''
(, (
expressão, expressão
de, de
Candinho, candinho
,, ,
técnico, técnico
da, da
Portuguesa, portuguesa
), )
,, ,
não, não
marca, marca
há, há
um, um
mês, mê
., .
O, o
último, último
gol, gol
foi, foi
no, no
dia, dia
1º, 1º
de, de
abril, abril
contra, contra
o, o
Novorizontino, novorizontino
., .

, 

Marcelo, marcelo
,, ,
do, do
Rio, rio
Branco, branco
,, ,
e, e
Rivaldo, rivaldo
,, ,
do, do
Palmeiras, palmeira
,, ,
fizeram, fizeram
seu, seu
último, último
tento, tento
há, há
três, trê
semanas, semana
., .

, 

As, as
exceções, exceçõ
a, a
essa, essa
má, má
fase, fase
são, são
Bentinho, bentinho
,, ,
do, do
São, são
Paulo, paulo
,, ,
Batistinha, batistinha
,, ,
do, do
União, união
,, ,
Marcelo, marcelo
Passos, passo
,, ,
do, do
Santos, santo
,, ,
e, e
Júlio, júlio
César, césar
,, ,
do, do
XV, xv
de, de
Piracicaba, piracicaba
., .

, 

Nas, na
últimas, última
sete, sete
rodadas, rodada
,, ,
Bentinho, bentinho
fez, fez
seis, sei
gols, gol
,, ,
Batistinha, batistinha
,, ,
cinco, cinco
,, ,
Marcelo, marcelo
Passos, passo
,, ,
quatro, quatro
,, ,
e, e
Júlio, júlio
César, césar
,, ,
três, trê
., .

, 

Batistinha, batistinha
,, ,
que, que
,, ,
há, há
sete, sete
rodadas, rodada
,, ,
estava, estava
em, em
11º, 11º
lugar, lugar
na, na
artilharia, artilharia
,, ,
subiu, subiu
para, para
a, a
quarta, quarta
posição, posição
_, _
com, com
dez, dez
tentos, tento
., .

, 

(, (
MD, md
), )

, 

