"O, ﻿"o
jogo, jogo
foi, foi
feio, feio
,, ,
mas, ma
não, não
por, por
nossa, nossa
culpa, culpa
., .
'', ''

, 

A, a
frase, frase
do, do
técnico, técnico
Candinho, candinho
,, ,
no, no
vestiário, vestiário
,, ,
resumia, resumia
a, a
frustração, frustração
da, da
Portuguesa, portuguesa
por, por
ter, ter
perdido, perdido
a, a
chance, chanc
de, de
se, se
aproximar, aproximar
do, do
São, são
Paulo, paulo
na, na
disputa, disputa
pelo, pelo
ponto, ponto
extra, extra
na, na
segunda, segunda
fase, fase
do, do
campeonato, campeonato
., .

, 

Com, com
os, os
resultados, resultado
do, do
fim-de-semana, fim-de-semana
,, ,
o, o
São, são
Paulo, paulo
manteve, mantev
a, a
vantagem, vantagem
de, de
quatro, quatro
pontos, ponto
na, na
liderança, liderança
(, (
leia, leia
texto, texto
ao, ao
lado, lado
), )
., .

, 

", "
Nós, nó
queríamos, queríamo
o, o
jogo, jogo
aberto, aberto
., .
Coloquei, coloquei
dois, doi
centroavantes, centroavant
e, e
mandei, mandei
os, os
laterais, laterai
atacarem, atacarem
'', ''
,, ,
acrescentou, acrescent
Candinho, candinho
., .
`, `
`, `
Mas, ma
eles, ele
ficaram, ficaram
atrás, atrá
., .
'', ''

, 

O, o
zagueiro, zagueiro
Gilmar, gilmar
endossou, endoss
o, o
coro, coro
do, do
técnico, técnico
., .
`, `
`, `
Nós, nó
tentamos, tentamo
jogar, jogar
,, ,
mas, ma
o, o
Corinthians, corinthian
só, só
queria, queria
se, se
defender, defend
., .
No, no
fim, fim
,, ,
conseguiram, conseguiram
o, o
que, que
queria, queria
,, ,
um, um
ponto, ponto
e, e
a, a
classificação, classificação
., .
'', ''

, 

Para, para
Candinho, candinho
,, ,
o, o
Corinthians, corinthian
`, `
`, `
já, já
estava, estava
classificado, classificado
há, há
muito, muito
tempo, tempo
'', ''
e, e
`, `
`, `
não, não
precisava, precisava
ter, ter
jogado, jogado
daquela, daquela
maneira, maneira
'', ''
., .

, 

O, o
goleiro, goleiro
Paulo, paulo
César, césar
também, também
concordou, concord
que, que
o, o
Corinthians, corinthian
`, `
`, `
jogou, jogou
para, para
se, se
defender, defend
'', ''
., .

, 

De, de
tão, tão
usado, usado
,, ,
esse, ess
discurso, discurso
acabou, acab
virando, virando
explicação, explicação
para, para
todos, todo
os, os
erros, erro
do, do
time, time
., .

, 

", "
O, o
Corinthians, corinthian
jogou, jogou
com, com
três, trê
volantes, volant
e, e
depois, depoi
colocou, coloc
mais, mai
um, um
(, (
Ezequiel, ezequiel
), )
no, no
segundo, segundo
tempo, tempo
., .
Assim, assim
,, ,
ficou, ficou
impossível, impossível
atacar, atacar
'', ''
,, ,
argumentou, argument
o, o
atacante, atacant
Flávio, flávio
., .

, 

O, o
jogador, jogador
,, ,
porém, porém
,, ,
omitiu, omitiu
dois, doi
`, `
`, `
detalhes, detalh
'', ''
:, :
quando, quando
Ezequiel, ezequiel
entrou, entrou
,, ,
ele, ele
já, já
havia, havia
sido, sido
substituído, substituído
;, ;
e, e
foi, foi
após, apó
sua, sua
saída, saída
que, que
a, a
Portuguesa, portuguesa
teve, teve
as, as
melhores, melhor
chances, chanc
., .

, 

Só, só
o, o
atacante, atacant
Paulinho, paulinho
usou, usou
outro, outro
argumento, argumento
para, para
explicar, explicar
a, a
fraca, fraca
atuação, atuação
dos, do
atacantes, atacant
do, do
time, time
:, :
o, o
gramado, gramado
., .

, 

", "
A, a
bola, bola
,, ,
quando, quando
pica, pica
,, ,
pode, pode
ir, ir
para, para
qualquer, qualquer
lado, lado
., .
Por, por
isso, isso
,, ,
tivemos, tivemo
que, que
jogar, jogar
com, com
bolas, bola
altas, alta
,, ,
o, o
que, que
facilitou, facilit
o, o
trabalho, trabalho
do, do
Corinthians, corinthian
., .
'', ''

, 

Para, para
o, o
próximo, próximo
jogo, jogo
,, ,
Candinho, candinho
deve, deve
ter, ter
dois, doi
desfalques, desfalqu
:, :
o, o
lateral-direito, lateral-direito
Edinho, edinho
levou, levou
o, o
terceiro, terceiro
cartão, cartão
amarelo, amarelo
,, ,
e, e
está, está
suspenso, suspenso
;, ;
o, o
lateral-esquerdo, lateral-esquerdo
Zé, zé
Roberto, roberto
sofreu, sofreu
uma, uma
torção, torção
no, no
tornozelo, tornozelo
esquerdo, esquerdo
e, e
saiu, saiu
com, com
suspeita, suspeita
de, de
lesão, lesão
nos, no
ligamentos, ligamento
., .

, 

O, o
diretor, diretor
de, de
futebol, futebol
,, ,
Fernando, fernando
Gomes, gome
,, ,
afirmou, afirm
que, que
a, a
Portuguesa, portuguesa
não, não
deverá, deverá
mais, mai
fazer, fazer
contratações, contrataçõ
para, para
a, a
segunda, segunda
fase, fase
:, :
`, `
`, `
o, o
time, time
é, é
o, o
que, que
está, está
aí, aí
., .
'', ''

, 

