Desta, ﻿desta
vez, vez
,, ,
Telê, telê
Santana, santana
não, não
poupou, poupou
elogios, elogio
aos, ao
jogadores, jogador
do, do
São, são
Paulo, paulo
., .

, 

Segundo, segundo
ele, ele
,, ,
o, o
time, time
demonstrou, demonstr
muita, muita
força, força
de, de
vontade, vontad
e, e
espírito, espírito
de, de
luta, luta
e, e
por, por
isso, isso
conseguiu, conseguiu
reagir, reagir
no, no
segundo, segundo
tempo, tempo
e, e
empatar, empatar
a, a
partida, partida
diante, diant
do, do
Corinthians, corinthian
., .

, 

`, `
`, `
A, a
equipe, equip
jamais, jamai
se, se
entregou, entreg
,, ,
mesmo, mesmo
quando, quando
estava, estava
perdendo, perdendo
por, por
2, 2
a, a
0, 0
,, ,
e, e
chegou, chegou
a, a
um, um
empate, empat
merecido, merecido
'', ''
,, ,
disse, diss
., .

, 

Telê, telê
comemorou, comemor
muito, muito
o, o
gol, gol
marcado, marcado
por, por
Bordon, bordon
,, ,
o, o
primeiro, primeiro
do, do
São, são
Paulo, paulo
na, na
partida, partida
de, de
ontem, ontem
., .

, 

É, é
a, a
terceira, terceira
partida, partida
seguida, seguida
em, em
que, que
o, o
São, são
Paulo, paulo
consegue, consegu
fazer, fazer
gols, gol
em, em
cobranças, cobrança
de, de
falta, falta
ensaiadas, ensaiada
., .
Os, os
outros, outro
dois, doi
foram, foram
feitos, feito
por, por
Bentinho, bentinho
,, ,
contra, contra
XV, xv
de, de
Piracicaba, piracicaba
e, e
Grêmio, grêmio
., .

, 

`, `
`, `
Isso, isso
me, me
deixa, deixa
muito, muito
feliz, feliz
e, e
premia, premia
a, a
dedicação, dedicação
dos, do
jogadores, jogador
nos, no
treinamentos, treinamento
exaustivos, exaustivo
que, que
fazemos, fazemo
durante, durant
a, a
semana, semana
'', ''
,, ,
disse, diss
Telê, telê
., .

, 

Após, apó
os, os
treinos, treino
táticos, tático
e, e
técnicos, técnico
,, ,
Telê, telê
tem, tem
ficado, ficado
cerca, cerca
de, de
30, 30
minutos, minuto
ensaiando, ensaiando
cobranças, cobrança
de, de
falta, falta
com, com
os, os
jogadores, jogador
Bordon, bordon
,, ,
Bentinho, bentinho
,, ,
Juninho, juninho
e, e
Alemão, alemão
., .

, 

`, `
`, `
Eu, eu
treino, treino
até, até
os, os
músculos, músculo
da, da
perna, perna
começarem, começarem
a, a
doer, doer
., .
Mas, ma
sempre, sempr
soube, soub
que, que
o, o
resultado, resultado
iria, iria
aparecer, aparec
nos, no
jogos, jogo
'', ''
,, ,
afirmou, afirm
Bordon, bordon
., .

, 

Foi, foi
o, o
primeiro, primeiro
gol, gol
que, que
o, o
zagueiro, zagueiro
marcou, marcou
como, como
profissional, profission
., .

, 

`, `
`, `
Dou, dou
sorte, sort
contra, contra
o, o
Corinthians, corinthian
'', ''
,, ,
disse, diss
Bordon, bordon
., .
Ele, ele
fez, fez
um, um
gol, gol
parecido, parecido
contra, contra
o, o
rival, rival
na, na
última, última
Copa, copa
São, são
Paulo, paulo
de, de
Juniores, junior
., .

, 

Telê, telê
Santana, santana
elogiou, elogi
o, o
arbitragem, arbitragem
do, do
italiano, italiano
Pierluigi, pierluigi
Pairetto, pairetto
., .

, 

`, `
`, `
Ele, ele
deixou, deixou
o, o
jogo, jogo
seguir, seguir
em, em
bom, bom
ritmo, ritmo
e, e
,, ,
principalmente, principalment
,, ,
conseguiu, conseguiu
ser, ser
respeitado, respeitado
pelos, pelo
jogadores, jogador
., .
Se, se
fosse, foss
um, um
juiz, juiz
brasileiro, brasileiro
que, que
tivesse, tivess
marcado, marcado
o, o
pênalti, pênalti
que, que
ele, ele
marcou, marcou
,, ,
os, os
jogadores, jogador
do, do
Corinthians, corinthian
logo, logo
o, o
cercariam, cercariam
e, e
dariam, dariam
peitadas, peitada
'', ''
,, ,
disse, diss
Telê, telê
., .

, 

Com, com
o, o
empate, empat
de, de
ontem, ontem
,, ,
o, o
São, são
Paulo, paulo
completou, complet
a, a
sua, sua
sétima, sétima
partida, partida
invicta, invicta
no, no
Campeonato, campeonato
., .
A, a
última, última
derrota, derrota
foi, foi
para, para
o, o
Guarani, guarani
,, ,
dia, dia
5, 5
de, de
abril, abril
,, ,
no, no
Morumbi, morumbi
., .

, 

O, o
time, time
de, de
Campinas, campina
é, é
o, o
próximo, próximo
adversário, adversário
do, do
São, são
Paulo, paulo
,, ,
quarta-feira, quarta-feira
,, ,
em, em
Campinas, campina
., .

, 

O, o
lateral-esquerdo, lateral-esquerdo
André, andré
,, ,
recuperado, recuperado
de, de
uma, uma
fratura, fratura
no, no
pé, pé
esquerdo, esquerdo
,, ,
inicia, inicia
hoje, hoje
os, os
treinamentos, treinamento
com, com
bola, bola
., .

, 

Ele, ele
pode, pode
retornar, retornar
ao, ao
time, time
no, no
próximo, próximo
domingo, domingo
,, ,
contra, contra
o, o
União, união
São, são
João, joão
,, ,
no, no
Morumbi, morumbi
., .
Ronaldo, ronaldo
Luís, luí
,, ,
Pavão, pavão
,, ,
Axel, axel
e, e
Aílton, aílton
continuam, continuam
machucados, machucado
., .

, 

