Seis, ﻿sei
técnicos, técnico
foram, foram
demitidos, demitido
desde, desd
o, o
início, início
da, da
temporada, temporada
94-95, 94-95
da, da
NBA, nba
., .
O, o
último, último
deles, dele
a, a
perder, perder
o, o
emprego, emprego
foi, foi
Chris, chri
Ford, ford
,, ,
do, do
Boston, boston
Celtics, celtic
,, ,
quarta-feira, quarta-feira
., .

, 

Ford, ford
foi, foi
despedido, despedido
após, apó
desentendimentos, desentendimento
com, com
o, o
diretor, diretor
M.L., m.l.
Carr, carr
., .
O, o
Boston, boston
ainda, ainda
não, não
anunciou, anunci
o, o
novo, novo
técnico, técnico
., .

, 

Das, da
cinco, cinco
equipes, equip
_, _
o, o
Denver, denver
trocou, trocou
dois, doi
técnicos, técnico
_, _
que, que
despediram, despediram
seus, seu
treinadores, treinador
,, ,
apenas, apena
o, o
Boston, boston
chegou, chegou
até, até
a, a
fase, fase
decisiva, decisiva
(, (
playoffs, playoff
), )
da, da
liga, liga
., .

, 

O, o
time, time
ganhou, ganhou
35, 35
jogos, jogo
e, e
perdeu, perdeu
47, 47
na, na
temporada, temporada
regular, regular
(, (
classificação, classificação
), )
., .
Mas, ma
não, não
passou, passou
da, da
primeira, primeira
etapa, etapa
dos, do
playoffs, playoff
,, ,
quando, quando
foi, foi
eliminado, eliminado
pelo, pelo
Orlando, orlando
Magic, magic
por, por
3, 3
a, a
1, 1
na, na
série, série
melhor, melhor
de, de
cinco, cinco
jogos, jogo
., .

, 

As, as
outras, outra
trocas, troca
de, de
técnicos, técnico
:, :
Denver, denver
Nuggets, nugget
-, -
saiu, saiu
Dan, dan
Issel, issel
e, e
entrou, entrou
Gene, gene
Littles, littl
,, ,
em, em
15, 15
de, de
janeiro, janeiro
;, ;
Golden, golden
State, state
Warriors, warrior
-, -
trocou, trocou
Don, don
Nelson, nelson
por, por
Bob, bob
Lanier, lanier
,, ,
em, em
13, 13
de, de
fevereiro, fevereiro
;, ;
Miami, miami
Heat, heat
-, -
Kevin, kevin
Loughery, lougheri
por, por
Alvin, alvin
Gentry, gentri
,, ,
em, em
14, 14
de, de
fevereiro, fevereiro
;, ;
Denver, denver
Nuggets, nugget
-, -
Gene, gene
Littles, littl
por, por
Bernie, berni
Bickerstaf, bickerstaf
,, ,
em, em
20, 20
de, de
fevereiro, fevereiro
;, ;
Detroit, detroit
Pistons, piston
-, -
Don, don
Chaney, chaney
por, por
Doug, doug
Collins, collin
,, ,
em, em
29, 29
de, de
abril, abril
., .

, 

