Ao, ﻿ao
contrário, contrário
de, de
outros, outro
amistosos, amistoso
,, ,
Zagallo, zagallo
sabe, sabe
o, o
que, que
esperar, esperar
de, de
Israel, israel
., .

, 

Ele, ele
assistiu, assistiu
aos, ao
videoteipes, videoteip
de, de
Israel, israel
0, 0
x, x
0, 0
França, frança
e, e
Polônia, polônia
4, 4
x, x
3, 3
Israel, israel
,, ,
pelo, pelo
Campeonato, campeonato
Europeu, europeu
de, de
Seleções, seleçõ
., .

, 

A, a
seleção, seleção
de, de
Israel, israel
está, está
em, em
terceiro, terceiro
no, no
seu, seu
grupo, grupo
., .

, 

Zagallo, zagallo
afirmou, afirm
que, que
a, a
dupla, dupla
de, de
ataque, ataqu
Túlio, túlio
e, e
Ronaldo, ronaldo
tem, tem
`, `
`, `
boas, boa
chances, chanc
'', ''
de, de
ser, ser
a, a
titular, titular
da, da
Copa, copa
América, américa
., .

, 

Se, se
Bebeto, bebeto
e, e
Romário, romário
confirmarem, confirmarem
a, a
intenção, intenção
de, de
não, não
disputar, disputar
a, a
competição, competição
,, ,
as, as
duas, dua
vagas, vaga
do, do
ataque, ataqu
serão, serão
disputadas, disputada
pelos, pelo
dois, doi
mais, mai
o, o
flamenguista, flamenguista
Sávio, sávio
,, ,
que, que
não, não
foi, foi
convocado, convocado
., .

, 

No, no
treino, treino
de, de
marcação, marcação
,, ,
Zagallo, zagallo
deixou, deixou
que, que
Rivaldo, rivaldo
ficasse, ficass
mais, mai
adiantado, adiantado
do, do
que, que
os, os
meias, meia
Dunga, dunga
e, e
Doriva, doriva
,, ,
o, o
que, que
não, não
aconteceu, aconteceu
quando, quando
Souza, souza
estava, estava
no, no
time, time
., .

, 

", "
Depende, depend
um, um
pouco, pouco
do, do
estilo, estilo
de, de
cada, cada
um, um
'', ''
,, ,
afirmou, afirm
., .

, 

Contra, contra
um, um
adversário, adversário
que, que
considera, considera
inferior, inferior
ao, ao
Brasil, brasil
,, ,
Zagallo, zagallo
quer, quer
que, que
o, o
time, time
ataque, ataqu
desde, desd
o, o
primeiro, primeiro
minuto, minuto
., .

, 

", "
O, o
Brasil, brasil
sempre, sempr
ataca, ataca
,, ,
quando, quando
tem, tem
a, a
bola, bola
., .
Não, não
tem, tem
fase, fase
de, de
estudos, estudo
,, ,
não, não
., .
'', ''

, 

No, no
coletivo, coletivo
de, de
ontem, ontem
,, ,
o, o
técnico, técnico
interrompeu, interrompeu
várias, vária
vezes, veze
o, o
jogo, jogo
para, para
treinar, treinar
jogadas, jogada
de, de
bola, bola
parada, parada
., .

, 

Viu, viu
que, que
Rivaldo, rivaldo
,, ,
Juninho, juninho
e, e
Dunga, dunga
são, são
opções, opçõ
para, para
cobrar, cobrar
faltas, falta
perto, perto
da, da
área, área
., .
Juninho, juninho
também, também
cobra, cobra
os, os
escanteios, escanteio
pela, pela
esquerda, esquerda
., .

, 

(, (
MD, md
), )

, 

