Um, ﻿um
jogo, jogo
comemorativo, comemorativo
entre, entr
Santos, santo
e, e
Botafogo, botafogo
paraibano, paraibano
é, é
o, o
projeto, projeto
do, do
governo, governo
da, da
Paraíba, paraíba
para, para
comemorar, comemorar
o, o
milésimo, milésimo
gol, gol
de, de
Pelé, pelé
., .

, 

A, a
partida, partida
seria, seria
disputada, disputada
entre, entr
as, as
equipes, equip
atuais, atuai
e, e
os, os
times, time
que, que
em, em
14, 14
de, de
novembro, novembro
de, de
1969, 1969
disputaram, disputaram
o, o
jogo, jogo
do, do
gol, gol
número, número
1.000, 1.000
do, do
camisa, camisa
dez, dez
do, do
Santos, santo
., .

, 

A, a
Folha, folha
recontou, recont
os, os
gols, gol
de, de
Pelé, pelé
e, e
descobriu, descobriu
que, que
o, o
milésimo, milésimo
gol, gol
não, não
aconteceu, aconteceu
no, no
Rio, rio
de, de
Janeiro, janeiro
,, ,
frente, frent
ao, ao
Vasco, vasco
,, ,
no, no
dia, dia
19, 19
de, de
novembro, novembro
de, de
1969, 1969
,, ,
e, e
sim, sim
em, em
João, joão
Pessoa, pessoa
,, ,
quatro, quatro
dias, dia
antes, ant
,, ,
diante, diant
do, do
Botafogo, botafogo
da, da
Paraíba, paraíba
., .

, 

O, o
projeto, projeto
vai, vai
ser, ser
apresentado, apresentado
ao, ao
ex-jogador, ex-jogador
,, ,
que, que
atualmente, atualment
é, é
o, o
ministro, ministro
de, de
Esportes, esport
,, ,
nesta, nesta
sexta-feira, sexta-feira
., .

, 

O, o
secretário, secretário
de, de
Educação, educação
e, e
Desportos, desporto
da, da
Paraíba, paraíba
,, ,
Everaldo, everaldo
Lucena, lucena
,, ,
tem, tem
um, um
audiência, audiência
marcada, marcada
com, com
Pelé, pelé
,, ,
em, em
Brasília, brasília
,, ,
sexta, sexta
,, ,
às, às
15h, 15h
., .

, 

Lucena, lucena
vai, vai
convidar, convidar
Pelé, pelé
a, a
participar, participar
de, de
uma, uma
festa, festa
em, em
celebração, celebração
do, do
marco, marco
da, da
carreira, carreira
do, do
jogador, jogador
em, em
João, joão
Pessoa, pessoa
., .

, 

Entre, entr
os, os
assuntos, assunto
a, a
serem, serem
tratados, tratado
está, está
a, a
reforma, reforma
do, do
estádio, estádio
José, josé
Américo, américo
de, de
Almeida, almeida
Filho, filho
,, ,
local, local
do, do
milésimo, milésimo
gol, gol
., .

, 

O, o
antigo, antigo
estádio, estádio
é, é
hoje, hoje
um, um
centro, centro
esportivo, esportivo
estadual, estadu
e, e
abriga, abriga
atividades, atividad
físicas, física
,, ,
contando, contando
com, com
cerca, cerca
de, de
2.000, 2.000
crianças, criança
matriculadas, matriculada
., .

, 

O, o
secretário, secretário
paraibano, paraibano
irá, irá
pedir, pedir
ao, ao
ministro, ministro
recursos, recurso
para, para
a, a
reforma, reforma
e, e
ampliação, ampliação
desse, dess
centro, centro
esportivo, esportivo
., .

, 

No, no
local, local
vai, vai
ser, ser
descerrado, descerrado
um, um
busto, busto
com, com
a, a
imagem, imagem
do, do
maior, maior
artilheiro, artilheiro
da, da
história, história
do, do
futebol, futebol
., .

, 

Segundo, segundo
as, as
autoridades, autoridad
paraibanas, paraibana
,, ,
já, já
foi, foi
feito, feito
contato, contato
com, com
o, o
clube, clube
santista, santista
para, para
a, a
participação, participação
do, do
time, time
que, que
ocupa, ocupa
a, a
segunda, segunda
colocação, colocação
do, do
Campeonato, campeonato
Paulista, paulista
no, no
jogo, jogo
comemorativo, comemorativo
que, que
ainda, ainda
não, não
tem, tem
data, data
marcada, marcada
., .

, 

Mas, ma
o, o
jogo, jogo
depende, depend
da, da
reforma, reforma
do, do
estádio, estádio
,, ,
que, que
foi, foi
palco, palco
do, do
marco, marco
histórico, histórico
na, na
carreira, carreira
de, de
Pelé, pelé
., .

, 

Os, os
eventos, evento
que, que
estão, estão
sendo, sendo
organizados, organizado
receberam, receberam
apoio, apoio
dos, do
deputados, deputado
estaduais, estaduai
da, da
Paraíba, paraíba
., .

, 

Até, até
as, as
rádios, rádio
locais, locai
estão, estão
em, em
campanha, campanha
para, para
a, a
ida, ida
de, de
Pelé, pelé
., .

, 

