Até, ﻿até
a, a
23ª, 23ª
rodada, rodada
do, do
Campeonato, campeonato
Paulista, paulista
,, ,
Santos, santo
é, é
a, a
cidade, cidad
que, que
,, ,
em, em
média, média
,, ,
mais, mai
torcedores, torcedor
tem, tem
em, em
seus, seu
estádios, estádio
., .

, 

Nos, no
11, 11
jogos, jogo
em, em
Vila, vila
Belmiro, belmiro
e, e
Ulrico, ulrico
Mursa, mursa
,, ,
os, os
dois, doi
campos, campo
onde, ond
o, o
Santos, santo
atuou, atuou
na, na
cidade, cidad
,, ,
223.031, 223.031
pagantes, pagant
estiveram, estiveram
presentes, present
., .
Uma, uma
média, média
de, de
10.138, 10.138
por, por
jogo, jogo
., .

, 

A, a
cidade, cidad
de, de
São, são
Paulo, paulo
,, ,
que, que
tem, tem
os, os
outros, outro
quatro, quatro
grandes, grand
clubes, clube
do, do
Estado, estado
,, ,
recebeu, recebeu
3,8, 3,8
vezes, veze
mais, mai
público, público
que, que
Santos, santo
., .
Mas, ma
,, ,
na, na
média, média
,, ,
recebe, receb
17,9, 17,9
%, %
menos, meno
torcedores, torcedor
em, em
seus, seu
estádios, estádio
., .

, 

Piracicaba, piracicaba
está, está
entre, entr
as, as
duas, dua
cidades, cidad
., .
A, a
liderança, liderança
passageira, passageira
do, do
clube, clube
local, local
,, ,
o, o
XV, xv
,, ,
no, no
começo, começo
do, do
torneio, torneio
,, ,
ajudou, ajud
no, no
desempenho, desempenho
., .

, 

A, a
cidade, cidad
tem, tem
o, o
sétimo, sétimo
melhor, melhor
público, público
em, em
um, um
jogo, jogo
do, do
Paulista, paulista
., .
Logo, logo
na, na
primeira, primeira
rodada, rodada
,, ,
em, em
28, 28
de, de
janeiro, janeiro
,, ,
o, o
estádio, estádio
Barão, barão
de, de
Serra, serra
Negra, negra
teve, teve
21.910, 21.910
pagantes, pagant
,, ,
a, a
melhor, melhor
marca, marca
fora, fora
de, de
um, um
clássico, clássico
., .

, 

Piracicaba, piracicaba
vivia, vivia
um, um
clima, clima
de, de
expectativa, expectativa
,, ,
já, já
que, que
o, o
novo, novo
patrocinador, patrocinador
da, da
equipe, equip
,, ,
a, a
TAM, tam
,, ,
havia, havia
levado, levado
vários, vário
reforços, reforço
para, para
o, o
time, time
., .

, 

A, a
queda, queda
de, de
rendimento, rendimento
da, da
equipe, equip
,, ,
ainda, ainda
no, no
primeiro, primeiro
turno, turno
,, ,
fez, fez
desabar, desabar
as, as
rendas, renda
., .
Embora, embora
com, com
média, média
de, de
8.753, 8.753
pagantes, pagant
no, no
campeonato, campeonato
,, ,
hoje, hoje
o, o
estádio, estádio
vem, vem
recebendo, recebendo
cerca, cerca
de, de
3.000, 3.000
pagantes, pagant
., .

, 

O, o
declínio, declínio
de, de
Piracicaba, piracicaba
contrasta, contrasta
com, com
a, a
ascensão, ascensão
de, de
Santos, santo
., .
A, a
boa, boa
campanha, campanha
do, do
clube, clube
,, ,
que, que
é, é
vice-líder, vice-líd
do, do
campeonato, campeonato
,, ,
resultou, result
em, em
arrecadações, arrecadaçõ
maiores, maior
que, que
as, as
do, do
São, são
Paulo, paulo
,, ,
o, o
líder, líder
., .

, 

Com, com
transmissão, transmissão
ao, ao
vivo, vivo
pela, pela
TV, tv
,, ,
em, em
uma, uma
quinta-feira, quinta-feira
,, ,
o, o
jogo, jogo
Santos, santo
x, x
Juventus, juventu
teve, teve
3.663, 3.663
pagantes, pagant
., .
A, a
partida, partida
São, são
Paulo, paulo
x, x
União, união
,, ,
disputada, disputada
anteontem, anteontem
,, ,
no, no
Morumbi, morumbi
,, ,
foi, foi
presenciada, presenciada
por, por
503, 503
pessoas, pessoa
a, a
menos, meno
., .

, 

A, a
média, média
