Autor, ﻿autor
dos, do
três, trê
gols, gol
da, da
vitória, vitória
de, de
3, 3
a, a
1, 1
do, do
Palmeiras, palmeira
sobre, sobr
o, o
Corinthians, corinthian
,, ,
o, o
atacante, atacant
Magrão, magrão
viveu, viveu
ontem, ontem
o, o
seu, seu
dia, dia
de, de
herói, herói
., .

, 

Deu, deu
várias, vária
entrevistas, entrevista
,, ,
foi, foi
saudado, saudado
pelos, pelo
torcedores, torcedor
nas, na
ruas, rua
e, e
recebeu, recebeu
elogios, elogio
dos, do
companheiros, companheiro
., .

, 

Há, há
nove, nove
anos, ano
no, no
Palmeiras, palmeira
,, ,
Magrão, magrão
,, ,
21, 21
,, ,
sente, sent
que, que
,, ,
finalmente, finalment
,, ,
provou, provou
ter, ter
condições, condiçõ
de, de
ser, ser
titular, titular
do, do
time, time
., .

, 

`, `
`, `
Demorou, demor
., .
Trabalhei, trabalhei
sem, sem
horizontes, horizont
,, ,
mas, ma
jamais, jamai
desisti, desisti
de, de
jogar, jogar
no, no
Palmeiras, palmeira
., .
Sabia, sabia
que, que
a, a
minha, minha
vez, vez
iria, iria
chegar, chegar
'', ''
,, ,
afirmou, afirm
., .

, 

(, (
AR, ar
), )

, 

Folha, folha
-, -
O, o
que, que
mudou, mudou
na, na
sua, sua
vida, vida
após, apó
os, os
três, trê
gols, gol
contra, contra
o, o
Corinthians, corinthian
?, ?

, 

Magrão, magrão
-, -
O, o
assédio, assédio
da, da
imprensa, imprensa
e, e
o, o
incentivo, incentivo
dos, do
torcedores, torcedor
são, são
as, as
principais, principai
mudanças, mudança
., .
O, o
jogo, jogo
contra, contra
o, o
Corinthians, corinthian
foi, foi
muito, muito
importante, important
para, para
minha, minha
vida, vida
e, e
carreira, carreira
., .
Marcou, marcou
mesmo, mesmo
., .

, 

Mas, ma
tenho, tenho
que, que
esquecê-lo, esquecê-lo
e, e
continuar, continuar
o, o
trabalho, trabalho
com, com
a, a
mesma, mesma
humildade, humildad
de, de
antes, ant
., .
Temos, temo
um, um
jogo, jogo
importante, important
contra, contra
o, o
América, américa
., .

, 

Folha, folha
-, -
Agora, agora
você, você
se, se
sente, sent
preparado, preparado
para, para
ser, ser
titular, titular
do, do
Palmeiras, palmeira
?, ?

, 

Magrão, magrão
-, -
O, o
importante, important
é, é
que, que
mostrei, mostrei
,, ,
contra, contra
o, o
Corinthians, corinthian
,, ,
que, que
tenho, tenho
condições, condiçõ
de, de
ser, ser
titular, titular
., .
Estou, estou
preparado, preparado
para, para
conquistar, conquistar
o, o
meu, meu
espaço, espaço
,, ,
mas, ma
aceito, aceito
voltar, voltar
para, para
a, a
reserva, reserva
normalmente, normalment
., .

, 

Folha, folha
-, -
Você, você
não, não
se, se
sente, sent
desprestigiado, desprestigiado
no, no
clube, clube
por, por
ser, ser
um, um
jogador, jogador
formado, formado
nas, na
categorias, categoria
de, de
base, base
?, ?

, 

Magrão, magrão
-, -
Já, já
joguei, joguei
nas, na
seleções, seleçõ
brasileiras, brasileira
de, de
juvenis, juveni
e, e
juniores, junior
e, e
nunca, nunca
tive, tive
o, o
mesmo, mesmo
reconhecimento, reconhecimento
no, no
Palmeiras, palmeira
., .
Pela, pela
grandeza, grandeza
do, do
clube, clube
,, ,
cobram, cobram
muito, muito
dos, do
jogadores, jogador
formados, formado
aqui, aqui
., .

, 

Por, por
outro, outro
lado, lado
,, ,
por, por
ser, ser
prata-da-casa, prata-da-casa
,, ,
nunca, nunca
quiseram, quiseram
me, me
vender, vender
., .
Prova, prova
disso, disso
é, é
que, que
renovaram, renovaram
meu, meu
contrato, contrato
até, até
março, março
de, de
1996, 1996
., .

, 

