Cinco, ﻿cinco
jogadores, jogador
do, do
Palmeiras, palmeira
foram, foram
convocados, convocado
ontem, ontem
para, para
o, o
jogo, jogo
da, da
seleção, seleção
brasileira, brasileira
contra, contra
Israel, israel
,, ,
dia, dia
17, 17
,, ,
na, na
cidade, cidad
israelense, israelens
de, de
Tel, tel
Aviv, aviv
., .

, 

O, o
zagueiro, zagueiro
Cléber, cléber
e, e
o, o
lateral-esquerdo, lateral-esquerdo
Roberto, roberto
Carlos, carlo
devem, devem
ser, ser
titulares, titular
., .
O, o
meia, meia
Rivaldo, rivaldo
tem, tem
chances, chanc
., .
O, o
meias, meia
defensivos, defensivo
Flávio, flávio
Conceição, conceição
e, e
Amaral, amar
provavelmente, provavelment
serão, serão
reservas, reserva
., .

, 

As, as
quatro, quatro
maiores, maior
novidades, novidad
da, da
lista, lista
de, de
jogadores, jogador
são, são
Amaral, amar
,, ,
o, o
lateral-esquerdo, lateral-esquerdo
Roger, roger
(, (
Grêmio-RS, grêmio-r
), )
e, e
os, os
atacantes, atacant
Leandro, leandro
(, (
Inter-RS, inter-r
), )
e, e
Caio, caio
(, (
São, são
Paulo, paulo
), )
., .

, 

Eles, ele
foram, foram
chamados, chamado
pela, pela
primeira, primeira
vez, vez
para, para
a, a
seleção, seleção
adulta, adulta
., .
Caio, caio
integrou, integr
a, a
seleção, seleção
que, que
conquistou, conquist
no, no
mês, mê
passado, passado
o, o
vice-campeonato, vice-campeonato
mundial, mundial
de, de
juniores, junior
(, (
atletas, atleta
até, até
19, 19
anos, ano
), )
., .

, 

O, o
técnico, técnico
Mario, mario
Jorge, jorg
Zagallo, zagallo
eliminou, elimin
da, da
lista, lista
o, o
zagueiro, zagueiro
Márcio, márcio
Santos, santo
(, (
do, do
clube, clube
italiano, italiano
Fiorentina, fiorentina
), )
,, ,
cuja, cuja
convocação, convocação
havia, havia
sido, sido
anunciada, anunciada
na, na
semana, semana
passada, passada
., .
O, o
jogador, jogador
pediu, pediu
afastamento, afastamento
alegando, alegando
estresse, estress
., .

, 

O, o
treinador, treinador
afirmou, afirm
que, que
o, o
atacante, atacant
Edmundo, edmundo
,, ,
do, do
Palmeiras, palmeira
,, ,
ficará, ficará
fora, fora
da, da
seleção, seleção
`, `
`, `
enquanto, enquanto
não, não
mudar, mudar
o, o
comportamento, comportamento
., .
Não, não
vou, vou
premiar, premiar
indisciplina, indisciplina
'', ''
., .

, 

`, `
`, `
Chamá-lo, chamá-lo
seria, seria
um, um
prêmio, prêmio
às, às
suas, sua
atitudes, atitud
no, no
clube, clube
., .
Sei, sei
que, que
o, o
que, que
ele, ele
mais, mai
quer, quer
é, é
chegar, chegar
à, à
seleção, seleção
,, ,
mas, ma
essa, essa
não, não
é, é
a, a
hora, hora
., .
Como, como
é, é
craque, craqu
,, ,
um, um
dia, dia
o, o
convocarei, convocarei
., .
'', ''

, 

O, o
técnico, técnico
tem, tem
uma, uma
dúvida, dúvida
para, para
a, a
equipe, equip
que, que
enfrentará, enfrentará
Israel, israel
:, :
o, o
palmeirense, palmeirens
Rivaldo, rivaldo
ou, ou
o, o
botafoguense, botafoguens
Sérgio, sérgio
Manoel, manoel
no, no
meio, meio
., .

, 

`, `
`, `
O, o
Rivaldo, rivaldo
começou, começ
bem, bem
na, na
seleção, seleção
,, ,
piorou, piorou
,, ,
mas, ma
se, se
recuperou, recuper
no, no
clube, clube
'', ''
,, ,
disse, diss
Zagallo, zagallo
., .
`, `
`, `
Não, não
é, é
como, como
o, o
Elivélton, elivélton
(, (
Corinthians, corinthian
), )
,, ,
que, que
teve, teve
uma, uma
ascensão, ascensão
fulminante, fulminant
,, ,
afundou, afund
e, e
não, não
se, se
levantou, levant
mais, mai
., .
'', ''

, 

O, o
provável, provável
time, time
titular, titular
é, é
o, o
seguinte, seguint
:, :
Zetti, zetti
;, ;
Cafu, cafu
,, ,
Aldair, aldair
,, ,
Cléber, cléber
e, e
Roberto, roberto
Carlos, carlo
;, ;
Doriva, doriva
,, ,
Dunga, dunga
,, ,
Rivaldo, rivaldo
(, (
Sérgio, sérgio
Manoel, manoel
), )
e, e
Juninho, juninho
;, ;
Túlio, túlio
e, e
Ronaldo, ronaldo
., .

, 

Não, não
foram, foram
chamados, chamado
atletas, atleta
de, de
Corinthians, corinthian
,, ,
Flamengo, flamengo
,, ,
Vasco, vasco
,, ,
Atlético-MG, atlético-mg
e, e
Cruzeiro, cruzeiro
porque, porqu
esses, ess
times, time
jogam, jogam
no, no
meio, meio
da, da
semana, semana
que, que
vem, vem
pela, pela
Copa, copa
do, do
Brasil, brasil
., .

, 

São, são
Paulo, paulo
foi, foi
o, o
Estado, estado
com, com
mais, mai
(, (
11, 11
), )
jogadores, jogador
convocados, convocado
., .
Foi, foi
seguido, seguido
por, por
Rio, rio
Grande, grand
do, do
Sul, sul
(, (
três, trê
), )
,, ,
Rio, rio
(, (
dois, doi
), )
,, ,
Pernambuco, pernambuco
e, e
Bahia, bahia
(, (
um, um
cada, cada
), )
., .
Quatro, quatro
jogadores, jogador
atuam, atuam
no, no
exterior, exterior
., .

, 

Não, não
foram, foram
chamados, chamado
atletas, atleta
radicados, radicado
no, no
Japão, japão
porque, porqu
Zagallo, zagallo
considera, considera
desgastante, desgastant
a, a
viagem, viagem
para, para
eles, ele
., .

, 

