Melhor, ﻿melhor
colocado, colocado
no, no
grid, grid
provisório, provisório
entre, entr
os, os
brasileiros, brasileiro
(, (
6º, 6º
lugar, lugar
), )
,, ,
Mauricio, mauricio
Gugelmin, gugelmin
poderia, poderia
até, até
obter, obter
melhor, melhor
média, média
horária, horária
se, se
não, não
tivesse, tivess
problemas, problema
com, com
seu, seu
Pacwest, pacwest
na, na
sessão, sessão
de, de
anteontem, anteontem
., .

, 

Ele, ele
fez, fez
sua, sua
primeira, primeira
volta, volta
classificatória, classificatória
a, a
368,8, 368,8
km/h, km/h
de, de
média, média
., .
Na, na
segunda, segunda
,, ,
porém, porém
,, ,
a, a
válvula, válvula
que, que
comanda, comanda
a, a
pressão, pressão
do, do
turbo, turbo
abriu, abriu
e, e
o, o
carro, carro
perdeu, perdeu
potência, potência
., .

, 

`, `
`, `
Nas, na
outras, outra
três, trê
voltas, volta
,, ,
pisei, pisei
no, no
acelerador, acelerador
com, com
os, os
dois, doi
pés, pé
,, ,
mas, ma
o, o
carro, carro
não, não
andou, andou
'', ''
,, ,
brincou, brincou
ele, ele
., .

, 

O, o
brasileiro, brasileiro
acabou, acab
com, com
média, média
de, de
366,7, 366,7
km/h, km/h
nas, na
quatro, quatro
voltas, volta
do, do
treino, treino
., .

, 

Mesmo, mesmo
assim, assim
,, ,
sua, sua
posição, posição
no, no
grid, grid
é, é
cômoda, cômoda
., .
Até, até
ontem, ontem
havia, havia
,, ,
pelo, pelo
menos, meno
,, ,
14, 14
carros, carro
mais, mai
lentos, lento
que, que
o, o
dele, dele
., .
Ou, ou
seja, seja
,, ,
há, há
14, 14
carros, carro
que, que
precisam, precisam
ser, ser
eliminados, eliminado
até, até
que, que
Gugelmin, gugelmin
corra, corra
algum, algum
risco, risco
., .

, 

A, a
situação, situação
de, de
Gil, gil
de, de
Ferran, ferran
é, é
a, a
oposta, oposta
., .
Classificado, classificado
na, na
20ª, 20ª
posição, posição
_, _
a, a
última, última
do, do
grid, grid
provisório, provisório
_, _
,, ,
ele, ele
era, era
,, ,
até, até
o, o
fechamento, fechamento
desta, desta
edição, edição
,, ,
o, o
primeiro, primeiro
piloto, piloto
a, a
ser, ser
eliminado, eliminado
por, por
outro, outro
mais, mai
veloz, veloz
., .

, 

Assim, assim
como, como
Gugelmin, gugelmin
,, ,
Ferran, ferran
também, também
teve, teve
problemas, problema
na, na
válvula, válvula
do, do
turbo, turbo
no, no
treino, treino
de, de
sábado, sábado
., .

, 

(, (
MT, mt
), )

, 

