Várias, ﻿vária
medidas, medida
propostas, proposta
pelo, pelo
projeto, projeto
de, de
lei, lei
do, do
deputado, deputado
Arlindo, arlindo
Chinaglia, chinaglia
(, (
PT-SP, pt-sp
), )
estão, estão
provocando, provocando
polêmica, polêmica
., .

, 

Para, para
Jamelão, jamelão
,, ,
presidente, president
da, da
torcida, torcida
corintiana, corintiana
Gaviões, gaviõ
da, da
Fiel, fiel
,, ,
a, a
maior, maior
de, de
São, são
Paulo, paulo
,, ,
é, é
preciso, preciso
levar, levar
em, em
consideração, consideração
o, o
impacto, impacto
econômico, econômico
das, da
medidas, medida
., .

, 

`, `
`, `
Apoiamos, apoiamo
a, a
numeração, numeração
das, da
cadeiras, cadeira
e, e
a, a
instalação, instalação
de, de
sistemas, sistema
de, de
vídeo, vídeo
,, ,
mas, ma
o, o
futebol, futebol
é, é
a, a
única, única
festa, festa
do, do
povo, povo
e, e
isso, isso
vai, vai
encarecer, encarec
o, o
ingresso, ingresso
., .
Foi, foi
o, o
que, que
aconteceu, aconteceu
no, no
Pacaembu, pacaembu
,, ,
que, que
instalou, instal
cadeiras, cadeira
novas, nova
e, e
numeradas, numerada
'', ''
,, ,
afirmou, afirm
., .

, 

O, o
presidente, president
do, do
Santos, santo
,, ,
Samir, samir
Abdul, abdul
Hack, hack
,, ,
acredita, acredita
que, que
a, a
modernização, modernização
dos, do
estádios, estádio
terá, terá
um, um
custo, custo
,, ,
mas, ma
que, que
ele, ele
pode, pode
ser, ser
amortizado, amortizado
de, de
outras, outra
maneiras, maneira
., .

, 

`, `
`, `
A, a
Federação, federação
Paulista, paulista
de, de
Futebol, futebol
já, já
se, se
ofereceu, ofereceu
para, para
ajudar, ajudar
o, o
Santos, santo
a, a
colocar, colocar
assentos, assento
numerados, numerado
na, na
Vila, vila
Belmiro, belmiro
'', ''
,, ,
disse, diss
., .

, 

A, a
Fifa, fifa
,, ,
órgão, órgão
máximo, máximo
do, do
futebol, futebol
mundial, mundial
,, ,
prevê, prevê
que, que
somente, soment
estádios, estádio
com, com
todos, todo
os, os
assentos, assento
numerados, numerado
podem, podem
ser, ser
usados, usado
na, na
Copa, copa
do, do
Mundo, mundo
., .

, 

Assim, assim
,, ,
se, se
o, o
Brasil, brasil
quiser, quiser
se, se
candidatar, candidatar
a, a
abrigar, abrigar
um, um
Mundial, mundial
,, ,
essa, essa
modernização, modernização
terá, terá
de, de
ser, ser
feita, feita
., .

, 

Jamelão, jamelão
defende, defend
também, também
o, o
cadastramento, cadastramento
das, da
torcidas, torcida
organizadas, organizada
,, ,
previsto, previsto
pelo, pelo
projeto, projeto
., .
Mas, ma
,, ,
segundo, segundo
ele, ele
,, ,
os, os
atos, ato
de, de
violência, violência
não, não
partem, partem
dessas, dessa
torcidas, torcida
., .

, 

`, `
`, `
É, é
preciso, preciso
controlar, controlar
a, a
venda, venda
de, de
camisetas, camiseta
falsificadas, falsificada
das, da
torcidas, torcida
., .
As, as
pessoas, pessoa
brigam, brigam
usando, usando
essas, essa
camisas, camisa
e, e
a, a
torcida, torcida
leva, leva
a, a
fama, fama
'', ''
,, ,
disse, diss
o, o
dirigente, dirigent
., .

, 

Segundo, segundo
o, o
tenente-coronel, tenente-coronel
Carlos, carlo
Alberto, alberto
de, de
Camargo, camargo
,, ,
a, a
Polícia, polícia
Militar, militar
de, de
São, são
Paulo, paulo
já, já
vem, vem
realizando, realizando
boa, boa
parte, part
das, da
medidas, medida
previstos, previsto
pelo, pelo
projeto, projeto
de, de
lei, lei
., .

, 

Ele, ele
é, é
cético, cético
,, ,
porém, porém
,, ,
quanto, quanto
à, à
possibilidade, possibilidad
de, de
conter, conter
a, a
violência, violência
`, `
`, `
por, por
decreto, decreto
'', ''
., .

, 

`, `
`, `
Nós, nó
acreditamos, acreditamo
na, na
força, força
das, da
pequenas, pequena
providências, providência
para, para
resolver, resolv
grandes, grand
problemas, problema
,, ,
e, e
não, não
em, em
uma, uma
solução, solução
única, única
'', ''
,, ,
disse, diss
., .

, 

Segundo, segundo
ele, ele
,, ,
as, as
técnicas, técnica
a, a
serem, serem
usadas, usada
no, no
combate, combat
à, à
violência, violência
,, ,
como, como
o, o
uso, uso
de, de
câmeras, câmera
de, de
vídeo, vídeo
,, ,
não, não
deve, deve
constar, constar
da, da
lei, lei
., .

, 

`, `
`, `
Se, se
amanhã, amanhã
houver, houver
uma, uma
técnica, técnica
melhor, melhor
,, ,
seremos, seremo
obrigados, obrigado
a, a
manter, manter
as, as
câmeras, câmera
,, ,
pois, poi
a, a
lei, lei
nos, no
obrigará, obrigará
'', ''
,, ,
afirmou, afirm
., .

, 

(, (
HuSa, husa
), )

, 

