Mesmo, ﻿mesmo
sem, sem
a, a
sua, sua
dupla, dupla
titular, titular
de, de
ataque, ataqu
,, ,
o, o
técnico, técnico
do, do
Paraná, paraná
,, ,
Otacílio, otacílio
Gonçalves, gonçalv
,, ,
disse, diss
ter, ter
um, um
time, time
em, em
condições, condiçõ
de, de
derrotar, derrotar
hoje, hoje
o, o
Corinthians, corinthian
., .

, 

Os, os
atacantes, atacant
titulares, titular
Saulo, saulo
e, e
Mirandinha, mirandinha
estão, estão
fora, fora
do, do
jogo, jogo
por, por
suspensão, suspensão
automática, automática
e, e
contusão, contusão
,, ,
respectivamente, respectivament
., .
Claudinho, claudinho
e, e
Aldrovani, aldrovani
serão, serão
os, os
atacantes, atacant
., .

, 

A, a
única, única
dúvida, dúvida
do, do
técnico, técnico
é, é
a, a
escalação, escalação
do, do
lateral, later
Gil, gil
Baiano, baiano
., .

, 

O, o
jogador, jogador
está, está
se, se
recuperando, recuperando
de, de
uma, uma
contusão, contusão
na, na
coxa, coxa
direita, direita
e, e
o, o
técnico, técnico
não, não
sabe, sabe
se, se
pode, pode
contar, contar
com, com
ele, ele
para, para
a, a
partida, partida
., .

, 

Caso, caso
Gil, gil
Baiano, baiano
não, não
jogue, jogu
,, ,
o, o
jogador, jogador
Denilson, denilson
será, será
deslocado, deslocado
do, do
meio-campo, meio-campo
para, para
a, a
lateral, later
., .

, 

Para, para
suprir, suprir
a, a
ausência, ausência
de, de
Denilson, denilson
no, no
meio-campo, meio-campo
,, ,
Otacílio, otacílio
terá, terá
duas, dua
opções, opçõ
:, :
Perdigão, perdigão
ou, ou
Mário, mário
., .

, 

A, a
diretoria, diretoria
do, do
clube, clube
espera, espera
um, um
público, público
superior, superior
a, a
50, 50
mil, mil
pessoas, pessoa
., .

, 

