Mais, ﻿mai
do, do
que, que
uma, uma
corrida, corrida
,, ,
as, as
500, 500
Milhas, milha
de, de
Indianápolis, indianápoli
são, são
uma, uma
festa, festa
tipicamente, tipicament
norte-americana, norte-americana
que, que
acontece, acontec
ao, ao
longo, longo
do, do
mês, mê
de, de
maio, maio
., .

, 

Enquanto, enquanto
equipes, equip
e, e
pilotos, piloto
treinam, treinam
e, e
buscam, buscam
a, a
classificação, classificação
para, para
a, a
`, `
`, `
maior, maior
corrida, corrida
do, do
mundo, mundo
'', ''
,, ,
milhares, milhar
de, de
torcedores, torcedor
passeiam, passeiam
pelo, pelo
Indianapolis, indianapoli
Motor, motor
Speedway, speedway
., .

, 

Suas, sua
principais, principai
atividades, atividad
:, :
comprar, comprar
o, o
maior, maior
número, número
de, de
souvenires, souvenir
possível, possível
,, ,
beber, beber
cerveja, cerveja
e, e
comer, comer
., .

, 

Debaixo, debaixo
de, de
sol, sol
,, ,
homens, homen
sem, sem
camisa, camisa
e, e
mulheres, mulher
de, de
biquíni, biquíni
passeiam, passeiam
pelo, pelo
Fanfest, fanfest
,, ,
uma, uma
feira, feira
montada, montada
no, no
interior, interior
do, do
autódromo, autódromo
., .

, 

Ali, ali
,, ,
visitam, visitam
as, as
barracas, barraca
,, ,
uma, uma
para, para
cada, cada
piloto, piloto
., .

, 

Pode-se, pode-s
,, ,
facilmente, facilment
,, ,
realizar, realizar
um, um
sonho, sonho
:, :
`, `
`, `
ser, ser
'', ''
Michael, michael
Andretti, andretti
., .
Pela, pela
bagatela, bagatela
de, de
US$, us$
595,00, 595,00
,, ,
compra-se, compra-s
o, o
macacão, macacão
do, do
norte-americano, norte-americano
,, ,
com, com
direito, direito
a, a
patrocinadores, patrocinador
e, e
tudo, tudo
o, o
mais, mai
., .

, 

Surpreendentemente, surpreendentement
,, ,
o, o
carro, carro
de, de
Andretti, andretti
sai, sai
de, de
graça, graça
para, para
o, o
torcedor, torcedor
., .

, 

Um, um
simulador, simulador
,, ,
montado, montado
por, por
uma, uma
cervejaria, cervejaria
,, ,
mostra, mostra
todas, toda
as, as
sensações, sensaçõ
de, de
pilotar, pilotar
em, em
Indianápolis, indianápoli
., .

, 

Basta, basta
ao, ao
torcedor, torcedor
,, ,
no, no
entanto, entanto
,, ,
ter, ter
paciência, paciência
e, e
aguardar, aguardar
por, por
cerca, cerca
de, de
uma, uma
hora, hora
na, na
fila, fila
para, para
o, o
brinquedo, brinquedo
., .

, 

Mas, ma
,, ,
se, se
passar, passar
pelo, pelo
desafio, desafio
,, ,
poderá, poderá
fazer, fazer
algo, algo
que, que
Andretti, andretti
gostaria, gostaria
muito, muito
de, de
ter, ter
feito, feito
ontem, ontem
:, :
tomar, tomar
o, o
leite, leit
da, da
vitória, vitória
da, da
prova, prova
., .

, 

Por, por
apenas, apena
US$, us$
3,00, 3,00
,, ,
o, o
`, `
`, `
race, race
fan, fan
'', ''
bebe, bebe
um, um
copo, copo
de, de
leite, leit
puro, puro
ou, ou
achocolatado, achocolatado
., .

, 

De, de
quebra, quebra
,, ,
leva, leva
o, o
copo, copo
_, _
com, com
a, a
inscrição, inscrição
`, `
`, `
os, os
vencedores, vencedor
bebem, bebem
leite, leit
'', ''
_, _
para, para
casa, casa
., .

, 

Vencedor, vencedor
mesmo, mesmo
,, ,
no, no
entanto, entanto
,, ,
é, é
quem, quem
sobrevive, sobrev
a, a
uma, uma
coxa, coxa
de, de
peru, peru
_, _
mais, mai
parece, parec
a, a
coxa, coxa
de, de
uma, uma
ema, ema
_, _
,, ,
servida, servida
,, ,
por, por
US$, us$
4,50, 4,50
,, ,
na, na
feira, feira
., .

, 

Depois, depoi
dela, dela
,, ,
só, só
mesmo, mesmo
um, um
descanso, descanso
no, no
gramado, gramado
central, central
do, do
circuito, circuito
., .

, 

Ou, ou
nos, no
traillers, trailler
instalados, instalado
nas, na
ruas, rua
que, que
cercam, cercam
a, a
pista, pista
de, de
Indianápolis, indianápoli
., .

, 

Os, os
vizinhos, vizinho
do, do
autódromo, autódromo
,, ,
aliás, aliá
,, ,
não, não
dormem, dormem
de, de
sábado, sábado
para, para
domingo, domingo
., .
Muitos, muito
alugam, alugam
seus, seu
quintais, quintai
como, como
estacionamento, estacionamento
para, para
quem, quem
vai, vai
assistir, assistir
à, à
corrida, corrida
., .

, 

Na, na
madrugada, madrugada
,, ,
os, os
`, `
`, `
race, race
fans, fan
'', ''
bebem, bebem
mais, mai
cerveja, cerveja
,, ,
enquanto, enquanto
aguardam, aguardam
a, a
abertura, abertura
dos, do
portões, portõ
,, ,
às, às
5h, 5h
., .

, 

Para, para
descontrair, descontrair
,, ,
fazem, fazem
um, um
apelo, apelo
às, às
garotas, garota
que, que
passam, passam
pela, pela
rua, rua
:, :
`, `
`, `
show, show
us, us
your, your
tits, tit
'', ''
(, (
mostre-nos, mostre-no
os, os
seus, seu
seios, seio
), )
., .
Algumas, alguma
correspondem, correspondem
ao, ao
pedido, pedido
,, ,
para, para
o, o
delírio, delírio
da, da
torcida, torcida
., .

, 

(, (
MT, mt
), )

, 

