Amistosos, ﻿amistoso
do, do
Brasil, brasil
foram, foram
usados, usado
para, para
promover, promov
jogadores, jogador
ligados, ligado
ao, ao
empresário, empresário
português, portuguê
Manuel, manuel
Barbosa, barbosa
., .

, 

No, no
ano, ano
passado, passado
,, ,
antes, ant
da, da
Copa, copa
do, do
Mundo, mundo
,, ,
a, a
seleção, seleção
enfrentou, enfrent
_, _
0, 0
a, a
0, 0
_, _
em, em
Paris, pari
,, ,
na, na
França, frança
,, ,
um, um
`, `
`, `
combinado, combinado
'', ''
do, do
clube, clube
Paris, pari
Saint-Germain, saint-germain
(, (
PSG, psg
), )
., .

, 

O, o
adversário, adversário
do, do
Brasil, brasil
deveria, deveria
ser, ser
`, `
`, `
só, só
'', ''
o, o
PSG, psg
,, ,
mas, ma
Barbosa, barbosa
,, ,
ligado, ligado
ao, ao
clube, clube
francês, francê
,, ,
conseguiu, conseguiu
que, que
o, o
jogador, jogador
brasileiro, brasileiro
Assis, assi
,, ,
do, do
clube, clube
suíço, suíço
Sion, sion
,, ,
atuasse, atuass
., .

, 

A, a
operação, operação
se, se
repetiu, repetiu
no, no
último, último
dia, dia
27, 27
de, de
abril, abril
,, ,
quando, quando
a, a
seleção, seleção
enfrentou, enfrent
o, o
Valencia, valencia
,, ,
na, na
Espanha, espanha
., .

, 

Barbosa, barbosa
transformou, transform
o, o
clube, clube
em, em
um, um
`, `
`, `
combinado, combinado
'', ''
., .

, 

Ofereceu, ofereceu
ao, ao
técnico, técnico
do, do
time, time
,, ,
o, o
brasileiro, brasileiro
Carlos, carlo
Alberto, alberto
Parreira, parreira
,, ,
dois, doi
argentinos, argentino
para, para
o, o
amistoso, amistoso
:, :
Latorre, latorr
(, (
do, do
Tenerife, tenerif
,, ,
da, da
Espanha, espanha
), )
e, e
Caniggia, caniggia
(, (
Benfica, benfica
,, ,
de, de
Portugal, portug
), )
., .

, 

Com, com
medo, medo
de, de
sofrer, sofrer
uma, uma
goleada, goleada
,, ,
Parreira, parreira
aceitou, aceit
., .

, 

A, a
seleção, seleção
não, não
recebe, receb
adicional, adicion
ao, ao
cachê, cachê
estabelecido, estabelecido
por, por
servir, servir
de, de
vitrine, vitrin
para, para
jogadores, jogador
de, de
futebol, futebol
em, em
busca, busca
de, de
novos, novo
`, `
`, `
patrões, patrõ
'', ''
., .

, 

A, a
atividade, atividad
de, de
empresário, empresário
do, do
mercado, mercado
futebolístico, futebolístico
foi, foi
regulamentada, regulamentada
pela, pela
Fifa, fifa
(, (
entidade, entidad
que, que
dirige, dirig
o, o
futebol, futebol
mundial, mundial
), )
em, em
94, 94
., .

, 

Barbosa, barbosa
é, é
um, um
dos, do
poucos, pouco
que, que
já, já
têm, têm
carteirinha, carteirinha
de, de
empresário, empresário
distribuída, distribuída
pela, pela
Fifa, fifa
., .
Ele, ele
é, é
o, o
preferido, preferido
dos, do
atletas, atleta
brasileiros, brasileiro
radicados, radicado
na, na
Europa, europa
., .
(, (
MM, mm
), )

, 

