Milhares, ﻿milhar
de, de
pessoas, pessoa
recepcionaram, recepcionaram
o, o
atacante, atacant
Edmundo, edmundo
,, ,
novo, novo
jogador, jogador
do, do
Flamengo, flamengo
,, ,
ontem, ontem
,, ,
no, no
Rio, rio
de, de
Janeiro, janeiro
., .

, 

O, o
desfile, desfil
em, em
carro, carro
do, do
Corpo, corpo
de, de
Bombeiros, bombeiro
provocou, provoc
engarrafamento, engarrafamento
de, de
seis, sei
quilômetros, quilômetro
., .
A, a
polícia, polícia
não, não
avaliou, avali
o, o
número, número
de, de
torcedores, torcedor
nas, na
ruas, rua
., .

, 

Em, em
homenagem, homenagem
ao, ao
atacante, atacant
,, ,
apelidado, apelidado
de, de
`, `
`, `
Animal, anim
'', ''
,, ,
torcedores, torcedor
levaram, levaram
às, às
ruas, rua
animais, animai
de, de
estimação, estimação
., .
Um, um
circo, circo
cedeu, cedeu
dois, doi
elefantes, elefant
,, ,
um, um
tigre, tigr
e, e
um, um
macaco, macaco
para, para
acompanhar, acompanhar
a, a
`, `
`, `
carreata, carreata
'', ''
., .
Edmundo, edmundo
abraçou, abraç
o, o
chimpanzé, chimpanzé
., .

, 

De, de
manhã, manhã
,, ,
em, em
São, são
Paulo, paulo
,, ,
o, o
ex-jogador, ex-jogador
do, do
Palmeiras, palmeira
faz, faz
cooper, cooper
no, no
Ibirapuera, ibirapuera
., .
Chegou, chegou
ao, ao
Rio, rio
em, em
um, um
jatinho, jatinho
,, ,
às, às
12h33, 12h33
., .

, 

Foi, foi
à, à
Prefeitura, prefeitura
,, ,
onde, ond
o, o
prefeito, prefeito
César, césar
Maia, maia
,, ,
torcedor, torcedor
do, do
Botafogo, botafogo
,, ,
o, o
recebeu, recebeu
., .
Maia, maia
disse, diss
apoiar, apoiar
a, a
proposta, proposta
do, do
Flamengo, flamengo
para, para
mudar, mudar
o, o
regulamento, regulamento
do, do
Estadual, estadu
,, ,
permitindo, permitindo
que, que
Edmundo, edmundo
participe, particip
das, da
cinco, cinco
últimas, última
partidas, partida
da, da
equipe, equip
na, na
competição, competição
., .

, 

A, a
primeira, primeira
seria, seria
domingo, domingo
,, ,
contra, contra
o, o
Vasco, vasco
., .
Pelo, pelo
regulamento, regulamento
,, ,
terminou, termin
o, o
prazo, prazo
de, de
inscrição, inscrição
de, de
jogadores, jogador
., .

, 

Com, com
entonação, entonação
semelhante, semelhant
à, à
de, de
animadores, animador
de, de
programas, programa
de, de
auditório, auditório
,, ,
o, o
prefeito, prefeito
perguntou, pergunt
ao, ao
jogador, jogador
se, se
este, est
quer, quer
usar, usar
a, a
camisa, camisa
7, 7
ou, ou
9, 9
., .

, 

`, `
`, `
Como, como
estamos, estamo
numa, numa
democracia, democracia
,, ,
cabe, cabe
à, à
nação, nação
rubro-negra, rubro-negra
decidir, decidir
'', ''
,, ,
disse, diss
Edmundo, edmundo
sobre, sobr
a, a
torcida, torcida
do, do
clube, clube
., .

, 

O, o
diálogo, diálogo
estava, estava
combinado, combinado
_, _
o, o
Flamengo, flamengo
vai, vai
promover, promov
na, na
televisão, televisão
uma, uma
enquete, enquet
com, com
a, a
torcida, torcida
para, para
definir, definir
o, o
número, número
., .
Quem, quem
ligar, ligar
vai, vai
pagar, pagar
R$, r$
3,00, 3,00
ao, ao
clube, clube
., .

, 

O, o
passe, pass
de, de
Edmundo, edmundo
custou, custou
US$, us$
5, 5
milhões, milhõ
ao, ao
Flamengo, flamengo
., .
A, a
maior, maior
parte, part
será, será
paga, paga
pela, pela
empreiteira, empreiteira
Pinto, pinto
de, de
Almeida, almeida
,, ,
que, que
vai, vai
construir, construir
um, um
shopping, shop
center, center
no, no
terreno, terreno
onde, ond
hoje, hoje
fica, fica
o, o
estádio, estádio
do, do
clube, clube
., .

, 

No, no
início, início
da, da
noite, noit
,, ,
estava, estava
prevista, prevista
uma, uma
visita, visita
de, de
Edmundo, edmundo
ao, ao
atacante, atacant
flameguista, flameguista
Romário, romário
., .

, 

Romário, romário
deixou, deixou
ontem, ontem
,, ,
às, às
10h, 10h
,, ,
a, a
clínica, clínica
onde, ond
se, se
submeteu, submeteu
a, a
cirurgia, cirurgia
para, para
retirar, retirar
fragmentos, fragmento
de, de
uma, uma
cartilagem, cartilagem
do, do
joelho, joelho
esquerdo, esquerdo
., .
Romário, romário
só, só
deve, deve
voltar, voltar
a, a
jogar, jogar
em, em
39, 39
dias, dia
., .

, 

O, o
Flamengo, flamengo
anunciou, anunci
ontem, ontem
nova, nova
contratação, contratação
:, :
o, o
lateral, later
Rodrigo, rodrigo
,, ,
do, do
Vitória, vitória
(, (
BA, ba
), )
,, ,
convocado, convocado
para, para
a, a
seleção, seleção
brasileira, brasileira
que, que
vai, vai
disputar, disputar
o, o
Torneio, torneio
da, da
Inglaterra, inglaterra
,, ,
em, em
junho, junho
., .

, 

O, o
clube, clube
está, está
tentando, tentando
contratar, contratar
o, o
zagueiro, zagueiro
Ronaldão, ronaldão
(, (
Shimizu, shimizu
,, ,
do, do
Japão, japão
), )
e, e
o, o
meia, meia
César, césar
Sampaio, sampaio
(, (
Yokohoma, yokohoma
Flugels, flugel
,, ,
também, também
do, do
Japão, japão
), )
., .

, 

