Pelo, ﻿pelo
que, que
o, o
São, são
Paulo, paulo
demonstrou, demonstr
diante, diant
do, do
Grêmio, grêmio
,, ,
na, na
sexta, sexta
à, à
noite, noit
,, ,
pela, pela
Copa, copa
do, do
Brasil, brasil
,, ,
o, o
Corinthians, corinthian
terá, terá
de, de
correr, correr
muito, muito
esta, esta
tarde, tard
para, para
sair, sair
de, de
campo, campo
com, com
um, um
bom, bom
resultado, resultado
., .
Apesar, apesar
do, do
empate, empat
,, ,
sua, sua
performance, perform
,, ,
ao, ao
longo, longo
da, da
maior, maior
parte, part
do, do
jogo, jogo
,, ,
deu, deu
sinais, sinai
de, de
que, que
hoje, hoje
poderá, poderá
complicar, complicar
a, a
vida, vida
dos, do
corintianos, corintiano
., .

, 

Sobretudo, sobretudo
se, se
Denílson, denílson
repetir, repetir
a, a
movimentação, movimentação
e, e
o, o
empenho, empenho
que, que
marcaram, marcaram
sua, sua
presença, presença
contra, contra
o, o
Grêmio, grêmio
., .
Pois, poi
habilidade, habilidad
e, e
inteligência, inteligência
é, é
o, o
que, que
não, não
lhe, lhe
faltam, faltam
., .

, 

Creio, creio
que, que
seja, seja
por, por
isso, isso
mesmo, mesmo
que, que
Eduardo, eduardo
Amorim, amorim
invocou, invoc
sua, sua
alma, alma
mineira, mineira
para, para
construir, construir
ali, ali
no, no
meio-campo, meio-campo
uma, uma
barreira, barreira
praticamente, praticament
intransponível, intransponível
,, ,
com, com
Bernardo, bernardo
,, ,
Ezequiel, ezequiel
e, e
Zé, zé
Elias, elia
,, ,
três, trê
ferozes, feroz
marcadores, marcador
,, ,
que, que
não, não
haverão, haverão
de, de
dar, dar
um, um
mínimo, mínimo
espaço, espaço
aos, ao
ágeis, ágei
e, e
talentosos, talentoso
Denílson, denílson
e, e
Juninho, juninho
., .

, 

Tanto, tanto
,, ,
que, que
abriu, abriu
mão, mão
de, de
Souza, souza
,, ,
já, já
fisicamente, fisicament
recuperado, recuperado
,, ,
mas, ma
animicamente, animicament
tênue, tênue
., .
Entre, entr
o, o
vigor, vigor
de, de
Marques, marqu
,, ,
para, para
puxar, puxar
os, os
contragolpes, contragolp
,, ,
e, e
a, a
sutileza, sutileza
de, de
um, um
Souza, souza
ainda, ainda
indeciso, indeciso
quanto, quanto
à, à
resistência, resistência
de, de
seu, seu
tornozelo, tornozelo
,, ,
Eduardo, eduardo
,, ,
cautelosamente, cautelosament
,, ,
optou, optou
pela, pela
primeira, primeira
alternativa, alternativa
., .

, 

Isso, isso
quer, quer
dizer, dizer
que, que
teremos, teremo
um, um
clássico, clássico
disputado, disputado
em, em
alta, alta
tensão, tensão
,, ,
com, com
o, o
São, são
Paulo, paulo
tentando, tentando
contornar, contornar
o, o
adversário, adversário
com, com
velocidade, velocidad
e, e
perícia, perícia
,, ,
enquanto, enquanto
o, o
Corinthians, corinthian
jogará, jogará
no, no
erro, erro
do, do
adversário, adversário
., .

, 

É, é
para, para
se, se
ver, ver
., .

, 

Por, por
falar, falar
nisso, nisso
,, ,
o, o
mosqueteiro, mosqueteiro
grita, grita
:, :
`, `
`, `
touché, touché
'', ''
!, !
E, e
Muller, muller
desembarca, desembarca
no, no
Parque, parqu
., .

, 

Fico, fico
pensando, pensando
se, se
realmente, realment
o, o
Edmundo, edmundo
nunca, nunca
sabe, sabe
bem, bem
o, o
que, que
faz, faz
,, ,
como, como
na, na
paródia, paródia
brasileira, brasileira
do, do
swing, swing
americano, americano
`, `
`, `
In, in
the, the
Mood, mood
'', ''
., .
São, são
tantas, tanta
,, ,
e, e
estrategicamente, estrategicament
tão, tão
bem, bem
colocadas, colocada
,, ,
as, as
trapalhadas, trapalhada
de, de
Edmundo, edmundo
que, que
começo, começo
a, a
suspeitar, suspeitar
de, de
uma, uma
fria, fria
e, e
calculada, calculada
armação, armação
,, ,
uma, uma
saída, saída
tosca, tosca
e, e
sutil, sutil
do, do
jogador, jogador
,, ,
que, que
não, não
quer, quer
continuar, continuar
no, no
Parque, parqu
Antarctica, antarctica
., .

, 

Não, não
há, há
cristão, cristão
sobre, sobr
a, a
terra, terra
que, que
desconheça, desconheça
o, o
pavio, pavio
curto, curto
e, e
a, a
sensibilidade, sensibilidad
eriçada, eriçada
,, ,
mediterrânea, mediterrânea
,, ,
dos, do
cartolas, cartola
palestrinos, palestrino
., .
Logo, logo
,, ,
não, não
é, é
possível, possível
que, que
Edmundo, edmundo
não, não
saiba, saiba
estar, estar
cavando, cavando
com, com
suas, sua
palavras, palavra
ferinas, ferina
sua, sua
cova, cova
no, no
Palestra, palestra
Itália, itália
., .

, 

Até, até
agora, agora
,, ,
a, a
Parmalat, parmalat
,, ,
detentora, detentora
de, de
seu, seu
passe, pass
e, e
sócia-responsável, sócia-responsável
pela, pela
revitalização, revitalização
do, do
Palmeiras, palmeira
,, ,
tem, tem
segurado, segurado
as, as
pontas, ponta
., .
Mas, ma
,, ,
pelo, pelo
ar, ar
desolado, desolado
de, de
Brunoro, brunoro
,, ,
na, na
noite, noit
de, de
quinta-feira, quinta-feira
,, ,
nos, no
estúdios, estúdio
da, da
Gazeta, gazeta
,, ,
creio, creio
que, que
até, até
seu, seu
estoque, estoqu
de, de
paciência, paciência
já, já
se, se
esgotou, esgot
., .

, 

Se, se
assim, assim
for, for
,, ,
é, é
bom, bom
Edmundo, edmundo
levar, levar
em, em
conta, conta
que, que
nas, na
veias, veia
de, de
Brunoro, brunoro
e, e
da, da
Parmalat, parmalat
também, também
corre, corr
o, o
sangue, sangu
quente, quent
peninsular, peninsular
., .

, 

`, `
`, `
Business, busi
is, is
business, busi
'', ''
,, ,
dizem, dizem
os, os
álgidos, álgido
ingleses, ingles
., .
Mas, ma
,, ,
onde, ond
o, o
sol, sol
derrete, derret
os, os
miolos, miolo
,, ,
quando, quando
o, o
sangue, sangu
ferve, ferv
,, ,
costuma-se, costuma-s
dizer, dizer
:, :
`, `
`, `
Merda, merda
per, per
merda, merda
,, ,
marcia, marcia
reale, real
!, !
'', ''
Traduzindo, traduzindo
para, para
o, o
nosso, nosso
caipirês, caipirê
infiltrado, infiltrado
:, :
`, `
`, `
Truco, truco
!, !
'', ''

, 

Nesse, ness
caso, caso
,, ,
não, não
se, se
espantem, espantem
se, se
,, ,
em, em
breve, breve
,, ,
reencontrarmos, reencontrarmo
Edmundo, edmundo
bem, bem
longe, long
do, do
Parque, parqu
., .
Mais, mai
longe, long
ainda, ainda
das, da
praias, praia
cariocas, carioca
,, ,
passeando, passeando
pelos, pelo
vinhedos, vinhedo
de, de
Caxias, caxia
do, do
Sul, sul
,, ,
com, com
a, a
gloriosa, gloriosa
camisa, camisa
do, do
Juventude, juventud
., .

, 

Alberto, alberto
Helena, helena
Jr., jr.
escreve, escrev
aos, ao
domingos, domingo
,, ,
segundas, segunda
e, e
quartas, quarta

, 

