Porto, ﻿porto
de, de
Galinhas, galinha
já, já
é, é
o, o
máximo, máximo
antes, ant
de, de
se, se
chegar, chegar
lá, lá
., .
O, o
trajeto, trajeto
de, de
cerca, cerca
de, de
50, 50
minutos, minuto
de, de
carro, carro
a, a
partir, partir
do, do
aeroporto, aeroporto
de, de
Guararapes, guararap
,, ,
em, em
Recife, recif
,, ,
já, já
prepara, prepara
o, o
felizardo, felizardo
em, em
questão, questão
:, :
uma, uma
estradinha, estradinha
de, de
mão, mão
dupla, dupla
com, com
muito, muito
verde, verd
–, –
da, da
cana, cana
–, –
,, ,
muito, muito
azul, azul
–, –
do, do
céu, céu
,, ,
sempre, sempr
limpo, limpo
–, –
e, e
uma, uma
luz, luz
de, de
enlouquecer, enlouquec
qualquer, qualquer
mortal, mortal
., .
Tudo, tudo
isso, isso
contiua, contiua
na, na
chegada, chegada
,, ,
com, com
a, a
vantagem, vantagem
de, de
se, se
acrescentar, acrescentar
à, à
cena, cena
um, um
mar, mar
,, ,
mas, ma
um, um
marzão, marzão
daqueles, daquel
verdes, verd
–, –
ou, ou
será, será
azul, azul
?, ?
–, –
,, ,
com, com
arrecifes, arrecif
que, que
transformam, transformam
a, a
água, água
em, em
tons, ton
dignos, digno
do, do
Taiti, taiti
., .

, 

Acrescente-se, acrescente-s
ainda, ainda
uma, uma
coleção, coleção
de, de
jangadas, jangada
., .
Você, você
já, já
andou, andou
de, de
jangada, jangada
?, ?
Então, então
está, está
mais, mai
do, do
que, que
na, na
hora, hora
., .
Como, como
elas, ela
só, só
circulam, circulam
do, do
lado, lado
de, de
cá, cá
das, da
pedras, pedra
,, ,
nada, nada
de, de
riscos, risco
., .
Apenas, apena
a, a
sensação, sensação
mais, mai
zen, zen
que, que
se, se
pode, pode
experimentar, experimentar
,, ,
uma, uma
espécie, espéci
de, de
fusão, fusão
com, com
o, o
mar, mar
., .
Mas, ma
isso, isso
é, é
só, só
o, o
começo, começo
., .
Para, para
a, a
chegada, chegada
está, está
bom, bom
,, ,
não, não
está, está
?, ?

, 

Só, só
que, que
tem, tem
pelo, pelo
menos, meno
mais, mai
dois, doi
passeios, passeio
,, ,
fundamentais, fundamentai
., .
De, de
um, um
lado, lado
,, ,
o, o
Muro, muro
Alto, alto
,, ,
um, um
pedaço, pedaço
de, de
praia, praia
prensado, prensado
em, em
um, um
colar, colar
de, de
arrecifes, arrecif
,, ,
que, que
transforma, transforma
o, o
mar, mar
em, em
um, um
piscinão, piscinão
com, com
águas, água
translúcidas, translúcida
., .
E, e
o, o
melhor, melhor
de, de
tudo, tudo
,, ,
sempre, sempr
vazio, vazio
., .
Mesmo, mesmo
na, na
alta, alta
temporada, temporada
,, ,
Muro, muro
Alto, alto
sempre, sempr
é, é
um, um
desfrute, desfrut
., .
Na, na
ponta, ponta
oposta, oposta
fica, fica
o, o
pontal, pontal
de, de
Maracaipe, maracaip
,, ,
um, um
encontro, encontro
do, do
mar, mar
com, com
o, o
rio, rio
,, ,
visual, visual
também, também
para, para
400, 400
talheres, talher
., .

, 

Como, como
em, em
vários, vário
", "
points, point
", "
do, do
Nordeste, nordest
,, ,
um, um
bugue, bugu
é, é
muito, muito
bem, bem
vindo, vindo
para, para
os, os
passeios, passeio
., .
Se, se
você, você
ficar, ficar
hospedado, hospedado
no, no
Pontal, pontal
de, de
Ocaporã, ocaporã
,, ,
o, o
melhor, melhor
hotel, hotel
da, da
região, região
(, (
tel., tel.
081-5521400, 081-5521400
), )
,, ,
além, além
de, de
usufruir, usufruir
de, de
um, um
dos, do
mais, mai
bonitos, bonito
pedaços, pedaço
da, da
praia, praia
–, –
e, e
quartos, quarto
pendurados, pendurado
sobre, sobr
a, a
própria, própria
,, ,
com, com
rede, rede
e, e
todas, toda
as, as
infras, infra
necessárias, necessária
–, –
,, ,
há, há
bugues, bugu
a, a
granel, granel
para, para
alugar, alugar
., .

, 

Na, na
vila, vila
,, ,
os, os
passeios, passeio
ao, ao
cair, cair
da, da
tarde, tard
dão, dão
um, um
toque, toqu
de, de
cidade, cidad
do, do
interior, interior
,, ,
com, com
direito, direito
a, a
coco, coco
gelado, gelado
,, ,
conversas, conversa
de, de
pescador, pescador
–, –
com, com
Pinto, pinto
,, ,
por, por
exemplo, exemplo
,, ,
o, o
mais, mai
famoso, famoso
da, da
região, região
., .
Três, trê
de, de
seus, seu
filhos, filho
são, são
jangadeiros, jangadeiro
., .
Assim, assim
como, como
Jack, jack
,, ,
considerado, considerado
o, o
mais, mai
simpático, simpático
e, e
prestativo, prestativo
do, do
pedaço, pedaço
., .

, 

Para, para
aluguel, aluguel
de, de
material, materi
de, de
pesca, pesca
e, e
outros, outro
apetrechos, apetrecho
de, de
mar, mar
,, ,
é, é
só, só
procurar, procurar
o, o
Cláudio, cláudio
no, no
Porto, porto
Point, point
., .
É, é
lá, lá
também, também
que, que
se, se
faz, faz
contato, contato
para, para
alugar, alugar
o, o
