Escorregar, ﻿escorregar
é, é
a, a
regra, regra
em, em
Wet, wet
n'Wild, n'wild
,, ,
Typhoon, typhoon
Lagoon, lagoon
e, e
River, river
Country, countri
,, ,
os, os
parques, parqu
aquáticos, aquático
de, de
Orlando, orlando
., .
Difícil, difícil
é, é
eleger, eleg
o, o
melhor, melhor
., .
Divertidos, divertido
,, ,
misturam, misturam
momentos, momento
agradáveis, agradávei
e, e
puro, puro
pavor, pavor
., .
Verdadeira, verdadeira
agonia, agonia
e, e
êxtase, êxtase
., .

, 

Wet, wet
n'Wild, n'wild
é, é
o, o
melhor, melhor
para, para
experimentar, experimentar
todos, todo
os, os
tipos, tipo
de, de
escorregador, escorregador
., .
Ao, ao
todo, todo
,, ,
são, são
nove, nove
., .
O, o
mais, mai
assustador, assustador
é, é
o, o
Kamikase, kamikas
,, ,
com, com
30, 30
metros, metro
de, de
altura, altura
e, e
ângulo, ângulo
de, de
90, 90
graus, grau
,, ,
que, que
lança, lança
o, o
banhista, banhista
na, na
água, água
a, a
toda, toda
velocidade, velocidad
., .
O, o
melhor, melhor
é, é
o, o
Black, black
Hole, hole
,, ,
um, um
passeio, passeio
no, no
escuro, escuro
,, ,
a, a
dois, doi
,, ,
a, a
bordo, bordo
de, de
uma, uma
câmara, câmara
pneumática, pneumática
., .

, 

Typhoon, typhoon
Lagoon, lagoon
tem, tem
as, as
maiores, maior
ondas, onda
de, de
surfe, surf
dos, do
EUA, eua
–, –
artificiais, artificiai
,, ,
é, é
claro, claro
., .
Elas, ela
chegam, chegam
a, a
1,8, 1,8
m, m
de, de
altura, altura
., .
Não, não
há, há
surfista, surfista
e, e
", "
body-boarder, body-board
", "
que, que
resista, resista
., .
Quem, quem
prefere, prefer
águas, água
mais, mai
tranquilas, tranquila
pode, pode
equipar-se, equipar-s
com, com
máscara, máscara
,, ,
respirador, respirador
e, e
nadadeira, nadadeira
e, e
explorar, explorar
o, o
fundo, fundo
da, da
lagoa, lagoa
., .
Há, há
tubarões, tubarõ
–, –
separados, separado
,, ,
naturalmente, naturalment
,, ,
por, por
placas, placa
transparentes, transparent
., .

, 

River, river
Country, countri
foi, foi
criado, criado
pela, pela
equipe, equip
da, da
Disney, disney
., .
Não, não
é, é
preciso, preciso
nem, nem
dizer, dizer
que, que
é, é
uma, uma
espécie, espéci
de, de
parque, parqu
de, de
diversões, diversõ
aquático, aquático
., .
Enroscar-se, enroscar-s
no, no
Raft, raft
Rider, rider
Ridge, ridg
é, é
o, o
programa, programa
mais, mai
divertido, divertido
., .
Em, em
todos, todo
,, ,
uma, uma
tarde, tard
certamente, certament
será, será
pouco, pouco
para, para
tanta, tanta
folia, folia
., .

, 

(, (
Patrícia, patrícia
Trudes, trude
da, da
Veiga, veiga
), )

, 

DICA, dica
-, -
Toalhas, toalha
e, e
bóias, bóia
infantis, infanti
são, são
alugadas, alugada
nos, no
três, trê
parques, parqu
,, ,
mas, ma
é, é
melhor, melhor
trazer, trazer
as, as
suas, sua
., .
Os, os
armários, armário
funcionam, funcionam
com, com
moedas, moeda
de, de
US$, us$
0,25, 0,25
., .

, 

