Viajar, ﻿viajar
em, em
excursão, excursão
é, é
um, um
programa, programa
legal, legal
,, ,
acredite, acredit
., .
Mas, ma
é, é
indispensável, indispensável
colocar, colocar
na, na
bagagem, bagagem
um, um
certo, certo
espírito, espírito
esportivo, esportivo
., .
Como, como
tudo, tudo
,, ,
tem, tem
prós, pró
e, e
contras, contra
., .
O, o
melhor, melhor
é, é
que, que
a, a
viagem, viagem
fica, fica
mais, mai
divertida, divertida
., .
E, e
também, também
mais, mai
bem-planejada, bem-planejada
., .
O, o
pior, pior
é, é
que, que
às, às
vezes, veze
você, você
faz, faz
o, o
que, que
não, não
quer, quer
na, na
hora, hora
que, que
o, o
grupo, grupo
quer, quer
., .
E, e
tem, tem
poucos, pouco
momentos, momento
de, de
privacidade, privacidad
., .

, 

Os, os
passageiros, passageiro
de, de
uma, uma
excursão, excursão
para, para
a, a
Disney, disney
(, (
veja, veja
perfil, perfil
ao, ao
lado, lado
), )
quase, quas
sempre, sempr
têm, têm
dificuldades, dificuldad
com, com
o, o
inglês, inglê
., .
Fazem, fazem
,, ,
em, em
geral, geral
,, ,
sua, sua
segunda, segunda
viagem, viagem
internacional, internacion
–, –
a, a
primeira, primeira
foi, foi
para, para
Buenos, bueno
Aires, air
e, e
Bariloche, bariloch
,, ,
na, na
Argentina, argentina
., .
São, são
famílias, família
de, de
classe, class
média, média
alta, alta
., .
Gastam, gastam
muito, muito
em, em
compras, compra
–, –
em, em
média, média
,, ,
de, de
US$, us$
2.000, 2.000
/, /
CR$, cr$
700, 700
mil, mil
a, a
US$, us$
3.000, 3.000
/, /
CR$, cr$
1, 1
milhão, milhão
., .
E, e
reclamam, reclamam
–, –
muito, muito
–, –
do, do
preço, preço
e, e
da, da
qualidade, qualidad
da, da
comida, comida
., .

, 

Para, para
quem, quem
está, está
indeciso, indeciso
se, se
vai, vai
ou, ou
não, não
se, se
adaptar, adaptar
numa, numa
excursão, excursão
,, ,
 ,  
Turismo, turismo
dá, dá
uma, uma
mãozinha, mãozinha
e, e
adianta, adianta
cinco, cinco
regras, regra
básicas, básica
que, que
obrigatoriamente, obrigatoriament
terão, terão
de, de
ser, ser
seguidas, seguida
., .
Veja, veja
se, se
é, é
muito, muito
sacrifício, sacrifício
:, :

, 

Horários, horário
-, -
São, são
rigorosíssimos, rigorosíssimo
., .
Em, em
geral, geral
,, ,
o, o
grupo, grupo
é, é
acordado, acordado
uma, uma
hora, hora
e, e
meia, meia
antes, ant
de, de
o, o
ônibus, ônibu
seguir, seguir
para, para
os, os
parques, parqu
., .
Em, em
outras, outra
palavras, palavra
,, ,
às, às
7h30, 7h30
., .

, 

Passeios, passeio
-, -
Todos, todo
têm, têm
a, a
orientação, orientação
de, de
um, um
guia, guia
., .
Nos, no
parques, parqu
,, ,
ele, ele
carrega, carrega
uma, uma
bandeira, bandeira
,, ,
que, que
deve, deve
ser, ser
seguida, seguida
pelo, pelo
grupo, grupo
., .
Há, há
um, um
roteiro, roteiro
de, de
atrações, atraçõ
que, que
é, é
cumprido, cumprido
à, à
risca, risca
., .

, 

Refeições, refeiçõ
-, -
Nos, no
parques, parqu
,, ,
o, o
estômago, estômago
só, só
pode, pode
roncar, roncar
na, na
hora, hora
que, que
o, o
guia, guia
determinar, determinar
., .
E, e
o, o
cardápio, cardápio
tem, tem
que, que
agradar, agradar
–, –
é, é
impossível, impossível
cada, cada
passageiro, passageiro
escolher, escolh
onde, ond
e, e
o, o
que, que
vai, vai
comer, comer
., .

, 

Compras, compra
-, -
Nos, no
parques, parqu
,, ,
ficam, ficam
restritas, restrita
ao, ao
tempo, tempo
livre, livr
,, ,
isto, isto
é, é
,, ,
uma, uma
hora, hora
antes, ant
de, de
o, o
parque, parqu
fechar, fechar
., .
Nos, no
shoppings, shop
,, ,
há, há
mais, mai
flexibilidade, flexibilidad
de, de
horários, horário
e, e
dá, dá
para, para
pensar, pensar
antes, ant
de, de
pagar, pagar
., .

, 

Vida, vida
noturna, noturna
-, -
Poucas, pouca
excursões, excursõ
têm, têm
programação, programação
à, à
noite, noit
., .
Quase, quas
sempre, sempr
os, os
casais, casai
se, se
reúnem, reúnem
e, e
racham, racham
um, um
táxi, táxi
., .
E, e
as, as
crianças, criança
?, ?
Cada, cada
dia, dia
,, ,
um, um
dos, do
adultos, adulto
envolvidos, envolvido
no, no
problema, problema
é, é
escalado, escalado
para, para
", "
pagar, pagar
o, o
pato, pato
", "
., .

, 

Ei, ei
,, ,
não, não
desanime, desanim
!, !
Todo, todo
sacrifício, sacrifício
tem, tem
sua, sua
recompensa, recompensa
., .
Chegou, chegou
a, a
vez, vez
de, de
conhecer, conhec
as, as
vantagens, vantagen
de, de
se, se
viajar, viajar
em, em
grupo, grupo
., .
Analise, analis
bem, bem
uma, uma
a, a
uma, uma
., .

, 

Reservas, reserva
-, -
Apague, apagu
do, do
seu, seu
vocabulários, vocabulário
palavras, palavra
como, como
", "
imigração, imigração
", "
,, ,
", "
check-in, check-in
", "
,, ,
", "
check-out, check-out
", "
,, ,
", "
overbooking, overbook
", "
,, ,
problemas, problema
., .
Sempre, sempr
haverá, haverá
alguém, alguém
preenchendo, preenchendo
fichas, ficha
e, e
formulários, formulário
para, para
você, você
., .
Aproveite, aproveit
., .

, 

Idioma, idioma
-, -
Sinta-se, sinta-s
no, no
Brasil, brasil
–, –
mais, mai
ainda, ainda
., .
O, o
guia, guia
será, será
seu, seu
intérprete, intérpret
,, ,
sempre, sempr
–, –
na, na
empresa, empresa
aérea, aérea
,, ,
no, no
hotel, hotel
,, ,
nos, no
parques, parqu
,, ,
nas, na
lojas, loja
,, ,
nos, no
restaurantes, restaurant
e, e
até, até
mesmo, mesmo
se, se
você, você
quiser, quiser
soltar, soltar
um, um
", "
437, 437
", "
numa, numa
americana, americana
., .

, 

Amizades, amizad
-, -
Cada, cada
excursão, excursão
rende, rend
pelo, pelo
menos, meno
um, um
novo, novo
amigo, amigo
., .
Quando, quando
se, se
tratam, tratam
de, de
crianças, criança
,, ,
não, não
é, é
preciso, preciso
muito, muito
esforço, esforço
., .
Elas, ela
se, se
enturmam, enturmam
facilmente, facilment
e, e
em, em
pouco, pouco
tempo, tempo
não, não
querem, querem
nem, nem
saber, saber
de, de
pai, pai
,, ,
mãe, mãe
,, ,
avó, avó
e, e
cia, cia
., .

, 

Planejamento, planejamento
-, -
Os, os
guias, guia
não, não
estão, estão
lá, lá
por, por
acaso, acaso
., .
Conhecem, conhecem
os, os
parques, parqu
como, como
a, a
palma, palma
de, de
suas, sua
mãos, mão
., .
Se, se
é, é
a, a
primeira, primeira
vez, vez
,, ,
siga-os, siga-o
,, ,
sempre, sempr
., .
O, o
ritmo, ritmo
acelerado, acelerado
é, é
a, a
garantia, garantia
de, de
que, que
você, você
não, não
vai, vai
deixar, deixar
nenhum, nenhum
parque, parqu
sem, sem
tê-lo, tê-lo
conhecido, conhecido
todinho, todinho
., .

, 

Colocado, colocado
nas, na
balanças, balança
os, os
prós, pró
e, e
os, os
contras, contra
,, ,
é, é
hora, hora
de, de
pesquisar, pesquisar
roteiros, roteiro
e, e
preços, preço
(, (
veja, veja
reportagem, reportagem
nesta, nesta
página, página
), )
., .
Mas, ma
se, se
realmente, realment
você, você
não, não
faz, faz
o, o
perfil, perfil
de, de
um, um
passageiro, passageiro
de, de
excursão, excursão
,, ,
não, não
é, é
preciso, preciso
riscar, riscar
a, a
Flórida, flórida
de, de
suas, sua
férias, féria
., .
Ligue, ligu
para, para
as, as
mesmas, mesma
