Uma, ﻿uma
boa, boa
idéia, idéia
para, para
começar, começar
bem, bem
o, o
ano, ano
:, :
evite, evit
a, a
caninha, caninha
–, –
e, e
tire, tire
um, um
alcoólatra, alcoólatra
potencial, potenci
de, de
circulação, circulação
–, –
e, e
embarque, embarqu
para, para
Curitiba, curitiba
., .
É, é
lá, lá
,, ,
naquela, naquela
cidade, cidad
cheia, cheia
de, de
boas, boa
idéias, idéia
,, ,
que, que
se, se
pode, pode
comprovar, comprovar
um, um
Brasil, brasil
que, que
teima, teima
em, em
dar, dar
certo, certo
e, e
que, que
não, não
consegue, consegu
sair, sair
dos, do
trilhos, trilho
do, do
futuro, futuro
., .

, 

Curitiba, curitiba
tem, tem
300, 300
anos, ano
e, e
poderia, poderia
repetir, repetir
,, ,
à, à
maneira, maneira
de, de
Mário, mário
de, de
Andrade, andrad
,, ,
que, que
é, é
300, 300
cidades, cidad
., .
Sabe-se, sabe-s
que, que
é, é
a, a
capital, capit
do, do
sexto, sexto
Estado, estado
do, do
país, paí
,, ,
o, o
Paraná, paraná
,, ,
mas, ma
os, os
ambientalistas, ambientalista
sabem, sabem
também, também
que, que
é, é
uma, uma
espécie, espéci
de, de
capital, capit
ecológica, ecológica
brasileira, brasileira
,, ,
como, como
os, os
planejadores, planejador
reconhecem, reconhecem
seu, seu
papel, papel
de, de
vanguarda, vanguarda
na, na
renovação, renovação
do, do
equipamento, equipamento
urbano, urbano
e, e
os, os
interessados, interessado
em, em
geopolítica, geopolítica
vêem, vêem
nela, nela
um, um
pólo, pólo
do, do
Mercosul, mercosul
–, –
até, até
", "
capital, capit
do, do
Natal, natal
", "
a, a
cidade, cidad
quer, quer
ser, ser
., .

, 

Lá, lá
,, ,
na, na
terra, terra
dos, do
pinheiros, pinheiro
,, ,
é, é
praxe, prax
discutir, discutir
as, as
verdades, verdad
estabelecidas, estabelecida
e, e
testar, testar
vias, via
alternativas, alternativa
., .
Assim, assim
,, ,
na, na
medida, medida
do, do
homem, homem
,, ,
Curitiba, curitiba
instituiu, instituiu
o, o
primeiro, primeiro
calçadão, calçadão
,, ,
empenhou-se, empenhou-s
na, na
despoluição, despoluição
visual, visual
das, da
ruas, rua
centrais, centrai
,, ,
traçou, traçou
um, um
plano, plano
para, para
o, o
acelerado, acelerado
desenvolvimento, desenvolvimento
,, ,
ampliou, ampliou
e, e
reequipou, reequip
as, as
áreas, área
verdes, verd
e, e
,, ,
para, para
variar, variar
,, ,
através, atravé
da, da
Universidade, universidad
Livre, livr
do, do
Meio, meio
Ambiente, ambient
,, ,
está, está
na, na
linha, linha
de, de
frente, frent
da, da
discussão, discussão
ecológica, ecológica
., .

, 

É, é
essa, essa
cidade, cidad
que, que
se, se
abre, abr
para, para
os, os
turistas, turista
., .
O, o
difícil, difícil
é, é
ver, ver
polaquinhas, polaquinha
e, e
vampiros, vampiro
à, à
Dalton, dalton
Trevisan, trevisan
., .

, 

LEIA, leia
MAIS, mai

, 

Sobre, sobr
Curitiba, curitiba
–, –
e, e
artigo, artigo
de, de
Jaime, jaim
Lerner, lerner
–, –
nas, na
págs, pág
., .
6-2, 6-2
a, a
6-8, 6-8
., .

, 

O, o
jornalista, jornalista
FEDERICO, federico
MENGOZZI, mengozzi
viajou, viajou
a, a
convite, convit
da, da
Transbrasil, transbrasil
e, e
do, do
Mabu, mabu
Hotel, hotel
., .

, 

