Mega, ﻿mega
,, ,
na, na
verdade, verdad
,, ,
é, é
o, o
desfiles, desfil
das, da
escolas, escola
de, de
samba, samba
do, do
Rio, rio
., .
Não, não
há, há
melhor, melhor
definição, definição
para, para
um, um
espetáculo, espetáculo
protagonizado, protagonizado
por, por
60, 60
mil, mil
artistas, artista
,, ,
que, que
exige, exig
12, 12
horas, hora
de, de
exaltação, exaltação
durante, durant
dois, doi
dias, dia
,, ,
é, é
assistido, assistido
no, no
Sambódromo, sambódromo
por, por
50, 50
mil, mil
pessoas, pessoa
e, e
por, por
outras, outra
2,5, 2,5
milhões, milhõ
via, via
TV, tv
., .
Se, se
em, em
verões, verõ
passados, passado
tudo, tudo
era, era
demais, demai
,, ,
massa, massa
,, ,
maneiro, maneiro
,, ,
duca, duca
ou, ou
híper, híper
,, ,
agora, agora
a, a
moda, moda
é, é
mega, mega
,, ,
mas, ma
no, no
caso, caso
do, do
Carnaval, carnav
não, não
é, é
exagero, exagero
., .

, 

Basta, basta
saber, saber
que, que
o, o
Carnaval, carnav
congrega, congrega
a, a
essência, essência
de, de
Michael, michael
Jackson, jackson
e, e
Madonna, madonna
,, ,
os, os
megastars, megastar
que, que
passaram, passaram
por, por
aqui, aqui
., .
Joãosinho, joãosinho
Trinta, trinta
,, ,
intelectual, intelectu
dos, do
barracões, barracõ
,, ,
prova, prova
compasso, compasso
por, por
compasso, compasso
que, que
o, o
estilo, estilo
break, break
de, de
Jackson, jackson
nada, nada
mais, mai
é, é
que, que
a, a
fragmentação, fragmentação
do, do
samba, samba
., .
Madonna, madonna
é, é
censurada, censurada
por, por
sua, sua
exacerbada, exacerbada
sexualidade, sexualidad
,, ,
não, não
é, é
?, ?
Até, até
nisso, nisso
o, o
Carnaval, carnav
é, é
pioneiro, pioneiro
,, ,
com, com
a, a
inclusão, inclusão
no, no
regulamento, regulamento
do, do
desfile, desfil
da, da
punição, punição
à, à
genitália, genitália
desnuda, desnuda
., .

, 

Quando, quando
a, a
Unidos, unido
da, da
Ponte, pont
–, –
com, com
seus, seu
4.000, 4.000
", "
pretos, preto
ou, ou
quase, quas
pretos, preto
", "
,, ,
como, como
diria, diria
o, o
personagem, personagem
de, de
enredo, enredo
Caetano, caetano
Veloso, veloso
–, –
iniciar, iniciar
o, o
desfile, desfil
,, ,
no, no
dia, dia
13, 13
,, ,
às, às
19h, 19h
,, ,
o, o
Carnaval, carnav
mostrará, mostrará
por, por
que, que
é, é
a, a
festa, festa
da, da
catarse, catars
popular, popular
., .

, 

A, a
primeira, primeira
sensação, sensação
do, do
desfile, desfil
deve, deve
ocorrer, ocorr
entre, entr
22h, 22h
e, e
23h, 23h
,, ,
com, com
a, a
Viradouro, viradouro
,, ,
que, que
nos, no
dois, doi
anos, ano
que, que
está, está
no, no
Grupo, grupo
Especial, especi
fez, fez
exibições, exibiçõ
de, de
luxo, luxo
,, ,
custeada, custeada
pelo, pelo
dinheiro, dinheiro
de, de
José, josé
Carlos, carlo
Monassa, monassa
,, ,
banqueiro, banqueiro
de, de
bicho, bicho
em, em
ascensão, ascensão
e, e
livre, livr
,, ,
ao, ao
menos, meno
por, por
enquanto, enquanto
,, ,
de, de
processo, processo
na, na
Justiça, justiça
., .

, 

A, a
Viradouro, viradouro
canta, canta
Teresa, teresa
de, de
Benguela, benguela
,, ,
líder, líder
de, de
um, um
quilombo, quilombo
no, no
Mato, mato
Grosso, grosso
,, ,
e, e
está, está
nas, na
mãos, mão
de, de
Joãosinho, joãosinho
Trinta, trinta
,, ,
o, o
mais, mai
autoral, autor
dos, do
carnavalescos, carnavalesco
., .
No, no
Carnaval, carnav
passado, passado
,, ,
Joãosinho, joãosinho
foi, foi
a, a
Portugal, portug
comandar, comandar
o, o
", "
bole-bole, bole-bol
", "
por, por
lá, lá
., .
Volta, volta
com, com
disposição, disposição
para, para
mostrar, mostrar
que, que
Joãosinho, joãosinho
Trinta, trinta
,, ,
o, o
atrevido, atrevido
,, ,
não, não
morreu, morreu
., .
Não, não
se, se
assuste, assust
se, se
o, o
carnavalesco, carnavalesco
provocativo, provocativo
dos, do
anos, ano
80, 80
ressurgir, ressurgir
., .

, 

A, a
escola, escola
seguinte, seguint
será, será
a, a
Mangueira, mangueira
,, ,
que, que
este, est
ano, ano
saiu, saiu
na, na
frente, frent
por, por
ter, ter
escolhido, escolhido
um, um
enredo, enredo
(, (
Gal, gal
,, ,
Bethânia, bethânia
,, ,
Gil, gil
e, e
Caetano, caetano
), )
de, de
empatia, empatia
imediata, imediata
com, com
o, o
público, público
., .
O, o
samba, samba
da, da
