Encarar, ﻿encarar
o, o
mundo, mundo
dos, do
11, 11
afoxés, afoxé
,, ,
62, 62
blocos, bloco
com, com
trios, trio
elétricos, elétrico
,, ,
47, 47
blocos, bloco
de, de
percussão, percussão
,, ,
24, 24
afroblocos, afrobloco
e, e
25, 25
trios, trio
independentes, independent
será, será
uma, uma
aventura, aventura
para, para
os, os
1,5, 1,5
milhões, milhõ
de, de
", "
pipocas, pipoca
", "
–, –
turistas-foliões, turistas-foliõ
–, –
que, que
vão, vão
descobrir, descobrir
um, um
pouco, pouco
o, o
que, que
é, é
que, que
a, a
Bahia, bahia
tem, tem
., .

, 

Serão, serão
20, 20
quilômetros, quilômetro
de, de
ruas, rua
bloqueadas, bloqueada
ao, ao
trânsito, trânsito
,, ,
2.700, 2.700
pontos, ponto
de, de
venda, venda
de, de
comidas, comida
e, e
bebidas, bebida
,, ,
20, 20
centros, centro
de, de
informações, informaçõ
,, ,
462, 462
shows, show
,, ,
3.000, 3.000
artistas, artista
,, ,
9.000, 9.000
policiais, policiai
,, ,
1.000, 1.000
lixeiros, lixeiro
e, e
500, 500
mil, mil
turistas, turista
/, /
dia, dia
., .

, 

Com, com
o, o
tema, tema
", "
Estrelas, estrela
de, de
Raça, raça
e, e
Cor, cor
", "
,, ,
o, o
Carnaval, carnav
de, de
Salvador, salvador
oferece, oferec
vários, vário
circuitos, circuito
., .
O, o
principal, princip
é, é
o, o
histórico, histórico
,, ,
que, que
vai, vai
da, da
ladeira, ladeira
do, do
Pelourinho, pelourinho
até, até
Ondina, ondina
,, ,
na, na
orla, orla
marítima, marítima
,, ,
passando, passando
pelas, pela
históricas, histórica
praças, praça
Castro, castro
Alves, alv
e, e
Campo, campo
Grande, grand
., .
Nesta, nesta
última, última
,, ,
desfilam, desfilam
as, as
161, 161
entidades, entidad
carnavalescas, carnavalesca
com, com
seus, seu
170, 170
mil, mil
filiados, filiado
,, ,
além, além
das, da
", "
pipocas, pipoca
", "
,, ,
que, que
não, não
integram, integram
os, os
blocos, bloco
., .
Na, na
Castro, castro
Alves, alv
ocorrem, ocorrem
encontros, encontro
de, de
trios, trio
elétricos, elétrico
., .
No, no
Pelourinho, pelourinho
,, ,
apresentam-se, apresentam-s
o, o
afoxé, afoxé
Filhos, filho
de, de
Gandhi, gandhi
e, e
o, o
Olodum, olodum
., .

, 

Fora, fora
do, do
aperto, aperto
do, do
circuito, circuito
histórico, histórico
,, ,
há, há
mais, mai
conforto, conforto
na, na
Barra, barra
,, ,
onde, ond
os, os
trios, trio
elétricos, elétrico
desfilam, desfilam
na, na
avenida, avenida
., .

, 

