No, ﻿no
dia, dia
19, 19
de, de
fevereiro, fevereiro
,, ,
a, a
Melbourne, melbourn
Turismo, turismo
levará, levará
o, o
segundo, segundo
grupo, grupo
de, de
crianças, criança
brasileiras, brasileira
para, para
o, o
US, us
Space, space
Camp, camp
do, do
Alabama, alabama
,, ,
nos, no
EUA, eua
., .
Mais, mai
do, do
que, que
aprender, aprend
,, ,
na, na
prática, prática
,, ,
matemática, matemática
e, e
física, física
,, ,
elas, ela
construirão, construirão
um, um
protótipo, protótipo
de, de
foguete, foguet
com, com
dois, doi
estágios, estágio
,, ,
que, que
será, será
lançado, lançado
no, no
final, final
do, do
curso, curso
de, de
uma, uma
semana, semana
., .
Aprenderão, aprenderão
nos, no
simuladores, simulador
o, o
que, que
é, é
ausência, ausência
de, de
gravidade, gravidad
e, e
poderão, poderão
passar, passar
uma, uma
noite, noit
num, num
protótipo, protótipo
de, de
estação, estação
espacial, espaci
., .
Preços, preço
a, a
partir, partir
de, de
US$, us$
2.103, 2.103
/, /
CR$, cr$
736, 736
mil, mil
,, ,
com, com
tudo, tudo
incluído, incluído
., .
(, (
PTV, ptv
), )

, 

RESERVAS, reserva
-, -
(, (
011, 011
), )
832-4392, 832-4392
., .

, 

