Como, ﻿como
as, as
superproduções, superproduçõ
hollywoodianas, hollywoodiana
,, ,
eles, ele
custaram, custaram
milhões, milhõ
e, e
milhões, milhõ
de, de
dólares, dólare
., .
Mais, mai
precisamente, precisament
,, ,
Universal, univers
Studios, studio
consumiu, consumiu
US$, us$
600, 600
milhões, milhõ
e, e
MGM, mgm
Studios, studio
,, ,
US$, us$
500, 500
milhões, milhõ
–, –
o, o
equivalente, equivalent
a, a
16, 16
mil, mil
vezes, veze
o, o
valor, valor
gasto, gasto
na, na
construção, construção
do, do
sambódromo, sambódromo
,, ,
no, no
Rio, rio
de, de
Janeiro, janeiro
., .
Nos, no
dois, doi
,, ,
o, o
cinema, cinema
expõe, expõ
seu, seu
universo, universo
de, de
truques, truqu
e, e
fantasias, fantasia
e, e
cria, cria
uma, uma
verdadeira, verdadeira
mágica, mágica
de, de
ilusões, ilusõ
., .

, 

Em, em
Universal, univers
Studios, studio
,, ,
a, a
primeira, primeira
atração, atração
é, é
,, ,
sem, sem
dúvida, dúvida
,, ,
uma, uma
das, da
melhores, melhor
., .
No, no
motel, motel
de, de
Norman, norman
Bates, bate
,, ,
o, o
psicótico, psicótico
vivido, vivido
no, no
cinema, cinema
por, por
Anthony, anthoni
Perkins, perkin
,, ,
em, em
", "
Psicose, psicos
", "
,, ,
do, do
genial, genial
Alfred, alfr
Hitchcock, hitchcock
,, ,
a, a
cena, cena
das, da
facadas, facada
debaixo, debaixo
do, do
chuveiro, chuveiro
ganham, ganham
um, um
realismo, realismo
assustador, assustador
., .
O, o
mesmo, mesmo
acontece, acontec
em, em
", "
Tubarão, tubarão
", "
,, ,
de, de
Steven, steven
Spielberg, spielberg
e, e
em, em
", "
De, de
Volta, volta
Para, para
o, o
Futuro, futuro
", "
,, ,
de, de
Robert, robert
Zemeckis, zemecki
., .

, 

Nos, no
estúdios, estúdio
MGM, mgm
,, ,
a, a
aventura, aventura
começa, começa
na, na
Hollywood, hollywood
Boulevard, boulevard
,, ,
uma, uma
réplica, réplica
,, ,
em, em
estilo, estilo
", "
art, art
déco, déco
", "
,, ,
da, da
meca, meca
do, do
cinema, cinema
nos, no
anos, ano
40, 40
., .
O, o
caminho, caminho
leva, leva
até, até
o, o
Chinese, chines
Theatre, theatr
,, ,
onde, ond
se, se
realizavam, realizavam
as, as
", "
premières, premièr
", "
do, do
passado, passado
,, ,
e, e
leva, leva
até, até
o, o
Great, great
Movie, movi
Ride, ride
., .
Lá, lá
,, ,
os, os
técnicos, técnico
Disney, disney
mostram, mostram
que, que
sabem, sabem
o, o
que, que
fazem, fazem
quando, quando
o, o
assunto, assunto
é, é
audio-animatronic, audio-animatron
(, (
bonecos, boneco
computadorizados, computadorizado
), )
., .
Humphrey, humphrey
Bogart, bogart
se, se
despede, desped
de, de
Ingrid, ingrid
Bergman, bergman
em, em
", "
Casablanca, casablanca
", "
,, ,
Gene, gene
Kelly, kelli
dança, dança
na, na
chuva, chuva
em, em
", "
Singin'in, singin'in
the, the
Rain, rain
", "
e, e
Sigourney, sigourney
Weaver, weaver
se, se
vê, vê
às, às
voltas, volta
com, com
", "
Alien, alien
,, ,
o, o
Oitavo, oitavo
Passageiro, passageiro
", "
., .
Não, não
deixe, deix
MGM, mgm
sem, sem
ver, ver
", "
ET, et
", "
e, e
", "
Guerra, guerra
nas, na
Estrelas, estrela
", "
e, e
", "
ET, et
", "
., .

, 

Nos, no
dois, doi
parques, parqu
–, –
arqui-rivais, arqui-rivai
,, ,
por, por
sinal, sinal
–, –
,, ,
há, há
muito, muito
o, o
que, que
se, se
ver, ver
e, e
o, o
ideal, ideal
é, é
passar, passar
em, em
cada, cada
um, um
deles, dele
pelo, pelo
menos, meno
um, um
dia, dia
inteiro, inteiro
., .
Ambos, ambo
mostram, mostram
a, a
agitada, agitada
vida, vida
que, que
há, há
por, por
trás, trá
das, da
câmaras, câmara
cinematográficas, cinematográfica
,, ,
os, os
", "
backstages, backstag
", "
,, ,
e, e
oferecem, oferecem
a, a
oportunidade, oportunidad
de, de
o, o
visitante, visitant
participar, participar
do, do
espetáculo, espetáculo
,, ,
como, como
em, em
", "
Indiana, indiana
Jones, jone
-, -
Os, os
Caçadores, caçador
da, da
Arca, arca
Perdida, perdida
", "
., .
(, (
Patrícia, patrícia
Trudes, trude
da, da
Veiga, veiga
), )

, 

DICA, dica
-, -
Se, se
tiver, tiver
que, que
escolher, escolh
entre, entr
MGM, mgm
e, e
Universal, univers
,, ,
não, não
hesite, hesit
., .
Universal, univers
dá, dá
de, de
dez, dez
a, a
zero, zero
., .

, 

