Cordiais, ﻿cordiai
ou, ou
nem, nem
tanto, tanto
., .
É, é
na, na
mesma, mesma
rua, rua
15, 15
de, de
Novembro, novembro
que, que
o, o
espírito, espírito
curitibano, curitibano
reservou, reserv
um, um
espaço, espaço
para, para
gentilezas, gentileza
–, –
a, a
Rua, rua
das, da
Flores, flore
–, –
e, e
maledicências, maledicência
–, –
a, a
Boca, boca
Maldita, maldita
., .
A, a
Rua, rua
das, da
Flores, flore
foi, foi
o, o
primeiro, primeiro
calçadão, calçadão
do, do
país, paí
e, e
está, está
fechada, fechada
ao, ao
trânsito, trânsito
das, da
máquinas, máquina
mortíferas, mortífera
desde, desd
1972, 1972
., .
É, é
um, um
lugar, lugar
em, em
que, que
floreiras, floreira
e, e
mesas, mesa
na, na
calçada, calçada
de, de
pedras, pedra
", "
petit, petit
pavê, pavê
", "
contribuem, contribuem
para, para
a, a
chamada, chamada
alegria, alegria
de, de
viver, viver
., .
Na, na
Boca, boca
Maldita, maldita
,, ,
", "
subdistrito, subdistrito
", "
da, da
Rua, rua
das, da
Flores, flore
,, ,
ao, ao
contrário, contrário
,, ,
vale, vale
tudo, tudo
,, ,
principalmente, principalment
infernizar, infernizar
a, a
vida, vida
alheia, alheia
., .
O, o
lema, lema
,, ,
pasmem, pasmem
,, ,
é, é
", "
nada, nada
vejo, vejo
,, ,
nada, nada
ouço, ouço
,, ,
nada, nada
falo, falo
", "
., .

, 

São, são
dois, doi
dos, do
cenários, cenário
indicados, indicado
pela, pela
Linha, linha
Pinhão, pinhão
no, no
trecho, trecho
que, que
vai, vai
da, da
Universidade, universidad
Federal, feder
do, do
Paraná, paraná
à, à
praça, praça
General, gener
Osório, osório
,, ,
espécie, espéci
de, de
sala, sala
de, de
visita, visita
de, de
Curitiba, curitiba
., .
Entre, entr
dois, doi
marcos, marco
da, da
arquitetura, arquitetura
local, local
,, ,
o, o
majestoso, majestoso
edifício, edifício
da, da
Universidade, universidad
,, ,
a, a
primeira, primeira
do, do
país, paí
,, ,
e, e
o, o
Teatro, teatro
Guaíra, guaíra
,, ,
o, o
maior, maior
da, da
América, américa
Latina, latina
,, ,
a, a
praça, praça
Santos, santo
Andrade, andrad
recebe, receb
os, os
visitantes, visitant
com, com
o, o
porte, port
de, de
suas, sua
araucárias, araucária
e, e
seu, seu
jeito, jeito
de, de
tempos, tempo
menos, meno
hostis, hosti
., .

, 

É, é
na, na
praça, praça
que, que
a, a
cidade, cidad
organiza, organiza
um, um
dos, do
dois, doi
grandes, grand
espetáculos, espetáculo
com, com
os, os
quais, quai
quer, quer
se, se
firmar, firmar
,, ,
também, também
,, ,
como, como
a, a
", "
capital, capit
do, do
Natal, natal
", "
., .
Este, est
ano, ano
,, ,
as, as
colunas, coluna
da, da
fachada, fachada
neoclássica, neoclássica
da, da
Universidade, universidad
abrigaram, abrigaram
um, um
presépio, presépio
gigante, gigant
e, e
um, um
espetáculo, espetáculo
natalino, natalino
–, –
o, o
outro, outro
espetáculo, espetáculo
aconteceu, aconteceu
no, no
palácio, palácio
Avenida, avenida
,, ,
sede, sede
do, do
Bamerindus, bamerindu
,, ,
na, na
esquina, esquina
da, da
rua, rua
15, 15
de, de
Novembro, novembro
e, e
travessa, travessa
Oliveira, oliveira
Bello, bello
., .
Saindo, saindo
da, da
praça, praça
,, ,
passa-se, passa-s
por, por
prédios, prédio
como, como
o, o
Correio, correio
Velho, velho
e, e
o, o
Grande, grand
Hotel, hotel
Moderno, moderno
,, ,
marcos, marco
da, da
arquitetura, arquitetura
e, e
do, do
estilo, estilo
de, de
vida, vida
da, da
capital, capit
paranaense, paranaens
., .

, 

Outros, outro
marcos, marco
se, se
distribuem, distribuem
pela, pela
rua, rua
15, 15
de, de
Novembro, novembro
., .
Como, como
as, as
Livrarias, livraria
Ghignone, ghignon
,, ,
com, com
sua, sua
célebre, célebr
porta, porta
de, de
madeira, madeira
de, de
lei, lei
,, ,
cantada, cantada
em, em
verso, verso
e, e
prosa, prosa
;, ;
a, a
Galeria, galeria
Schaffer, schaffer
,, ,
ex-sede, ex-sed
da, da
antiga, antiga
Confeitaria, confeitaria
Schaffer, schaffer
e, e
hoje, hoje
,, ,
depois, depoi
do, do
incêndio, incêndio
de, de
1978, 1978
,, ,
um, um
dos, do
pontos, ponto
culturais, culturai
da, da
cidade, cidad
;, ;
a, a
Confeitaria, confeitaria
das, da
Famílias, família
,, ,
que, que
ainda, ainda
hoje, hoje
produz, produz
as, as
receitas, receita
que, que
fizeram, fizeram
o, o
sucesso, sucesso
do, do
