O, ﻿o
primeiro, primeiro
grito, grito
de, de
Carnaval, carnav
do, do
centro, centro
do, do
Recife, recif
vai, vai
ser, ser
dado, dado
oficialmente, oficialment
às, às
18h, 18h
de, de
sexta-feira, sexta-feira
,, ,
11, 11
de, de
fevereiro, fevereiro
., .
A, a
partir, partir
daí, daí
,, ,
cerca, cerca
de, de
1,5, 1,5
milhão, milhão
de, de
pessoas, pessoa
deverá, deverá
sair, sair
às, às
ruas, rua
atrás, atrá
dos, do
trios, trio
elétricos, elétrico
,, ,
blocos, bloco
de, de
 ,  
frevo, frevo
e, e
maracatus, maracatu
,, ,
numa, numa
festa, festa
que, que
só, só
deve, deve
terminar, terminar
dez, dez
dias, dia
depois, depoi
., .

, 

A, a
cidade, cidad
se, se
preparou, prepar
como, como
nunca, nunca
este, est
ano, ano
., .
Quer, quer
competir, competir
com, com
Salvador, salvador
e, e
,, ,
para, para
isso, isso
,, ,
investiu, investiu
cerca, cerca
de, de
US$, us$
4, 4
milhões, milhõ
na, na
folia, folia
,, ,
com, com
o, o
patrocínio, patrocínio
de, de
empresas, empresa
privadas, privada
., .
Na, na
decoração, decoração
,, ,
mais, mai
de, de
100, 100
mil, mil
lâmpadas, lâmpada
e, e
60, 60
estruturas, estrutura
com, com
até, até
15, 15
metros, metro
de, de
altura, altura
estão, estão
sendo, sendo
instaladas, instalada
., .

, 

Cerca, cerca
de, de
300, 300
agremiações, agremiaçõ
vão, vão
animar, animar
os, os
foliões, foliõ
,, ,
que, que
,, ,
além, além
do, do
centro, centro
da, da
cidade, cidad
,, ,
poderão, poderão
se, se
divertir, divertir
também, também
na, na
praia, praia
de, de
Boa, boa
Viagem, viagem
., .
No, no
centro, centro
,, ,
a, a
maior, maior
atração, atração
é, é
o, o
Galo, galo
da, da
Madrugada, madrugada
,, ,
que, que
este, est
ano, ano
quer, quer
entrar, entrar
no, no
", "
Guiness, guiness
", "
como, como
o, o
maior, maior
bloco, bloco
de, de
frevo, frevo
do, do
mundo, mundo
,, ,
capaz, capaz
de, de
arrastar, arrastar
1, 1
