Sem, ﻿sem
rodas, roda
,, ,
Curitiba, curitiba
não, não
mostra, mostra
a, a
sua, sua
face, face
mais, mai
moderna, moderna
., .
Mesmo, mesmo
que, que
alguns, algun
marcos, marco
possam, possam
ser, ser
vistos, visto
a, a
pé, pé
,, ,
nas, na
paralelas, paralela
da, da
Linha, linha
Pinhão, pinhão
,, ,
como, como
as, as
estações-tubo, estações-tubo
da, da
Rede, rede
de, de
Linhas, linha
Diretas, direta
,, ,
o, o
Ligeirinho, ligeirinho
,, ,
e, e
a, a
Rua, rua
24, 24
Horas, hora
,, ,
só, só
de, de
carro, carro
ou, ou
ônibus, ônibu
se, se
conhecem, conhecem
equipamentos, equipamento
como, como
o, o
Jardim, jardim
Botânico, botânico
e, e
a, a
Opera, opera
de, de
Arame, aram
., .
Boas, boa
idéias, idéia
não, não
custam, custam
muito, muito
dinheiro, dinheiro
., .

, 

As, as
estações, estaçõ
do, do
Ligeirinho, ligeirinho
,, ,
o, o
metrô, metrô
de, de
superfície, superfíci
,, ,
lembram, lembram
antecipações, antecipaçõ
à, à
", "
la, la
", "
Metrópolis, metrópoli
., .
São, são
12, 12
linhas, linha
,, ,
81, 81
estações, estaçõ
e, e
156, 156
ônibus, ônibu
que, que
transportam, transportam
200, 200
mil, mil
passageiros, passageiro
por, por
dia, dia
., .
Outra, outra
boa, boa
idéia, idéia
é, é
a, a
Rua, rua
24, 24
Horas, hora
,, ,
galeria, galeria
de, de
estrutura, estrutura
tubular, tubular
com, com
39, 39
lojas, loja
que, que
funciona, funciona
dia, dia
e, e
noite, noit
e, e
garante, garant
segurança, segurança
para, para
os, os
frequentadores, frequentador
–, –
a, a
cobertura, cobertura
isola, isola
o, o
mau, mau
tempo, tempo
., .
Fica, fica
na, na
rua, rua
Visconde, viscond
de, de
Nacar, nacar
., .

, 

O, o
novo, novo
cartão-postal, cartão-post
da, da
cidade, cidad
está, está
na, na
região, região
leste, lest
., .
É, é
a, a
estufa, estufa
construída, construída
em, em
tubo, tubo
metálico, metálico
e, e
vidro, vidro
do, do
Jardim, jardim
Botânico, botânico
,, ,
área, área
de, de
178, 178
mil, mil
metros, metro
quadrados, quadrado
implantada, implantada
há, há
dois, doi
anos, ano
., .
A, a
estrutura, estrutura
de, de
três, trê
cúpulas, cúpula
da, da
estufa, estufa
imita, imita
a, a
do, do
palácio, palácio
de, de
Cristal, cristal
,, ,
que, que
existiu, existiu
em, em
Londres, londr
,, ,
e, e
abriga, abriga
espécies, espéci
brasileiras, brasileira
., .
Os, os
canteiros, canteiro
à, à
francesa, francesa
,, ,
a, a
mata, mata
com, com
araucárias, araucária
e, e
o, o
Museu, museu
Botânico, botânico
completam, completam
o, o
conjunto, conjunto
., .

, 

Siga, siga
o, o
norte, nort
da, da
bússola, bússola
e, e
tome, tome
a, a
rua, rua
Mateus, mateu
Leme, leme
., .
Novas, nova
estruturas, estrutura
tubulares, tubular
aguardam, aguardam
o, o
visitante, visitant
nas, na
antigas, antiga
pedreiras, pedreira
Municipal, municip
e, e
Gava, gava
,, ,
hoje, hoje
o, o
Parque, parqu
das, da
Pedreiras, pedreira
., .
A, a
primeira, primeira
,, ,
desativa, desativa
em, em
1989, 1989
,, ,
transformou-se, transformou-s
no, no
Espaço, espaço
Cultural, cultur
Paulo, paulo
Leminski, leminski
no, no
mesmo, mesmo
ano, ano
,, ,
ao, ao
ar, ar
livre, livr
., .
Um, um
exemplo, exemplo
de, de
preocupação, preocupação
ambiental, ambient
:, :
lixo, lixo
reciclável, reciclável
foi, foi
o, o
ingresso, ingresso
para, para
um, um
show, show
de, de
Roberto, roberto
Carlos, carlo
., .

, 

Ao, ao
lado, lado
,, ,
fica, fica
a, a
Ópera, ópera
de, de
Arame, aram
,, ,
inaugurada, inaugurada
em, em
1992, 1992
., .
A, a
construção, construção
é, é
resultado, resultado
de, de
uma, uma
rixa, rixa
entre, entr
governos, governo
., .
Em, em
dois, doi
meses, mese
,, ,
na, na
área, área
da, da
pedreira, pedreira
Gava, gava
,, ,
ergueu-se, ergueu-s
uma, uma
estrutura, estrutura
tubular, tubular
transparente, transparent
que, que
interage, interag
com, com
a, a
paisagem, paisagem
., .
O, o
conforto, conforto
,, ,
dizem, dizem
,, ,
não, não
é, é
grande, grand
., .
Mas, ma
quem, quem
pensa, pensa
nisso, nisso
ao, ao
atravessar, atravessar
a, a
ponte, pont
e, e
enxergar, enxergar
a, a
primeira, primeira
carpa, carpa
vermelha, vermelha
?, ?
(, (
Federico, federico
Mengozzi, mengozzi
), )

, 

