Que, ﻿que
há, há
para, para
fazer, fazer
em, em
Palo, palo
Alto, alto
?, ?
Turisticamente, turisticament
,, ,
nada, nada
., .
Palo, palo
Alto, alto
é, é
a, a
típica, típica
cidadezinha, cidadezinha
de, de
subúrbio, subúrbio
norte-americana, norte-americana
–, –
lá, lá
,, ,
quase, quas
que, que
exclusivamente, exclusivament
se, se
mora, mora
., .
A, a
sua, sua
população, população
gira, gira
em, em
torno, torno
de, de
15, 15
mil, mil
ou, ou
20, 20
mil, mil
habitantes, habitant
,, ,
na, na
dependência, dependência
dos, do
picos, pico
de, de
frequência, frequência
da, da
universidade, universidad
de, de
Stanford, stanford
,, ,
a, a
sua, sua
atração, atração
principal, princip
., .
Aliás, aliá
,, ,
uma, uma
população, população
riquíssima, riquíssima
,, ,
a, a
renda, renda
per, per
capita, capita
em, em
torno, torno
dos, do
US$, us$
20, 20
mil, mil
,, ,
uma, uma
das, da
maiores, maior
dos, do
EUA, eua
., .

, 

Trata-se, trata-s
de, de
uma, uma
cidadezinha, cidadezinha
basicamente, basicament
plana, plana
,, ,
mais, mai
árvores, árvore
do, do
que, que
pessoas, pessoa
em, em
cada, cada
quarteirão, quarteirão
,, ,
um, um
cachorro, cachorro
ao, ao
menos, meno
em, em
cada, cada
casa, casa
., .
Em, em
Palo, palo
Alto, alto
,, ,
os, os
cães, cãe
são, são
respeitados, respeitado
como, como
pessoas, pessoa
., .
Várias, vária
lojas, loja
e, e
vários, vário
restaurantes, restaurant
permitem, permitem
a, a
sua, sua
entrada, entrada
na, na
companhia, companhia
dos, do
proprietários, proprietário
., .

, 

O, o
programa, programa
da, da
juventude, juventud
de, de
Palo, palo
Alto, alto
é, é
o, o
esporte, esport
ao, ao
ar, ar
livre, livr
., .
A, a
cidadezinha, cidadezinha
ostenta, ostenta
uma, uma
infinidade, infinidad
de, de
quadras, quadra
de, de
tênis, têni
,, ,
abertas, aberta
a, a
quem, quem
quiser, quiser
utilizá-las, utilizá-la
., .
Nas, na
suas, sua
ruas, rua
e, e
avenidas, avenida
existem, existem
margens, margen
reservadas, reservada
para, para
os, os
ciclistas, ciclista
ou, ou
os, os
praticantes, praticant
das, da
corridas, corrida
., .
E, e
,, ,
embora, embora
sejam, sejam
poucos, pouco
os, os
semáforos, semáforo
,, ,
a, a
parada, parada
é, é
obrigatória, obrigatória
em, em
quase, quas
todos, todo
os, os
cruzamentos, cruzamento
., .
Quem, quem
chega, chega
ao, ao
xis, xi
estanca, estanca
automaticamente, automaticament
o, o
seu, seu
veículo, veículo
,, ,
mesmo, mesmo
que, que
não, não
haja, haja
nenhum, nenhum
outro, outro
carro, carro
na, na
mesma, mesma
situação, situação
., .
Também, também
é, é
compulsória, compulsória
a, a
parada, parada
diante, diant
da, da
travessia, travessia
de, de
um, um
pedestre, pedestr
,, ,
mesmo, mesmo
que, que
o, o
cidadão, cidadão
não, não
esteja, esteja
na, na
sua, sua
faixa, faixa
de, de
proteção, proteção
., .
O, o
motorista, motorista
,, ,
muitas, muita
vezes, veze
,, ,
não, não
se, se
apercebe, aperceb
da, da
presença, presença
do, do
policial, polici
., .

, 

Sem, sem
pontos, ponto
turísticos, turístico
,, ,
Palo, palo
Alto, alto
fica, fica
perto, perto
,, ,
no, no
entanto, entanto
,, ,
de, de
muitas, muita
instalações, instalaçõ
de, de
lazer, lazer
,, ,
shoppings, shop
,, ,
lanchonetes, lanchonet
e, e
restaurantes, restaurant
., .
Num, num
raio, raio
de, de
50, 50
quilômetros, quilômetro
existe, exist
meia, meia
dúzia, dúzia
de, de
clubes, clube
de, de
golfe, golf
,, ,
o, o
dobro, dobro
de, de
minigolfe, minigolf
,, ,
o, o
quádruplo, quádruplo
de, de
conjuntos, conjunto
de, de
sinuca, sinuca
e, e
fliperama, fliperama
., .
A, a
meros, mero
dez, dez
minutos, minuto
fica, fica
,, ,
no, no
alto, alto
da, da
Sierra, sierra
,, ,
a, a
falha, falha
de, de
San, san
Andreas, andrea
,, ,
com, com
a, a
sua, sua
ameaça, ameaça
permanente, permanent
de, de
um, um
novo, novo
terremoto, terremoto
., .

, 

Isso, isso
assusta, assusta
?, ?
Para, para
quem, quem
deseja, deseja
um, um
turismo, turismo
acadêmico, acadêmico
,, ,
porém, porém
,, ,
a, a
universidade, universidad
de, de
Stanford, stanford
dispõe, dispõ
de, de
uma, uma
das, da
melhores, melhor
bibliotecas, biblioteca
do, do
planeta, planeta
–, –
mesmo, mesmo
duas, dua
décadas, década
atrás, atrá
,, ,
lá, lá
eu, eu
já, já
lia, lia
os, os
principais, principai
periódicos, periódico
do, do
Brasil, brasil
no, no
dia, dia
seguinte, seguint
à, à
publicação, publicação
., .
Tem, tem
uma, uma
excelente, excelent
galeria, galeria
de, de
arte, art
., .
Um, um
majestoso, majestoso
hospital, hospit
de, de
pesquisa, pesquisa
básica, básica
., .
E, e
uma, uma
coleção, coleção
de, de
20, 20
ganhadores, ganhador
do, do
Prêmio, prêmio
Nobel, nobel
., .
Certa, certa
ocasião, ocasião
,, ,
num, num
vestiário, vestiário
,, ,
perdi, perdi
o, o
sabonete, sabonet
num, num
ralo, ralo
., .
Um, um
senhor, senhor
me, me
emprestou, emprest
o, o
dele, dele
., .
Depois, depoi
me, me
disseram, disseram
o, o
seu, seu
nome, nome
,, ,
professor, professor
Bill, bill
Shockley, shockley
,, ,
Nobel, nobel
de, de
56, 56
,, ,
apenas, apena
o, o
inventor, inventor
do, do
transistor, transistor
., .
(, (
Sílvio, sílvio
Lancellotti, lancellotti
), )

, 

