Já, ﻿já
foi, foi
mais, mai
difícil, difícil
tirar, tirar
o, o
passaporte, passaport
., .
Hoje, hoje
dá, dá
até, até
para, para
fazê-lo, fazê-lo
pelo, pelo
correio, correio
., .
É, é
mais, mai
caro, caro
,, ,
mas, ma
o, o
usuário, usuário
não, não
fica, fica
em, em
filas, fila
e, e
nem, nem
precisa, precisa
ir, ir
à, à
Polícia, polícia
Federal, feder
., .
E, e
recebe, receb
entre, entr
sete, sete
e, e
dez, dez
dias, dia
úteis, útei
., .

, 

O, o
kit-passaporte, kit-passaport
vendido, vendido
nas, na
agências, agência
do, do
correio, correio
custa, custa
CR$, cr$
14,3, 14,3
mil, mil
., .
Contém, contém
um, um
envelope, envelop
de, de
Sedex, sedex
especial, especi
,, ,
uma, uma
solicitação, solicitação
do, do
documento, documento
pré-endereçada, pré-endereçada
à, à
PF, pf
,, ,
dois, doi
formulários, formulário
de, de
requerimento, requerimento
e, e
dois, doi
de, de
aviso, aviso
de, de
recebimento, recebimento
., .
Dentro, dentro
devem, devem
ser, ser
colocados, colocado
os, os
documentos, documento
–, –
originais, originai
ou, ou
xerox, xerox
., .

, 

As, as
cópias, cópia
podem, podem
ser, ser
autenticadas, autenticada
no, no
correio, correio
., .
O, o
usuário, usuário
recebe, receb
o, o
aviso, aviso
de, de
chegada, chegada
do, do
passaporte, passaport
e, e
tem, tem
30, 30
dias, dia
para, para
retirá-lo, retirá-lo
., .

, 

Quem, quem
quer, quer
gastar, gastar
menos, meno
,, ,
deve, deve
ir, ir
direto, direto
à, à
PF, pf
e, e
pagar, pagar
antes, ant
no, no
banco, banco
o, o
Darf, darf
–, –
taxa, taxa
de, de
CR$, cr$
3.960,00, 3.960,00
., .
Em, em
São, são
Paulo, paulo
–, –
o, o
atendimento, atendimento
é, é
das, da
8h, 8h
às, às
16h, 16h
–, –
,, ,
o, o
passaporte, passaport
sai, sai
no, no
mesmo, mesmo
dia, dia
para, para
quem, quem
der, der
entrada, entrada
até, até
as, as
12h, 12h
., .
Caso, caso
contrário, contrário
,, ,
só, só
no, no
dia, dia
seguinte, seguint
., .

, 

