Requebrar, ﻿requebrar
., .
É, é
esse, ess
o, o
verbo, verbo
que, que
vai, vai
reger, reger
o, o
Carnaval, carnav
baiano, baiano
deste, dest
ano, ano
., .
A, a
música, música
", "
Requebra, requebra
", "
,, ,
da, da
dupla, dupla
Onasis, onasi
e, e
Nego, nego
,, ,
do, do
Olodum, olodum
,, ,
já, já
virou, virou
hit, hit
da, da
estação, estação
., .
Turistas, turista
desajeitados, desajeitado
–, –
e, e
outros, outro
nem, nem
tanto, tanto
–, –
já, já
aderiram, aderiram
ao, ao
refrão, refrão
", "
requebra, requebra
,, ,
requebra, requebra
,, ,
requebra, requebra
assim, assim
,, ,
pode, pode
falar, falar
,, ,
pode, pode
rir, rir
de, de
mim, mim
", "
e, e
tentam, tentam
seguir, seguir
com, com
a, a
cara, cara
,, ,
a, a
coragem, coragem
e, e
o, o
quadril, quadril
o, o
jogo, jogo
de, de
cintura, cintura
que, que
só, só
o, o
baiano, baiano
tem, tem
., .

, 

Além, além
de, de
sua, sua
música, música
ser, ser
das, da
mais, mai
tocadas, tocada
,, ,
o, o
Olodum, olodum
promete, promet
também, também
a, a
maior, maior
estrela, estrela
deste, dest
Carnaval, carnav
., .
O, o
bloco, bloco
aproveitou, aproveit
a, a
deixa, deixa
do, do
diretor, diretor
norte-americano, norte-americano
Spike, spike
Lee, lee
–, –
que, que
encomendou, encomend
aos, ao
tambores, tambor
do, do
Pelourinho, pelourinho
uma, uma
música, música
para, para
a, a
trilha, trilha
de, de
seu, seu
próximo, próximo
filme, film
–, –
e, e
o, o
convidou, convid
para, para
cair, cair
na, na
folia, folia
paramentado, paramentado
com, com
as, as
cores, core
verde, verd
,, ,
amarelo, amarelo
,, ,
vermelho, vermelho
e, e
preto, preto
., .

, 

Furacão, furacão
baiano, baiano
de, de
93, 93
–, –
e, e
apesar, apesar
de, de
ainda, ainda
fazer, fazer
sucesso, sucesso
–, –
,, ,
a, a
cantora, cantora
Daniela, daniela
Mercury, mercuri
corre, corr
o, o
risco, risco
de, de
ter, ter
que, que
disputar, disputar
seu, seu
título, título
de, de
rainha, rainha
da, da
axé, axé
music, music
., .
A, a
bela, bela
e, e
também, também
talentosa, talentosa
cantora, cantora
Simone, simon
Moreno, moreno
tem, tem
aquecido, aquecido
e, e
chacoalhado, chacoalhado
os, os
candidatos, candidato
a, a
foliões, foliõ
,, ,
mostrando, mostrando
que, que
vai, vai
pintar, pintar
,, ,
bordar, bordar
e, e
reinar, reinar
este, est
ano, ano
., .

, 

Outras, outra
mulheres, mulher
também, também
prometem, prometem
fazer, fazer
barulho, barulho
:, :
o, o
conjunto, conjunto
Bolacha, bolacha
Maria, maria
,, ,
versão, versão
feminina, feminina
–, –
mais, mai
modesta, modesta
–, –
da, da
Timbalada, timbalada
de, de
Carlinhos, carlinho
Brown, brown
., .
As, as
meninas, menina
cantam, cantam
e, e
tocam, tocam
em, em
panelas, panela
e, e
tampas, tampa
., .

, 

