Turista, ﻿turista
sofre, sofr
!, !
Entre, entr
um, um
parque, parqu
e, e
outro, outro
–, –
", "
maior, maior
ainda, ainda
", "
,, ,
clamam, clamam
os, os
pés, pé
–, –
,, ,
sempre, sempr
encontra, encontra
um, um
jeito, jeito
de, de
arranhar, arranhar
o, o
carro, carro
da, da
locadora, locadora
,, ,
comprar, comprar
confusão, confusão
por, por
causa, causa
da, da
gorjeta, gorjeta
,, ,
perder, perder
os, os
cheques, chequ
de, de
viagem, viagem
., .
Isso, isso
quando, quando
,, ,
na, na
véspera, véspera
da, da
volta, volta
,, ,
não, não
dá, dá
de, de
cara, cara
com, com
a, a
porta, porta
fechada, fechada
daquele, daquel
museu, museu
com, com
o, o
qual, qual
sonhou, sonhou
toda, toda
a, a
vida, vida
., .

, 

É, é
para, para
resolver, resolv
problemas, problema
desse, dess
tipo, tipo
–, –
e, e
,, ,
obviamente, obviament
,, ,
conduzir, conduzir
o, o
leitor, leitor
pelos, pelo
labirintos, labirinto
turísticos, turístico
–, –
que, que
existem, existem
os, os
guias, guia
de, de
viagem, viagem
., .
Como, como
é, é
impossível, impossível
atender, atend
todas, toda
as, as
expectativas, expectativa
e, e
situações, situaçõ
,, ,
os, os
guias, guia
surgem, surgem
e, e
vivem, vivem
editorialmente, editorialment
com, com
suas, sua
deficiências, deficiência
conceituais, conceituai
–, –
ou, ou
seu, seu
pecado, pecado
original, origin
., .

, 

Entre, entr
os, os
títulos, título
consagrados, consagrado
–, –
Baedeker, baedek
e, e
companhia, companhia
–, –
,, ,
os, os
guias, guia
American, american
Express, express
/, /
Globo, globo
se, se
colocam, colocam
entre, entr
aqueles, aquel
que, que
melhor, melhor
cumprem, cumprem
a, a
função, função
de, de
informar, informar
e, e
,, ,
talvez, talvez
,, ,
formar, formar
o, o
gosto, gosto
do, do
viajante, viajant
., .
", "
Los, lo
Angeles, angel
&, &
San, san
Francisco, francisco
", "
e, e
", "
Roma, roma
", "
são, são
os, os
novos, novo
destinos, destino
da, da
série, série
em, em
português, portuguê
., .

, 

Antes, ant
de, de
embarcar, embarcar
na, na
leitura, leitura
do, do
miolo, miolo
A-Z, a-z
que, que
relaciona, relaciona
o, o
que, que
deve, deve
ser, ser
visto, visto
nas, na
cidades, cidad
,, ,
quem, quem
quiser, quiser
evitar, evitar
problemas, problema
,, ,
ou, ou
saber, saber
como, como
sair, sair
deles, dele
,, ,
deve, deve
atentar, atentar
para, para
as, as
páginas, página
iniciais, iniciai
,, ,
com, com
informações, informaçõ
básicas, básica
para, para
marinheiros, marinheiro
de, de
primeira, primeira
,, ,
segunda, segunda
ou, ou
terceira, terceira
viagem, viagem
., .
De, de
documentos, documento
para, para
a, a
viagem, viagem
ao, ao
guarda-roupa, guarda-roupa
indicado, indicado
,, ,
dos, do
cuidados, cuidado
com, com
a, a
alfândega, alfândega
à, à
época, época
ideal, ideal
para, para
viajar, viajar
,, ,
tudo, tudo
está, está
lá, lá
., .
Há, há
até, até
uma, uma
página, página
que, que
só, só
trata, trata
de, de
emergências, emergência
., .

, 

Depois, depoi
,, ,
é, é
só, só
escolher, escolh
,, ,
em, em
ordem, ordem
alfabética, alfabética
,, ,
o, o
que, que
ver, ver
,, ,
onde, ond
ficar, ficar
,, ,
comer, comer
e, e
comprar, comprar
., .
Achar, achar
defeitos, defeito
lembra, lembra
procurar, procurar
pulga, pulga
em, em
elefante, elefant
., .
As, as
vezes, veze
os, os
verbetes, verbet
são, são
muito, muito
curtos, curto
ou, ou
muito, muito
longos, longo
,, ,
mas, ma
quem, quem
sabe, sabe
a, a
medida, medida
da, da
curiosidade, curiosidad
do, do
leitor, leitor
?, ?
A, a
escolha, escolha
deste, dest
hotel, hotel
ou, ou
daquele, daquel
restaurante, restaurant
é, é
a, a
manifestação, manifestação
de, de
um, um
gosto, gosto
pessoal, pessoal
,, ,
mas, ma
qual, qual
seria, seria
a, a
maneira, maneira
de, de
indicar, indicar
as, as
centenas, centena
de, de
estabelecimentos, estabelecimento
de, de
uma, uma
metrópole, metrópol
?, ?

, 

Há, há
erros, erro
,, ,
sim, sim
,, ,
e, e
graves, grave
,, ,
como, como
a, a
inversão, inversão
dos, do
símbolos, símbolo
referentes, referent
à, à
categoria, categoria
de, de
preços, preço
dos, do
hotéis, hotéi
., .
Por, por
um, um
passe, pass
de, de
mágica, mágica
,, ,
ou, ou
um, um
erro, erro
na, na
montagem, montagem
das, da
páginas, página
,, ,
o, o
", "
muito, muito
caro, caro
", "
saiu, saiu
como, como
", "
