"How, ﻿"how
was, wa
your, your
trip, trip
", "
,, ,
perguntou, pergunt
Doug, doug
Cleghorn, cleghorn
,, ,
sócio-proprietário, sócio-proprietário
da, da
Orange, orang
Blosson, blosson
Balloons, balloon
., .
", "
Unforgettable, unforgett
", "
,, ,
respondi, respondi
., .
Foi, foi
a, a
única, única
palavra, palavra
que, que
encontrei, encontrei
naquele, naquel
minuto, minuto
para, para
resumir, resumir
minha, minha
sensação, sensação
de, de
sobrevoar, sobrevoar
de, de
balão, balão
os, os
parques, parqu
de, de
Walt, walt
Disney, disney
World, world
., .
Ainda, ainda
estava, estava
extasiada, extasiada
., .

, 

Minha, minha
aventura, aventura
começou, começ
de, de
madrugada, madrugada
., .
Praticar, praticar
balonismo, balonismo
requer, requer
certos, certo
esforços, esforço
., .
O, o
primeiro, primeiro
deles, dele
foi, foi
colocar, colocar
o, o
despertador, despertador
para, para
bem, bem
cedo, cedo
,, ,
antes, ant
mesmo, mesmo
das, da
5h, 5h
., .
Deixei, deixei
o, o
hotel, hotel
antes, ant
das, da
6h, 6h
,, ,
sem, sem
café, café
da, da
manhã, manhã
–, –
recomendação, recomendação
expressa, expressa
para, para
", "
balonistas, balonista
de, de
primeira, primeira
viagem, viagem
", "
., .
Os, os
ventos, vento
mais, mai
propícios, propício
sopram, sopram
por, por
volta, volta
das, da
7h, 7h
., .
E, e
lá, lá
estávamos, estávamo
., .

, 

O, o
sol, sol
ainda, ainda
era, era
uma, uma
imensa, imensa
bola, bola
vermelha, vermelha
no, no
horizonte, horizont
quando, quando
iniciamos, iniciamo
a, a
montagem, montagem
dos, do
balões, balõ
., .
Foi, foi
um, um
espetáculo, espetáculo
à, à
parte, part
., .
A, a
imensa, imensa
lona, lona
foi, foi
atada, atada
ao, ao
cesto, cesto
e, e
esticada, esticada
sobre, sobr
o, o
gramado, gramado
., .
Um, um
potente, potent
ventilador, ventilador
encheu-a, encheu-a
de, de
ar, ar
frio, frio
,, ,
que, que
foi, foi
aquecido, aquecido
por, por
um, um
ruidoso, ruidoso
maçarico, maçarico
., .
Doug, doug
explicou, explic
que, que
aquecer, aquec
o, o
ar, ar
sempre, sempr
que, que
se, se
deseja, deseja
ganhar, ganhar
altura, altura
e, e
esfriar, esfriar
o, o
ar, ar
sempre, sempr
que, que
se, se
deseja, deseja
perder, perder
altura, altura
eram, eram
os, os
mecanismos, mecanismo
fundamentais, fundamentai
para, para
dirigir, dirigir
um, um
balão, balão
., .
Já, já
o, o
ponto, ponto
de, de
chegada, chegada
,, ,
segundo, segundo
ele, ele
,, ,
", "
nobody, nobodi
knows, know
", "
,, ,
fica, fica
ao, ao
sabor, sabor
das, da
eventuais, eventuai
rajadas, rajada
de, de
vento, vento
., .

, 

As, as
8h, 8h
,, ,
subi, subi
aos, ao
céus, céu
excentricamente, excentricament
acomodada, acomodada
em, em
um, um
cesto, cesto
de, de
vime, vime
., .
Não, não
consegui, consegui
esconder, escond
um, um
certo, certo
friozinho, friozinho
no, no
estômago, estômago
., .
Mas, ma
a, a
suavidade, suavidad
com, com
que, que
o, o
balão, balão
vai, vai
ganhando, ganhando
altura, altura
me, me
surpreendia, surpreendia
., .
E, e
a, a
paisagem, paisagem
foi, foi
se, se
revelando, revelando
:, :
árvores, árvore
,, ,
lagoas, lagoa
e, e
a, a
Disney, disney
,, ,
num, num
ângulo, ângulo
superexclusivo, superexclusivo
., .

, 

O, o
tempo, tempo
passou, passou
,, ,
literalmente, literalment
,, ,
voando, voando
., .
", "
Vamos, vamo
pousar, pousar
", "
,, ,
disse, diss
o, o
piloto, piloto
,, ,
já, já
sobrevoando, sobrevoando
a, a
copa, copa
das, da
árvores, árvore
,, ,
a, a
poucos, pouco
metros, metro
do, do
chão, chão
., .
", "
Atenção, atenção
,, ,
segurem, segurem
firme, firm
., .
", "
E, e
o, o
cesto, cesto
de, de
vime, vime
caiu, caiu
violentamente, violentament
sobre, sobr
o, o
solo, solo
,, ,
encerrando, encerrando
os, os
60, 60
minutos, minuto
mais, mai
inesquecíveis, inesquecívei
de, de
uma, uma
viagem, viagem
a, a
Orlando, orlando
., .
(, (
Patrícia, patrícia
Trudes, trude
da, da
Veiga, veiga
), )

, 

QUANTO, quanto
CUSTA, custa
-, -
US$, us$
150, 150
(, (
adulto, adulto
), )
e, e
US$, us$
110, 110
(, (
criança, criança
), )
,, ,
na, na
Orange, orang
Blossom, blossom
Balloons, balloon
,, ,
tel., tel.
(, (
407, 407
), )
239-7677, 239-7677
,, ,
em, em
Orlando, orlando
., .

, 

