Mal, ﻿mal
terminaram, terminaram
os, os
feriados, feriado
de, de
fim, fim
de, de
ano, ano
e, e
os, os
paulistanos, paulistano
devem, devem
enfrentar, enfrentar
nova, nova
cruzada, cruzada
de, de
férias, féria
com, com
a, a
folga, folga
proporcionada, proporcionada
pelo, pelo
aniversário, aniversário
da, da
cidade, cidad
,, ,
dia, dia
25, 25
., .
Enforcando, enforcando
o, o
dia, dia
anterior, anterior
,, ,
segunda-feira, segunda-feira
,, ,
são, são
quatro, quatro
dias, dia
de, de
lazer, lazer
genuíno, genuíno
–, –
sem, sem
a, a
preocupação, preocupação
obsessiva, obsessiva
com, com
ceias, ceia
e, e
compras, compra
., .

, 

Vários, vário
hotéis, hotéi
e, e
agências, agência
de, de
viagens, viagen
programaram, programaram
pacotes, pacot
especiais, especiai
., .
Os, os
destinos, destino
vão, vão
do, do
litoral, litor
ao, ao
interior, interior
do, do
Estado, estado
,, ,
sem, sem
esquecer, esquec
os, os
programas, programa
ecológicos, ecológico
(, (
veja, veja
quadro, quadro
ao, ao
lado, lado
), )
., .

, 

Mas, ma
se, se
a, a
opção, opção
é, é
descansar, descansar
mesmo, mesmo
,, ,
esqueça, esqueça
tudo, tudo
e, e
se, se
refugie, refugi
no, no
hotel, hotel
Transamérica, transamérica
São, são
Paulo, paulo
(, (
011-523-4511, 011-523-4511
), )
,, ,
que, que
tem, tem
pacote, pacot
de, de
22, 22
a, a
25/1, 25/1
por, por
US$, us$
332, 332
(, (
CR$, cr$
116,2, 116,2
mil, mil
), )
o, o
apartamento, apartamento
duplo, duplo
,, ,
com, com
café, café
da, da
manhã, manhã
,, ,
três, trê
refeições, refeiçõ
e, e
outras, outra
comodidades, comodidad
., .
E, e
só, só
saia, saia
da, da
toca, toca
quando, quando
aparecer, aparec
o, o
dia, dia
útil, útil
., .
(, (
Carlos, carlo
Kauffmann, kauffmann
), )

, 

