Desde, ﻿desd
o, o
século, século
16, 16
,, ,
há, há
quem, quem
conte, cont
nos, no
mapas, mapa
da, da
região, região
de, de
Angra, angra
dos, do
Reis, rei
_, _
também, também
chamada, chamada
baía, baía
de, de
Reis, rei
_, _
exatas, exata
365, 365
ilhas, ilha
,, ,
uma, uma
para, para
cada, cada
dia, dia
do, do
ano, ano
., .

, 

Passados, passado
quatro, quatro
séculos, século
da, da
descoberta, descoberta
dessas, dessa
costas, costa
por, por
André, andré
Gonçalves, gonçalv
,, ,
que, que
aqui, aqui
veio, veio
na, na
expedição, expedição
de, de
Américo, américo
Vespúcio, vespúcio
,, ,
em, em
1502, 1502
,, ,
essa, essa
porção, porção
idílica, idílica
do, do
litoral, litor
brasileiro, brasileiro
ainda, ainda
conserva, conserva
muito, muito
de, de
suas, sua
características, característica
originais, originai
., .

, 

Mesmo, mesmo
transformada, transformada
no, no
local, local
que, que
sedia, sedia
as, as
usinas, usina
nucleares, nuclear
brasileiras, brasileira
desde, desd
os, os
70, 70
,, ,
Angra, angra
dos, do
Reis, rei
ainda, ainda
hoje, hoje
se, se
distingue, distingu
pela, pela
beleza, beleza
de, de
suas, sua
ilhas, ilha
,, ,
pelas, pela
construções, construçõ
coloniais, coloniai
e, e
pelo, pelo
encanto, encanto
rudimentar, rudimentar
de, de
suas, sua
embarcações, embarcaçõ
., .

, 

No, no
calendário, calendário
real, real
,, ,
que, que
se, se
conta, conta
em, em
dias, dia
e, e
não, não
em, em
ilhas, ilha
,, ,
o, o
tempo, tempo
passa, passa
docemente, docement
e, e
é, é
marcado, marcado
por, por
festas, festa
singelas, singela
,, ,
como, como
a, a
procissão, procissão
marítima, marítima
de, de
1º, 1º
de, de
janeiro, janeiro
,, ,
o, o
aniversário, aniversário
da, da
cidade, cidad
no, no
Dia, dia
dos, do
Reis, rei
Magos, mago
(, (
6, 6
de, de
janeiro, janeiro
), )
e, e
uma, uma
outra, outra
romaria, romaria
de, de
barcos, barco
que, que
homenageia, homenageia
o, o
Senhor, senhor
do, do
Bonfim, bonfim
no, no
segundo, segundo
domingo, domingo
de, de
maio, maio
., .

, 

(, (
Silvio, silvio
Cioffi, cioffi
), )

, 

