Você, ﻿você
ficaria, ficaria
até, até
duas, dua
horas, hora
perdido, perdido
numa, numa
fila, fila
,, ,
sob, sob
sol, sol
escaldante, escaldant
,, ,
à, à
espera, espera
de, de
poucos, pouco
minutos, minuto
de, de
emoção, emoção
?, ?

, 

É, é
o, o
que, que
milhares, milhar
de, de
pessoas, pessoa
fazem, fazem
diariamente, diariament
para, para
ver, ver
a, a
nova, nova
atração, atração
da, da
Disneylândia, disneylândia
:, :
`, `
`, `
As, as
Aventuras, aventura
de, de
Indiana, indiana
Jones, jone
'', ''
., .

, 

Vale, vale
a, a
pena, pena
., .
É, é
de, de
mexer, mexer
com, com
a, a
adrenalina, adrenalina
., .
A, a
fila, fila
termina, termina
com, com
o, o
embarque, embarqu
em, em
um, um
jipe, jipe
que, que
conduz, conduz
o, o
visitante, visitant
a, a
uma, uma
viagem, viagem
pelo, pelo
Templo, templo
do, do
Olho, olho
Proibido, proibido
., .

, 

A, a
cada, cada
curva, curva
,, ,
uma, uma
surpresa, surpresa
., .
Às, às
vezes, veze
,, ,
é, é
necessária, necessária
a, a
orientação, orientação
de, de
Indiana, indiana
Jones, jone
(, (
um, um
boneco, boneco
perfeito, perfeito
do, do
ator, ator
Harrison, harrison
Ford, ford
), )
para, para
livrar, livrar
os, os
passageiros, passageiro
do, do
perigo, perigo
iminente, iminent
., .

, 

No, no
fim, fim
do, do
percurso, percurso
,, ,
a, a
maior, maior
surpresa, surpresa
., .
Uma, uma
enorme, enorm
pedra, pedra
rolando, rolando
ameaça, ameaça
massacrar, massacrar
toda, toda
a, a
tripulação, tripulação
do, do
jipe, jipe
., .
Mais, mai
uma, uma
vez, vez
,, ,
o, o
herói, herói
Jones, jone
intervém, intervém
., .

, 

O, o
sonho, sonho
de, de
Walt, walt
Disney, disney
de, de
proporcionar, proporcionar
divertimento, divertimento
para, para
pais, pai
e, e
filhos, filho
juntos, junto
continua, continua
sendo, sendo
realizado, realizado
40, 40
anos, ano
depois, depoi
na, na
Disneylândia, disneylândia
da, da
Califórnia, califórnia
., .

, 

Ao, ao
entrar, entrar
pelo, pelo
portão, portão
principal, princip
do, do
parque, parqu
,, ,
o, o
mundo, mundo
real, real
é, é
esquecido, esquecido
do, do
lado, lado
de, de
fora, fora
., .
Diversão, diversão
e, e
encanto, encanto
tomam, tomam
conta, conta
das, da
pessoas, pessoa
,, ,
independentemente, independentement
da, da
idade, idad
., .

, 

Aberto, aberto
em, em
julho, julho
de, de
1955, 1955
e, e
localizado, localizado
na, na
cidade, cidad
de, de
Anaheim, anaheim
,, ,
a, a
20, 20
minutos, minuto
de, de
Los, lo
Angeles, angel
,, ,
o, o
parque, parqu
está, está
se, se
inovando, inovando
., .
Aventura, aventura
,, ,
Velho, velho
Oeste, oest
e, e
cidades, cidad
do, do
início, início
do, do
século, século
fazem, fazem
parte, part
do, do
cenário, cenário
., .

, 

É, é
preciso, preciso
tempo, tempo
para, para
desfrutar, desfrutar
cada, cada
uma, uma
das, da
centenas, centena
de, de
atrações, atraçõ
que, que
a, a
Disney, disney
oferece, oferec
., .
Além, além
da, da
tradicional, tradicion
parada, parada
pelas, pela
ruas, rua
do, do
parque, parqu
_, _
um, um
verdadeiro, verdadeiro
show, show
que, que
acontece, acontec
todos, todo
os, os
dias, dia
no, no
período, período
da, da
tarde, tard
_, _
,, ,
o, o
visitante, visitant
pode, pode
se, se
encontrar, encontrar
a, a
qualquer, qualquer
momento, momento
com, com
Mickey, mickey
,, ,
Minnie, minni
,, ,
Pluto, pluto
,, ,
Cinderela, cinderela
e, e
outras, outra
dezenas, dezena
de, de
personagens, personagen
criados, criado
por, por
Walt, walt
Disney, disney
., .

, 

Os, os
brinquedos, brinquedo
são, são
atração, atração
à, à
parte, part
., .
Todos, todo
com, com
longa, longa
fila, fila
de, de
espera, espera
,, ,
levam, levam
a, a
uma, uma
corrida, corrida
de, de
trem, trem
pelo, pelo
Velho, velho
Oeste, oest
,, ,
a, a
uma, uma
batalha, batalha
nas, na
estrelas, estrela
,, ,
a, a
uma, uma
viagem, viagem
no, no
escuro, escuro
por, por
uma, uma
montanha-russa, montanha-russa
ou, ou
a, a
uma, uma
emocionante, emocionant
queda, queda
nas, na
águas, água
da, da
`, `
`, `
Splash, splash
Mountain, mountain
'', ''
., .

, 

No, no
roteiro, roteiro
nessa, nessa
terra, terra
da, da
fantasia, fantasia
,, ,
não, não
pode, pode
faltar, faltar
uma, uma
viagem, viagem
pela, pela
casa, casa
dos, do
Piratas, pirata
do, do
Caribe, carib
e, e
a, a
companhia, companhia
dos, do
fantasmas, fantasma
da, da
Mansão, mansão
Assombrada, assombrada
., .

, 

A, a
entrada, entrada
na, na
Disneylândia, disneylândia
custa, custa
US$, us$
33, 33
e, e
a, a
participação, participação
é, é
livre, livr
em, em
todos, todo
as, as
atrações, atraçõ
do, do
parque, parqu
., .

, 

(, (
MZ, mz
), )

, 

