Clima, ﻿clima
seco, seco
de, de
deserto, deserto
_, _
306, 306
dias, dia
de, de
sol, sol
por, por
ano, ano
,, ,
temperatura, temperatura
média, média
de, de
23, 23
graus, grau
., .
Relevo, relevo
instigante, instigant
_, _
montanhas, montanha
,, ,
`, `
`, `
canyons, canyon
'', ''
,, ,
precipícios, precipício
,, ,
vales, vale
,, ,
rios, rio
,, ,
lagos, lago
., .
Vegetação, vegetação
inóspita, inóspita
_, _
arbustos, arbusto
rasteiros, rasteiro
,, ,
yuccas, yucca
,, ,
cactos, cacto
., .
Sim, sim
,, ,
você, você
acaba, acaba
de, de
desembarcar, desembarcar
no, no
Arizona, arizona
., .

, 

Para, para
suportar, suportar
o, o
calor, calor
,, ,
pegue, pegu
leve, leve
no, no
começo, começo
., .
Faça, faça
um, um
`, `
`, `
tour, tour
'', ''
de, de
reconhecimento, reconhecimento
., .
Phoenix, phoenix
,, ,
a, a
capital, capit
,, ,
não, não
foge, foge
à, à
regra, regra
norte-americana, norte-americana
:, :
imponentes, imponent
arranha-céus, arranha-céu
_, _
mas, ma
não, não
muitos, muito
_, _
,, ,
shoppings, shop
,, ,
butiques, butiqu
,, ,
galerias, galeria
de, de
artes, art
_, _
muitíssimas, muitíssima
_, _
e, e
restaurantes, restaurant
., .

, 

Depois, depoi
,, ,
vá, vá
direto, direto
a, a
The, the
Old, old
West, west
Scottsdale, scottsdal
,, ,
cidadezinha, cidadezinha
ao, ao
lado, lado
., .
Parece, parec
cenário, cenário
de, de
filme, film
de, de
bangue-bangue, bangue-bangu
., .
Entre, entr
na, na
Old, old
West, west
Outfitters, outfitt
e, e
transforme-se, transforme-s
num, num
autêntico, autêntico
caubói, caubói
_, _
chapéu, chapéu
,, ,
bota, bota
e, e
tudo, tudo
mais, mai
., .
Invada, invada
um, um
`, `
`, `
saloon, saloon
'', ''
(, (
taverna, taverna
), )
,, ,
abasteça, abasteça
com, com
cervejas, cerveja
., .

, 

É, é
hora, hora
de, de
radicalizar, radicalizar
., .
Nada, nada
de, de
conhecer, conhec
a, a
região, região
da, da
janela, janela
de, de
um, um
ônibus, ônibu
., .
Escolha, escolha
uma, uma
das, da
dez, dez
aventuras, aventura
do, do
cardápio, cardápio
:, :
alpinismo, alpinismo
,, ,
balão, balão
,, ,
bicicleta, bicicleta
,, ,
bote, bote
inflável, inflável
,, ,
caminhada, caminhada
,, ,
cavalo, cavalo
,, ,
diligência, diligência
,, ,
helicóptero, helicóptero
,, ,
jipe, jipe
ou, ou
avião, avião
monomotor, monomotor
., .

, 

Os, os
preços, preço
variam, variam
de, de
US$, us$
9, 9
/, /
R$, r$
8, 8
a, a
US$, us$
150, 150
/, /
R$, r$
135, 135
por, por
pessoa, pessoa
_, _
a, a
reserva, reserva
é, é
feita, feita
nos, no
hotéis, hotéi
., .

, 

Os, os
melhores, melhor
cenários, cenário
para, para
essas, essa
aventuras, aventura
são, são
em, em
Sedona, sedona
(, (
duas, dua
horas, hora
de, de
carro, carro
), )
,, ,
Painted, paint
Desert, desert
/, /
Petrified, petrifi
Forest, forest
(, (
três, trê
horas, hora
e, e
meia, meia
), )
,, ,
Grande, grand
Canyon, canyon
(, (
quatro, quatro
horas, hora
), )
e, e
Lake, lake
Lake, lake
Powell, powel
(, (
cinco, cinco
horas, hora
de, de
carro, carro
), )
_, _
veja, veja
mapa, mapa
acima, acima
., .

, 

Para, para
quem, quem
gosta, gosta
de, de
história, história
_, _
especialmente, especialment
de, de
arqueologia, arqueologia
_, _
,, ,
vale, vale
conferir, conferir
pelo, pelo
menos, meno
três, trê
paradas, parada
no, no
caminho, caminho
_, _
Montezuma, montezuma
Castle, castl
,, ,
Tuzigoot, tuzigoot
National, nation
Park, park
e, e
Pueblo, pueblo
/, /
Casa, casa
Grande, grand
., .

, 

(, (
Patrícia, patrícia
Trudes, trude
da, da
Veiga, veiga
), )

, 

