Menos, ﻿meno
povoada, povoada
e, e
desenvolvida, desenvolvida
das, da
três, trê
ilhas, ilha
do, do
ABC, abc
caribenho, caribenho
,, ,
Bonaire, bonair
é, é
o, o
paraíso, paraíso
dos, do
mergulhadores, mergulhador
., .
Ela, ela
é, é
considerada, considerada
um, um
dos, do
melhores, melhor
pontos, ponto
para, para
a, a
prática, prática
do, do
esporte, esport
no, no
mundo, mundo
., .

, 

A, a
ilha, ilha
é, é
um, um
recife, recif
de, de
coral, coral
,, ,
rodeada, rodeada
por, por
águas, água
cristalinas, cristalina
que, que
permitem, permitem
uma, uma
visibilidade, visibilidad
de, de
mais, mai
de, de
40, 40
metros, metro
de, de
distância, distância
., .

, 

A, a
rica, rica
fauna, fauna
marinha, marinha
da, da
ilha, ilha
está, está
protegida, protegida
por, por
uma, uma
lei, lei
de, de
1971, 1971
que, que
bane, bane
a, a
pesca, pesca
submarina, submarina
e, e
agressões, agressõ
aos, ao
corais, corai
., .

, 

A, a
capital, capit
,, ,
Kralendjik, kralendjik
,, ,
tem, tem
pouco, pouco
mais, mai
de, de
2.000, 2.000
habitantes, habitant
., .
Uma, uma
das, da
principais, principai
atrações, atraçõ
da, da
cidade, cidad
é, é
o, o
mercado, mercado
de, de
peixes, peix
,, ,
construído, construído
no, no
estilo, estilo
dos, do
templos, templo
gregos, grego
., .

, 

A, a
apenas, apena
um, um
quilômetro, quilômetro
está, está
situada, situada
a, a
inabitada, inabitada
ilha, ilha
de, de
Klein, klein
Bonaire, bonair
(, (
pequena, pequena
Bonaire, bonair
), )
., .
Ela, ela
também, também
é, é
muito, muito
procurada, procurada
por, por
mergulhadores, mergulhador
e, e
iatistas, iatista
., .
Nas, na
praias, praia
mais, mai
frequentadas, frequentada
,, ,
Lac, lac
Bay, bay
ao, ao
sul, sul
e, e
Playa, playa
Funchi, funchi
ao, ao
norte, nort
da, da
ilha, ilha
,, ,
é, é
possível, possível
alugar, alugar
pranchas, prancha
de, de
surf, surf
,, ,
windsurf, windsurf
e, e
catamarãs, catamarã
., .

, 

Na, na
primeira, primeira
quinzena, quinzena
de, de
outubro, outubro
acontece, acontec
o, o
Bonaire, bonair
Sailing, sail
Regatta, regatta
,, ,
um, um
evento, evento
náutico, náutico
internacional, internacion
que, que
dura, dura
cinco, cinco
dias, dia
e, e
reúne, reún
desde, desd
iates, iat
até, até
barcos, barco
de, de
pesca, pesca
., .

, 

(, (
Isabelle, isabel
Somma, somma
), )

, 

