Fundada, ﻿fundada
há, há
359, 359
anos, ano
,, ,
em, em
1636, 1636
,, ,
às, às
margens, margen
do, do
rio, rio
Charles, charl
,, ,
que, que
separa, separa
a, a
aconchegante, aconchegant
Cambridge, cambridg
,, ,
sua, sua
sede, sede
,, ,
de, de
Boston, boston
,, ,
a, a
Harvard, harvard
Business, busi
School, school
é, é
o, o
alvo, alvo
de, de
cada, cada
estudante, estudant
de, de
negócios, negócio
de, de
todo, todo
o, o
mundo, mundo
que, que
almeja, almeja
ser, ser
um, um
dia, dia
um, um
bem-sucedido, bem-sucedido
CEO, ceo
(, (
Chief, chief
Executive, execut
Officer, offic
,, ,
o, o
principal, princip
executivo, executivo
de, de
uma, uma
grande, grand
empresa, empresa
global, global
), )
., .

, 

Entre, entr
os, os
mais, mai
conhecidos, conhecido
ex-alunos, ex-aluno
de, de
Harvard, harvard
está, está
o, o
filho, filho
mais, mai
famoso, famoso
de, de
Boston, boston
,, ,
John, john
Fitzgerald, fitzgerald
Kennedy, kennedi
,, ,
presidente, president
norte-americano, norte-americano
de, de
1961, 1961
até, até
seu, seu
trágico, trágico
assassinato, assassinato
em, em
novembro, novembro
de, de
1963, 1963
,, ,
em, em
Dallas, dalla
(, (
Texas, texa
,, ,
centro, centro
dos, do
EUA, eua
), )
., .

, 

O, o
mestrado, mestrado
na, na
Harvard, harvard
Business, busi
School, school
é, é
o, o
diploma, diploma
do, do
desejo, desejo
de, de
cerca, cerca
de, de
800, 800
jovens, joven
de, de
todo, todo
o, o
mundo, mundo
a, a
cada, cada
ano, ano
., .
No, no
Brasil, brasil
de, de
hoje, hoje
,, ,
um, um
exemplo, exemplo
disso, disso
é, é
Mark, mark
Hogan, hogan
,, ,
43, 43
,, ,
comandante, comandant
da, da
General, gener
Motors, motor
do, do
Brasil, brasil
,, ,
formado, formado
na, na
Harvard, harvard
Business, busi
School, school
,, ,
em, em
77, 77
., .

, 

Ele, ele
está, está
entre, entr
os, os
poucos, pouco
privilegiados, privilegiado
,, ,
escolhidos, escolhido
entre, entr
7.000, 7.000
esperançosos, esperançoso
candidatos, candidato
de, de
todo, todo
o, o
mundo, mundo
,, ,
que, que
chegam, chegam
anualmente, anualment
à, à
`, `
`, `
Atenas, atena
da, da
América, américa
do, do
Norte, nort
'', ''
,, ,
uma, uma
deferência, deferência
ao, ao
alto, alto
nível, nível
da, da
vida, vida
cultural, cultur
de, de
Boston, boston
,, ,
`, `
`, `
a, a
mais, mai
européia, européia
das, da
cidades, cidad
dos, do
EUA, eua
'', ''
., .

, 

Uma, uma
vez, vez
aluno, aluno
da, da
Harvard, harvard
Business, busi
School, school
,, ,
a, a
experiência, experiência
nunca, nunca
é, é
esquecida, esquecida
., .
Os, os
ex-alunos, ex-aluno
,, ,
dos, do
quais, quai
mais, mai
de, de
300, 300
são, são
brasileiros, brasileiro
,, ,
se, se
reúnem, reúnem
anualmente, anualment
,, ,
uma, uma
vez, vez
nos, no
EUA, eua
,, ,
outra, outra
num, num
outro, outro
país, paí
,, ,
para, para
uma, uma
conferência, conferência
global, global
., .

, 

Neste, nest
ano, ano
,, ,
há, há
dois, doi
meses, mese
,, ,
a, a
reunião, reunião
foi, foi
realizada, realizada
em, em
São, são
Paulo, paulo
,, ,
a, a
primeira, primeira
vez, vez
na, na
América, américa
Latina, latina
., .

, 

Em, em
dezembro, dezembro
de, de
94, 94
,, ,
a, a
Harvard, harvard
,, ,
cuja, cuja
biblioteca, biblioteca
tem, tem
525, 525
mil, mil
livros, livro
sobre, sobr
a, a
América, américa
Latina, latina
,, ,
criou, criou
o, o
David, david
Rockfeller, rockfel
Center, center
for, for
Latin, latin
America, america
Studies, studi
,, ,
com, com
o, o
objetivo, objetivo
de, de
fortalecer, fortalec
os, os
laços, laço
entre, entr
Harvard, harvard
e, e
os, os
países, país
latino-americanos, latino-americano
., .

, 

