Por, ﻿por
US$, us$
541, 541
milhões, milhõ
_, _
o, o
equivalente, equivalent
a, a
30, 30
prêmios, prêmio
da, da
Supersena, supersena
acumulada, acumulada
nesta, nesta
semana, semana
_, _
o, o
grupo, grupo
japonês, japonê
Aoki, aoki
,, ,
proprietário, proprietário
no, no
Brasil, brasil
da, da
rede, rede
de, de
hotéis, hotéi
Caesar, caesar
Park, park
,, ,
acaba, acaba
de, de
vender, vender
a, a
Westin, westin
Hotel, hotel
Group, group
na, na
América, américa
do, do
Norte, nort
., .

, 

Do, do
outro, outro
lado, lado
da, da
mesa, mesa
estavam, estavam
os, os
investidores, investidor
norte-americanos, norte-americano
Starwood, starwood
Capital, capit
Group, group
,, ,
do, do
setor, setor
imobiliário, imobiliário
,, ,
Edward, edward
Thomas, thoma
Companies, compani
,, ,
que, que
atua, atua
na, na
hotelaria, hotelaria
,, ,
e, e
o, o
banco, banco
de, de
investimento, investimento
Goldman, goldman
,, ,
Sachs, sach
&, &
Co, co
., .

, 

`, `
`, `
Vendemos, vendemo
a, a
empresa, empresa
gerenciadora, gerenciadora
desses, dess
hotéis, hotéi
na, na
América, américa
do, do
Norte, nort
., .
Eles, ele
agora, agora
têm, têm
também, também
o, o
direito, direito
de, de
usar, usar
a, a
marca, marca
Westin, westin
na, na
América, américa
Latina, latina
e, e
Europa, europa
,, ,
mas, ma
não, não
na, na
Ásia, ásia
,, ,
onde, ond
a, a
Aoki, aoki
continua, continua
detendo, detendo
a, a
marca, marca
Westin, westin
'', ''
,, ,
esclarece, esclarec
Jorge, jorg
Nishimura, nishimura
,, ,
37, 37
,, ,
vice-presidente, vice-president
da, da
rede, rede
Caesar, caesar
Park, park
., .

, 

A, a
transação, transação
é, é
tão, tão
complexa, complexa
quanto, quanto
milionária, milionária
e, e
a, a
Aoki, aoki
_, _
que, que
tem, tem
sua, sua
principal, princip
atividade, atividad
na, na
construção, construção
civil, civil
_, _
vendeu, vendeu
na, na
verdade, verdad
38, 38
dos, do
81, 81
hotéis, hotéi
que, que
administrava, administrava
com, com
a, a
marca, marca
Westin, westin
., .

, 

`, `
`, `
Ficamos, ficamo
com, com
os, os
hotéis, hotéi
Caesar, caesar
Park, park
e, e
ainda, ainda
com, com
diversos, diverso
hotéis, hotéi
de, de
prestígio, prestígio
como, como
o, o
Vierjahreszeiten, vierjahreszeiten
de, de
Hamburgo, hamburgo
(, (
Alemanha, alemanha
), )
,, ,
o, o
Algonquin, algonquin
de, de
Nova, nova
York, york
(, (
EUA, eua
), )
,, ,
o, o
Ritz, ritz
de, de
Barcelona, barcelona
(, (
Espanha, espanha
), )
,, ,
o, o
Penha, penha
Longa, longa
de, de
Sintra, sintra
(, (
Portugal, portug
), )
'', ''
,, ,
diz, diz
Nishimura, nishimura
., .

, 

Primeiro, primeiro
braço, braço
hoteleiro, hoteleiro
da, da
Aoki, aoki
,, ,
a, a
rede, rede
Caesar, caesar
Park, park
nasceu, nasceu
em, em
São, são
Paulo, paulo
e, e
tem, tem
empreendimentos, empreendimento
no, no
Rio, rio
,, ,
Argentina, argentina
,, ,
Panamá, panamá
,, ,
México, méxico
,, ,
Portugal, portug
e, e
em, em
Taiwan, taiwan
., .

, 

Detém, detém
ainda, ainda
_, _
concluída, concluída
a, a
transação, transação
_, _
a, a
propriedade, propriedad
ou, ou
o, o
gerenciamento, gerenciamento
de, de
43, 43
hotéis, hotéi
(, (
com, com
20, 20
mil, mil
apartamentos, apartamento
), )
e, e
espera, espera
faturar, faturar
US$, us$
1, 1
bilhão, bilhão
por, por
ano, ano
,, ,
dez, dez
vezes, veze
mais, mai
que, que
em, em
1988, 1988
,, ,
quando, quando
adquiriu, adquiriu
a, a
Westin, westin
., .

, 

(, (
Silvio, silvio
Cioffi, cioffi
), )

, 

