Encravada, ﻿encravada
entre, entr
duas, dua
cordilheiras, cordilheira
,, ,
a, a
dos, do
Andes, and
e, e
a, a
da, da
Costa, costa
,, ,
Santiago, santiago
do, do
Chile, chile
une, une
traços, traço
naturais, naturai
inusitados, inusitado
a, a
uma, uma
história, história
urbana, urbana
que, que
começou, começ
em, em
1541, 1541
., .

, 

Cerca, cerca
de, de
duas, dua
horas, hora
de, de
carro, carro
a, a
separam, separam
de, de
estações, estaçõ
de, de
esqui, esqui
e, e
do, do
oceano, oceano
Pacífico, pacífico
., .

, 

Com, com
a, a
chegada, chegada
do, do
inverno, inverno
,, ,
a, a
cordilheira, cordilheira
dos, do
Andes, and
tem, tem
mais, mai
atrativos, atrativo
., .
O, o
turista, turista
pode, pode
ficar, ficar
na, na
capital, capit
e, e
fazer, fazer
viagens, viagen
diárias, diária
às, às
estações, estaçõ
de, de
esqui, esqui
mais, mai
próximas, próxima
., .

, 

Um, um
dos, do
principais, principai
atrativos, atrativo
de, de
Santiago, santiago
são, são
os, os
monumentos, monumento
históricos, histórico
., .
O, o
morro, morro
Santa, santa
Luzia, luzia
(, (
centro, centro
), )
é, é
um, um
bom, bom
ponto, ponto
de, de
partida, partida
., .

, 

Saindo, saindo
de, de
Santa, santa
Luzia, luzia
,, ,
o, o
visitante, visitant
pode, pode
ir, ir
à, à
praça, praça
de, de
Armas, arma
., .
Ali, ali
está, está
a, a
catedral, catedr
de, de
Santiago, santiago
(, (
1551, 1551
), )
., .

, 

No, no
praça, praça
,, ,
veja, veja
as, as
sedes, sede
do, do
correio, correio
,, ,
da, da
municipalidade, municipalidad
de, de
Santiago, santiago
e, e
do, do
Museu, museu
Histórico, histórico
Nacional, nacion
., .

, 

Ainda, ainda
no, no
centro, centro
estão, estão
o, o
Palácio, palácio
de, de
La, la
Moneda, moneda
,, ,
sede, sede
do, do
governo, governo
,, ,
e, e
a, a
Igreja, igreja
de, de
São, são
Francisco, francisco
(, (
1572, 1572
), )
., .
Do, do
outro, outro
lado, lado
do, do
rio, rio
Mapocho, mapocho
,, ,
que, que
corta, corta
Santiago, santiago
,, ,
fica, fica
o, o
bairro, bairro
boêmio, boêmio
Bela, bela
Vista, vista
,, ,
onde, ond
morou, morou
o, o
poeta, poeta
Pablo, pablo
Neruda, neruda
., .

, 

A, a
casa, casa
de, de
Neruda, neruda
,, ,
a, a
`, `
`, `
Chascona, chascona
'', ''
,, ,
hoje, hoje
é, é
um, um
museu, museu
., .
O, o
ingresso, ingresso
custa, custa
US$, us$
2,30, 2,30
., .

, 

Mais, mai
distante, distant
do, do
centro, centro
está, está
o, o
palácio, palácio
Cousiño, cousiño
(, (
1870-1878, 1870-1878
), )
,, ,
construído, construído
pela, pela
família, família
Cousiño, cousiño
,, ,
fabricante, fabricant
do, do
vinho, vinho
Cousiño-Macul, cousiño-macul
(, (
ingresso, ingresso
a, a
US$, us$
1,30, 1,30
), )
., .

, 

A, a
vida, vida
noturna, noturna
se, se
concentra, concentra
nos, no
bairros, bairro
de, de
Bela, bela
Vista, vista
e, e
Providencia, providencia
., .
Bela, bela
Vista, vista
tem, tem
bares, bare
com, com
cantores, cantor
locais, locai
e, e
restaurantes, restaurant
,, ,
a, a
maioria, maioria
na, na
rua, rua
Pio, pio
Nono, nono
., .
Em, em
Providencia, providencia
,, ,
os, os
melhores, melhor
endereços, endereço
ficam, ficam
na, na
rua, rua
Suécia, suécia
., .

, 

LEIA, leia
MAIS, mai

, 

Sobre, sobr
o, o
Chile, chile
nas, na
págs, pág
., .
6-9, 6-9
e, e
6-10, 6-10
., .

, 

CLÁUDIA, cláudia
TREVISAN, trevisan
viajou, viajou
a, a
convite, convit
da, da
Sulamerica, sulamerica
Viagens, viagen
e, e
Turismo, turismo
e, e
da, da
Ladeco, ladeco
., .

, 

