Se, ﻿se
no, no
final, final
da, da
viagem, viagem
a, a
mala, mala
estiver, estiv
muito, muito
pesada, pesada
por, por
causa, causa
das, da
compras, compra
,, ,
o, o
correio, correio
,, ,
os, os
agentes, agent
de, de
carga, carga
ou, ou
os, os
serviços, serviço
de, de
remessas, remessa
expressas, expressa
podem, podem
ser, ser
soluções, soluçõ
mais, mai
baratas, barata
ou, ou
mais, mai
cômodas, cômoda
do, do
que, que
embarcar, embarcar
com, com
toda, toda
a, a
bagagem, bagagem
., .

, 

O, o
correio, correio
oferece, oferec
três, trê
tipos, tipo
de, de
serviços, serviço
úteis, útei
aos, ao
turistas, turista
de, de
shopping, shop
center, center
., .

, 

O, o
Sedex, sedex
Internacional, internacion
(, (
ou, ou
EMS, em
,, ,
como, como
é, é
chamado, chamado
no, no
exterior, exterior
), )
pode, pode
transportar, transportar
até, até
30, 30
kg, kg
de, de
mercadorias, mercadoria
e, e
cinco, cinco
quilos, quilo
de, de
documentos, documento
., .

, 

O, o
prazo, prazo
de, de
entrega, entrega
varia, varia
entre, entr
três, trê
e, e
quatro, quatro
dias, dia
úteis, útei
,, ,
se, se
o, o
pacote, pacot
for, for
enviado, enviado
dos, do
Estados, estado
Unidos, unido
., .

, 

O, o
Colis, coli
Posteaux, posteaux
pode, pode
transportar, transportar
até, até
20, 20
kg, kg
e, e
leva, leva
sete, sete
dias, dia
úteis, útei
dos, do
Estados, estado
Unidos, unido
para, para
o, o
Brasil, brasil
., .
É, é
embarcado, embarcado
no, no
avião, avião
um, um
dia, dia
depois, depoi
de, de
ser, ser
postado, postado
., .

, 

O, o
Colis, coli
Posteaux, posteaux
via, via
Sal, sal
é, é
mais, mai
econômico, econômico
., .
Mas, ma
a, a
remessa, remessa
pode, pode
levar, levar
até, até
dez, dez
dias, dia
(, (
na, na
América, américa
do, do
Sul, sul
), )
ou, ou
15, 15
dias, dia
(, (
em, em
outros, outro
países, país
), )
apenas, apena
para, para
ser, ser
embarcado, embarcado
., .

, 

Os, os
preços, preço
variam, variam
dependendo, dependendo
do, do
país, paí
de, de
onde, ond
o, o
pacote, pacot
é, é
remetido, remetido
,, ,
do, do
peso, peso
e, e
do, do
destino, destino
da, da
carga, carga
., .

, 

Outra, outra
opção, opção
é, é
mandar, mandar
roupas, roupa
ou, ou
compras, compra
por, por
agentes, agent
de, de
carga, carga
como, como
bagagem, bagagem
desacompanhada, desacompanhada
., .

, 

Segundo, segundo
o, o
assistente, assistent
de, de
exportação, exportação
da, da
Greenwich, greenwich
,, ,
Geraldo, geraldo
Vieira, vieira
,, ,
o, o
interessado, interessado
deve, deve
apresentar, apresentar
passaporte, passaport
,, ,
cópia, cópia
da, da
passagem, passagem
e, e
declaração, declaração
do, do
conteúdo, conteúdo
do, do
pacote, pacot
., .

, 

Os, os
preços, preço
podem, podem
ser, ser
cobrados, cobrado
por, por
peso, peso
ou, ou
metragem, metragem
cúbica, cúbica
., .
Mas, ma
para, para
os, os
pacotes, pacot
pequenos, pequeno
há, há
uma, uma
tabela, tabela
de, de
preços, preço
., .

, 

Despachar, despachar
um, um
pacote, pacot
de, de
cinco, cinco
quilos, quilo
de, de
Nova, nova
York, york
para, para
São, são
Paulo, paulo
custa, custa
US$, us$
7,70, 7,70
e, e
de, de
Londres, londr
US$, us$
10,50, 10,50
., .
O, o
prazo, prazo
de, de
entrega, entrega
é, é
de, de
um, um
dia, dia
e, e
o, o
único, único
inconveniente, inconvenient
é, é
ter, ter
que, que
buscar, buscar
a, a
encomenda, encomenda
no, no
aeroporto, aeroporto
., .

, 

As, as
remessas, remessa
expressas, expressa
são, são
muito, muito
procuradas, procurada
pelas, pela
pessoas, pessoa
que, que
preferem, preferem
receber, receb
o, o
pacote, pacot
em, em
casa, casa
., .
Por, por
isso, isso
,, ,
os, os
preços, preço
são, são
mais, mai
salgados, salgado
e, e
,, ,
às, às
vezes, veze
,, ,
não, não
compensam, compensam
., .

, 

Um, um
pacote, pacot
de, de
cinco, cinco
quilos, quilo
de, de
livros, livro
(, (
categoria, categoria
documento, documento
), )
despachado, despachado
de, de
Londres, londr
para, para
São, são
Paulo, paulo
pela, pela
DHL, dhl
custa, custa
US$, us$
80, 80
e, e
demora, demora
dois, doi
dias, dia
., .

, 

Uma, uma
mala, mala
com, com
cinco, cinco
quilos, quilo
de, de
roupas, roupa
remetida, remetida
de, de
Nova, nova
York, york
para, para
São, são
Paulo, paulo
custa, custa
US$, us$
130, 130
e, e
demora, demora
três, trê
dias, dia
para, para
chegar, chegar
ao, ao
destino, destino
final, final
., .

, 

(, (
IS, is
), )

, 

GREENWICH, greenwich
:, :
tel., tel.
(, (
011, 011
), )
543-7333, 543-7333
;, ;
DHL, dhl
:, :
tel., tel.
(, (
011, 011
), )
536-2500, 536-2500

, 

