Existem, ﻿existem
dois, doi
tipos, tipo
de, de
trens, tren
que, que
ligam, ligam
Cuzco, cuzco
a, a
Machu, machu
Picchu, picchu
,, ,
um, um
exclusivo, exclusivo
para, para
turistas, turista
., .
Dependendo, dependendo
do, do
roteiro, roteiro
,, ,
pode-se, pode-s
fazer, fazer
a, a
viagem, viagem
a, a
partir, partir
de, de
Ollantaytambo, ollantaytambo
,, ,
que, que
fica, fica
na, na
metade, metad
do, do
percurso, percurso
de, de
três, trê
horas, hora
entre, entr
Cuzco, cuzco
e, e
a, a
cidade, cidad
sagrada, sagrada
dos, do
incas, inca
., .

, 

Nas, na
poucas, pouca
paradas, parada
,, ,
o, o
comércio, comércio
local, local
se, se
desloca, desloca
para, para
a, a
estação, estação
., .

, 

Durante, durant
a, a
viagem, viagem
pelo, pelo
Vale, vale
Sagrado, sagrado
,, ,
uma, uma
belíssima, belíssima
paisagem, paisagem
,, ,
pode, pode
se, se
ter, ter
a, a
sorte, sort
de, de
se, se
ver, ver
um, um
ou, ou
outro, outro
condor, condor
sobrevoando, sobrevoando
os, os
cumes, cume
das, da
montanhas, montanha
nevadas, nevada
enquanto, enquanto
do, do
alto-falante, alto-falant
interno, interno
se, se
ouve, ouv
o, o
`, `
`, `
hino, hino
'', ''
El, el
Condor, condor
Pasa, pasa
., .

, 

Há, há
um, um
serviço, serviço
de, de
bordo, bordo
com, com
café, café
ou, ou
chá, chá
e, e
croissant, croissant
., .
No, no
trem, trem
também, também
são, são
vendidos, vendido
livros, livro
e, e
vídeos, vídeo
sobre, sobr
a, a
história, história
dos, do
incas, inca
., .

, 

Japoneses, japones
,, ,
europeus, europeu
e, e
americanos, americano
são, são
os, os
turistas, turista
em, em
maior, maior
número, número
., .
Eles, ele
passam, passam
a, a
maior, maior
parte, part
da, da
viagem, viagem
em, em
silêncio, silêncio
., .
Certamente, certament
,, ,
as, as
belas, bela
imagens, imagen
produzidas, produzida
pela, pela
geografia, geografia
e, e
a, a
expectativa, expectativa
de, de
se, se
conhecer, conhec
Machu, machu
Picchu, picchu
são, são
responsáveis, responsávei
por, por
isso, isso
., .

, 

(, (
JB, jb
), )

, 

SERVIÇO, serviço
:, :
Há, há
partidas, partida
diárias, diária
entre, entr
Cuzco, cuzco
e, e
Águas, água
Calientes, calient
., .
A, a
viagem, viagem
ida, ida
e, e
volta, volta
no, no
trem, trem
turístico, turístico
custa, custa
US$, us$
46, 46
., .
O, o
passeio, passeio
incluindo, incluindo
trem, trem
,, ,
ingresso, ingresso
das, da
ruínas, ruína
e, e
ônibus, ônibu
(, (
subida, subida
e, e
descida, descida
), )
sai, sai
por, por
US$, us$
70, 70
., .

, 

