Há, ﻿há
quatro, quatro
anos, ano
ele, ele
vinha, vinha
se, se
mantendo, mantendo
na, na
lista, lista
dos, do
15, 15
melhores, melhor
resorts, resort
(, (
hotéis, hotéi
de, de
lazer, lazer
), )
dos, do
Estados, estado
Unidos, unido
., .
Em, em
1994, 1994
,, ,
ele, ele
se, se
superou, super
_, _
foi, foi
classificado, classificado
em, em
9º., 9º.
Agora, agora
o, o
The, the
Phoenician, phoenician
quer, quer
o, o
pódio, pódio
., .

, 

Afinal, afin
,, ,
a, a
mesma, mesma
`, `
`, `
Conde, cond
Nast, nast
Traveler, travel
'', ''
(, (
revista, revista
norte-americana, norte-americana
que, que
traz, traz
anualmente, anualment
o, o
ranking, rank
do, do
turismo, turismo
), )
considerou, consider
o, o
The, the
Phoenician, phoenician
o, o
42º, 42º
melhor, melhor
produto, produto
turístico, turístico
do, do
mundo, mundo
., .
Nada, nada
mal, mal
para, para
um, um
resort, resort
que, que
ainda, ainda
vai, vai
fazer, fazer
oito, oito
anos, ano
., .

, 

Estrategicamente, estrategicament
instalado, instalado
na, na
base, base
da, da
Camelback, camelback
Mountain, mountain
,, ,
em, em
Scottsdale, scottsdal
,, ,
cidade, cidad
vizinha, vizinha
a, a
Phoenix, phoenix
,, ,
o, o
The, the
Phoenician, phoenician
é, é
um, um
oásis, oási
cercado, cercado
de, de
cactos, cacto
por, por
todos, todo
os, os
lados, lado
no, no
tórrido, tórrido
deserto, deserto
do, do
Arizona, arizona
., .

, 

Para, para
amenizar, amenizar
a, a
temperatura, temperatura
que, que
no, no
verão, verão
(, (
maio, maio
a, a
setembro, setembro
), )
oscila, oscila
entre, entr
24, 24
e, e
32, 32
graus, grau
(, (
média, média
), )
,, ,
mas, ma
que, que
pode, pode
bater, bater
fácil, fácil
os, os
40, 40
graus, grau
,, ,
o, o
resort, resort
contra-ataca, contra-ataca
com, com
sete, sete
piscinas, piscina
_, _
uma, uma
delas, dela
,, ,
pasmem, pasmem
,, ,
revestida, revestida
de, de
madrepérolas, madrepérola
., .

, 

Não, não
é, é
tudo, tudo
., .
Climatizadas, climatizada
,, ,
mantêm, mantêm
29, 29
graus, grau
,, ,
assim, assim
como, como
as, as
quatro, quatro
hidromassagens, hidromassagen
_, _
elas, ela
,, ,
e, e
seu, seu
badaladíssimo, badaladíssimo
Centro, centro
de, de
Bem-Estar, bem-estar
(, (
leia, leia
texto, texto
na, na
pág., pág.
6-16, 6-16
), )
,, ,
são, são
excelentes, excelent
terapias, terapia
para, para
quem, quem
optou, optou
por, por
conhecer, conhec
o, o
Arizona, arizona
a, a
cavalo, cavalo
,, ,
de, de
jipe, jipe
ou, ou
num, num
bote, bote
inflável, inflável
., .

, 

Para, para
quem, quem
está, está
pensando, pensando
em, em
viajar, viajar
para, para
os, os
EUA, eua
entre, entr
maio, maio
e, e
setembro, setembro
,, ,
o, o
Phoenician, phoenician
agora, agora
tem, tem
um, um
bom, bom
pretexto, pretexto
para, para
o, o
Arizona, arizona
ser, ser
incluído, incluído
nesse, ness
roteiro, roteiro
_, _
as, as
diárias, diária
despencam, despencam
de, de
salgados, salgado
US$, us$
349, 349
para, para
US$, us$
196, 196
(, (
R$, r$
176,4, 176,4
mil, mil
), )
., .

, 

LEIA, leia
MAIS, mai

, 

Sobre, sobr
o, o
The, the
Phoenician, phoenician
e, e
roteiros, roteiro
no, no
Arizona, arizona
nas, na
págs, pág
., .
6-14, 6-14
e, e
6-16, 6-16
., .

, 

A, a
jornalista, jornalista
PATRÍCIA, patrícia
TRUDES, trude
DA, da
VEIGA, veiga
,, ,
editora, editora
de, de
Empregos, emprego
,, ,
viajou, viajou
a, a
convite, convit
da, da
American, american
Airlines, airlin
,, ,
Designer, design
Operadora, operadora
de, de
Viagens, viagen
,, ,
The, the
Phoenician, phoenician
Resort, resort
,, ,
Phoenix, phoenix
&, &
Valley, valley
of, of
the, the
Sun, sun
Convention, convent
&, &
Visitors, visitor
Bureau, bureau
e, e
Scottsdale, scottsdal
Convention, convent
&, &
Visitors, visitor
Bureau, bureau
., .

, 

