Visão, ﻿visão
um, um
pouco, pouco
mais, mai
otimista, otimista
sobre, sobr
o, o
deserto, deserto
norte-americano, norte-americano
teve, teve
o, o
cineasta, cineasta
canadense, canadens
Percy, perci
Adlon, adlon
com, com
`, `
Bagdad, bagdad
Café, café
', '
., .

, 

Para, para
o, o
diretor, diretor
,, ,
aquela, aquela
parte, part
do, do
país, paí
pode, pode
ser, ser
simbolizada, simbolizada
por, por
um, um
café, café
onde, ond
todas, toda
as, as
pessoas, pessoa
de, de
qualquer, qualquer
parte, part
do, do
mundo, mundo
se, se
encontram, encontram
,, ,
tendo, tendo
como, como
resultado, resultado
final, final
a, a
felicidade, felicidad
., .

, 

Outra, outra
aparição, aparição
célebre, célebr
da, da
Califórnia, califórnia
no, no
cinema, cinema
,, ,
aconteceu, aconteceu
em, em
`, `
`, `
Manhattan, manhattan
'', ''
(, (
1979, 1979
), )
,, ,
do, do
diretor, diretor
Woody, woodi
Allen, allen
., .

, 

Uma, uma
declaração, declaração
de, de
amor, amor
à, à
cidade, cidad
de, de
Nova, nova
York, york
,, ,
onde, ond
Allen, allen
cria, cria
,, ,
para, para
um, um
nova-iorquino, nova-iorquino
,, ,
a, a
melhor, melhor
definição, definição
da, da
Califórnia, califórnia
e, e
suas, sua
lendas, lenda
:, :
`, `
`, `
Um, um
lugar, lugar
onde, ond
a, a
única, única
vantagem, vantagem
cultural, cultur
é, é
poder, poder
guiar, guiar
na, na
contramão, contramão
'', ''
., .

, 

