Para, ﻿para
evitar, evitar
o, o
transporte, transport
de, de
`, `
`, `
pianos, piano
'', ''
,, ,
a, a
Abav, abav
(, (
Associação, associação
Brasileira, brasileira
de, de
Agências, agência
de, de
Viagens, viagen
), )
lançou, lançou
uma, uma
campanha, campanha
para, para
conscientizar, conscientizar
os, os
passageiros, passageiro
a, a
diminuir, diminuir
o, o
volume, volum
da, da
bagagem, bagagem
de, de
mão, mão
., .

, 

Os, os
`, `
`, `
bins, bin
'', ''
,, ,
bagageiros, bagageiro
que, que
ficam, ficam
acima, acima
das, da
poltronas, poltrona
,, ,
abrigam, abrigam
uma, uma
bolsa, bolsa
por, por
passageiro, passageiro
de, de
até, até
115, 115
cm, cm
(, (
resultado, resultado
da, da
soma, soma
da, da
largura, largura
,, ,
altura, altura
e, e
comprimento, comprimento
), )
pesando, pesando
no, no
máximo, máximo
cinco, cinco
quilos, quilo
., .

, 

O, o
tamanho, tamanho
da, da
bagagem, bagagem
de, de
mão, mão
não, não
é, é
controlado, controlado
pelas, pela
companhias, companhia
aéreas, aérea
., .

, 

(, (
IS, is
), )

, 

