Segundo, ﻿segundo
a, a
pesquisa, pesquisa
Datafolha, datafolha
,, ,
46, 46
%, %
dos, do
turistas, turista
estrangeiros, estrangeiro
gostariam, gostariam
de, de
morar, morar
no, no
Brasil, brasil
., .

, 

Os, os
que, que
já, já
haviam, haviam
tomado, tomado
essa, essa
decisão, decisão
e, e
hoje, hoje
vivem, vivem
no, no
país, paí
têm, têm
em, em
comum, comum
,, ,
além, além
do, do
sotaque, sotaqu
,, ,
a, a
opinião, opinião
de, de
que, que
a, a
questão, questão
social, social
é, é
o, o
maior, maior
problema, problema
., .

, 

As, as
belezas, beleza
naturais, naturai
e, e
o, o
humor, humor
do, do
brasileiro, brasileiro
são, são
os, os
atrativos, atrativo
., .

, 

`, `
`, `
Acho, acho
que, que
é, é
hora, hora
de, de
diminuir, diminuir
a, a
diferença, diferença
entre, entr
as, as
classes, class
'', ''
,, ,
diz, diz
a, a
a, a
francesa, francesa
Dominique, dominiqu
Ketzinger, ketzing
,, ,
66, 66
,, ,
dona, dona
de, de
restaurante, restaurant
., .

, 

Antes, ant
de, de
desembarcar, desembarcar
no, no
Rio, rio
de, de
Janeiro, janeiro
,, ,
há, há
41, 41
anos, ano
,, ,
Dominique, dominiqu
não, não
sabia, sabia
quase, quas
nada, nada
sobre, sobr
o, o
Brasil, brasil
., .
`, `
`, `
Eu, eu
só, só
sabia, sabia
que, que
o, o
Rio, rio
tinha, tinha
uma, uma
beleza, beleza
fora, fora
do, do
comum, comum
., .
'', ''

, 

O, o
austríaco, austríaco
Thomas, thoma
Binder, binder
,, ,
30, 30
,, ,
ficou, ficou
impressionado, impressionado
com, com
o, o
que, que
viu, viu
nas, na
ruas, rua
de, de
São, são
Paulo, paulo
., .
`, `
`, `
Ver, ver
tantos, tanto
pobres, pobr
dá, dá
tristeza, tristeza
., .
'', ''

, 

Antes, ant
de, de
chegar, chegar
,, ,
Binder, binder
sabia, sabia
que, que
brasileiros, brasileiro
haviam, haviam
sido, sido
torturados, torturado
durante, durant
o, o
período, período
militar, militar
., .

, 

O, o
austríaco, austríaco
afirma, afirma
que, que
conviver, conviv
com, com
um, um
povo, povo
bem-humorado, bem-humorado
é, é
uma, uma
das, da
vantagens, vantagen
de, de
morar, morar
no, no
Brasil, brasil
., .
`, `
`, `
Na, na
Áustria, áustria
eles, ele
só, só
pensam, pensam
em, em
trabalho, trabalho
'', ''
,, ,
lembra, lembra
., .

, 

