Cuzco, ﻿cuzco
ainda, ainda
é, é
a, a
capital, capit
do, do
Império, império
Inca, inca
., .
É, é
ali, ali
que, que
começa, começa
os, os
que, que
os, os
peruanos, peruano
costumam, costumam
chamar, chamar
de, de
`, `
`, `
peregrinação, peregrinação
'', ''
., .
Ou, ou
seja, seja
,, ,
uma, uma
visita, visita
às, às
ruínas, ruína
desse, dess
império, império
,, ,
cujo, cujo
ponto, ponto
principal, princip
é, é
Machu, machu
Picchu, picchu
., .

, 

O, o
rio, rio
Urubamba, urubamba
passa, passa
a, a
se, se
chamar, chamar
Vilcanota, vilcanota
., .
As, as
plantações, plantaçõ
de, de
quinua, quinua
(, (
um, um
tipo, tipo
de, de
arroz, arroz
cultivado, cultivado
desde, desd
os, os
tempos, tempo
dos, do
incas, inca
), )
insinuam, insinuam
um, um
jardim, jardim
., .

, 

Em, em
cerimônias, cerimônia
milenares, milenar
pequenas, pequena
folhas, folha
de, de
coca, coca
são, são
esfareladas, esfarelada
ao, ao
vento, vento
e, e
oferecidas, oferecida
à, à
`, `
`, `
Pachamama, pachamama
'', ''
(, (
a, a
mãe, mãe
terra, terra
), )
., .

, 

Cidades, cidad
adormecidas, adormecida
nas, na
encostas, encosta
do, do
chamado, chamado
Vale, vale
Sagrado, sagrado
,, ,
como, como
Pisaq, pisaq
,, ,
Ollantaytambo, ollantaytambo
e, e
Yucay, yucay
,, ,
guardam, guardam
as, as
ruínas, ruína
incas, inca
de, de
tesouros, tesouro
saqueados, saqueado
., .

, 

Essas, essa
cidades, cidad
,, ,
que, que
vivem, vivem
basicamente, basicament
da, da
agricultura, agricultura
,, ,
encontraram, encontraram
no, no
turismo, turismo
uma, uma
de, de
suas, sua
maiores, maior
fontes, font
de, de
renda, renda
., .
Os, os
ambulantes, ambulant
estão, estão
por, por
toda, toda
a, a
parte, part
,, ,
vendendo, vendendo
camisetas, camiseta
,, ,
agasalhos, agasalho
,, ,
abridores, abridor
de, de
garrafa, garrafa
e, e
muitas, muita
histórias, história
., .

, 

Da, da
estação, estação
de, de
Ollantaytambo, ollantaytambo
,, ,
parte, part
o, o
trem, trem
para, para
Machu, machu
Picchu, picchu
., .
Nos, no
vagões, vagõ
,, ,
turistas, turista
tomam, tomam
todos, todo
os, os
lugares, lugar
_, _
há, há
dois, doi
trens, tren
,, ,
um, um
deles, dele
exclusivo, exclusivo
para, para
visitantes, visitant
., .
São, são
japoneses, japones
,, ,
americanos, americano
,, ,
europeus, europeu
., .
Viajam, viajam
em, em
silêncio, silêncio
,, ,
como, como
se, se
fossem, fossem
para, para
uma, uma
cerimônia, cerimônia
religiosa, religiosa
., .

, 

Os, os
trilhos, trilho
de, de
bitola, bitola
estreita, estreita
vão, vão
margeando, margeando
o, o
rio, rio
Vilcanota, vilcanota
_, _
continuação, continuação
do, do
Urubamba, urubamba
_, _
e, e
o, o
vale, vale
se, se
afunila, afunila
entre, entr
as, as
montanhas, montanha
com, com
cumes, cume
cobertos, coberto
de, de
neve, neve
., .

, 

Luzes, luze
filtradas, filtrada
pela, pela
rica, rica
e, e
colorida, colorida
vegetação, vegetação
_, _
afinal, afin
estamos, estamo
na, na
fronteira, fronteira
da, da
selva, selva
amazônica, amazônica
_, _
deixam, deixam
um, um
mistério, mistério
no, no
ar, ar
., .

, 

A, a
primeira, primeira
parada, parada
é, é
no, no
Machu, machu
Picchu, picchu
Pueblo, pueblo
Hotel, hotel
,, ,
um, um
estabelecimento, estabelecimento
novo, novo
,, ,
agradável, agradável
e, e
sem, sem
problemas, problema
com, com
água, água
quente, quent
a, a
exemplo, exemplo
do, do
que, que
ocorre, ocorr
em, em
muitos, muito
hotéis, hotéi
da, da
região, região
., .

, 

Fica, fica
a, a
800, 800
metros, metro
da, da
estação, estação
da, da
vila, vila
de, de
Machu, machu
Picchu, picchu
., .
É, é
dali, dali
que, que
um, um
ônibus, ônibu
subirá, subirá
a, a
montanha, montanha
em, em
direção, direção
ao, ao
santuário, santuário
inca, inca
., .

, 

O, o
antropólogo, antropólogo
Hiram, hiram
Bingham, bingham
,, ,
descobridor, descobridor
de, de
Machu, machu
Picchu, picchu
,, ,
disse, diss
que, que
sua, sua
beleza, beleza
é, é
incomparável, incomparável
e, e
apostou, apost
no, no
poder, poder
de, de
seu, seu
feitiço, feitiço
., .

, 

Cada, cada
pedra, pedra
tem, tem
seu, seu
símbolo, símbolo
., .
Tudo, tudo
tem, tem
uma, uma
explicação, explicação
que, que
empurra, empurra
o, o
viajante-peregrino, viajante-peregrino
para, para
outras, outra
questões, questõ
., .

, 

Todas, toda
as, as
montanhas, montanha
em, em
volta, volta
,, ,
os, os
cânions, cânion
,, ,
os, os
cumes, cume
nevados, nevado
quase, quas
podem, podem
ser, ser
tocados, tocado
com, com
as, as
mãos, mão
., .
História, história
e, e
geografia, geografia
conspiram, conspiram
com, com
os, os
deuses, deus
., .

, 

(, (
João, joão
Bittar, bittar
), )

, 

