Alberto, ﻿alberto
Fujimori, fujimori
foi, foi
reeleito, reeleito
presidente, president
do, do
Peru, peru
no, no
último, último
dia, dia
9, 9
de, de
abril, abril
porque, porqu
conseguiu, conseguiu
reduzir, reduzir
a, a
inflação, inflação
e, e
dar, dar
um, um
golpe, golp
de, de
morte, mort
nos, no
grupos, grupo
terroristas, terrorista
Sendero, sendero
Luminoso, luminoso
e, e
Tupac, tupac
Amaru, amaru
., .

, 

Em, em
cinco, cinco
anos, ano
,, ,
Fujimori, fujimori
derrotou, derrot
nas, na
urnas, urna
os, os
dois, doi
peruanos, peruano
mais, mai
famosos, famoso
fora, fora
do, do
país, paí
:, :
o, o
escritor, escritor
Mario, mario
Vargas, varga
Llosa, llosa
e, e
o, o
diplomata, diplomata
Javier, javier
Pérez, pérez
de, de
Cuellar, cuellar
,, ,
ex-secretário-geral, ex-secretário-ger
da, da
Organização, organização
das, da
Nações, naçõ
Unidas, unida
(, (
ONU, onu
), )
., .

, 

Nesse, ness
período, período
o, o
Peru, peru
também, também
travou, travou
uma, uma
guerra, guerra
de, de
fronteira, fronteira
,, ,
ainda, ainda
mal-explicada, mal-explicada
,, ,
com, com
o, o
Equador, equador
., .
Os, os
dois, doi
países, país
disputam, disputam
a, a
soberania, soberania
sobre, sobr
a, a
cordilheira, cordilheira
do, do
Condor, condor
,, ,
na, na
região, região
andina, andina
., .

, 

Ao, ao
assumir, assumir
a, a
Presidência, presidência
,, ,
Fujimori, fujimori
encontrou, encontr
um, um
país, paí
com, com
inflação, inflação
de, de
7.650, 7.650
%, %
ao, ao
ano, ano
e, e
o, o
PIB, pib
(, (
Produto, produto
Interno, interno
Bruto, bruto
), )
caindo, caindo
., .

, 

Em, em
1992, 1992
,, ,
guerrilheiros, guerrilheiro
do, do
Sendero, sendero
Luminoso, luminoso
explodiam, explodiam
bombas, bomba
em, em
Lima, lima
., .
Em, em
abril, abril
desse, dess
ano, ano
,, ,
um, um
golpe, golp
de, de
Estado, estado
deu, deu
a, a
Fujimori, fujimori
plenos, pleno
poderes, poder
., .
O, o
presidente, president
mandou, mandou
o, o
Exército, exército
fechar, fechar
o, o
Congresso, congresso
e, e
demitiu, demitiu
os, os
juízes, juíz
., .

, 

Fujimori, fujimori
argumentou, argument
que, que
precisava, precisava
dos, do
poderes, poder
para, para
consertar, consertar
a, a
economia, economia
e, e
combater, combat
o, o
terrorismo, terrorismo
., .

, 

O, o
programa, programa
de, de
estabilização, estabilização
baixou, baixou
a, a
inflação, inflação
para, para
apenas, apena
um, um
dígito, dígito
e, e
as, as
reformas, reforma
na, na
economia, economia
atraíram, atraíram
investimentos, investimento
externos, externo
., .

, 

A, a
receita, receita
peruana, peruana
é, é
semelhante, semelhant
à, à
da, da
maior, maior
parte, part
da, da
América, américa
Latina, latina
:, :
liberalização, liberalização
e, e
privatização, privatização
., .

, 

Mas, ma
as, as
reformas, reforma
não, não
conseguiram, conseguiram
eliminar, eliminar
a, a
pobreza, pobreza
crônica, crônica
., .
Segundo, segundo
o, o
Instituto, instituto
Cuanto, cuanto
,, ,
50, 50
%, %
dos, do
peruanos, peruano
vivem, vivem
abaixo, abaixo
da, da
linha, linha
da, da
pobreza, pobreza
., .

, 

Desde, desd
a, a
fundação, fundação
do, do
grupo, grupo
maoísta, maoísta
Sendero, sendero
Luminoso, luminoso
,, ,
pelo, pelo
menos, meno
30, 30
mil, mil
pessoas, pessoa
morreram, morreram
nas, na
ações, açõ
dos, do
rebeldes, rebeld
e, e
da, da
repressão, repressão
militar, militar
., .
Fundado, fundado
pelo, pelo
professor, professor
Abimael, abimael
Guzmán, guzmán
,, ,
o, o
grupo, grupo
chegou, chegou
a, a
ter, ter
entre, entr
5.000, 5.000
e, e
10, 10
mil, mil
combatentes, combatent
., .
O, o
primeiro, primeiro
golpe, golp
contra, contra
o, o
grupo, grupo
foi, foi
dado, dado
em, em
1992, 1992
,, ,
com, com
a, a
prisão, prisão
de, de
Guzmán, guzmán
., .

, 

Menos, meno
de, de
um, um
ano, ano
depois, depoi
,, ,
Fujimori, fujimori
apresentou, apresent
cartas, carta
que, que
teriam, teriam
sido, sido
enviadas, enviada
por, por
Guzmán, guzmán
nas, na
quais, quai
pede, pede
aos, ao
senderistas, senderista
que, que
deixem, deixem
a, a
luta, luta
., .
Centenas, centena
se, se
entregaram, entregaram
em, em
troca, troca
de, de
redução, redução
de, de
pena, pena
., .

, 

