Para, ﻿para
agradar, agradar
marinheiros, marinheiro
de, de
uma, uma
ou, ou
muitas, muita
viagens, viagen
fazem, fazem
parte, part
do, do
cotidiano, cotidiano
do, do
hotel, hotel
do, do
Frade, frade
toda, toda
sorte, sort
de, de
esportes, esport
náuticos, náutico
., .

, 

Mas, ma
para, para
aqueles, aquel
que, que
mesmo, mesmo
à, à
beira-mar, beira-mar
se, se
sentem, sentem
peixes, peix
fora, fora
d'água, d'água
,, ,
o, o
empreendimento, empreendimento
também, também
dispõe, dispõ
de, de
um, um
campo, campo
de, de
golfe, golf
com, com
18, 18
buracos, buraco
e, e
de, de
seis, sei
quadras, quadra
de, de
tênis, têni
frequentadas, frequentada
por, por
tenistas, tenista
como, como
Gabriela, gabriela
Sabatini, sabatini
,, ,
Jayme, jaym
Oncins, oncin
e, e
Luiz, luiz
Mattar, mattar
., .

, 

Quem, quem
não, não
dá, dá
bola, bola
para, para
golfe, golf
e, e
nem, nem
para, para
tênis, têni
pode, pode
tentar, tentar
hipismo, hipismo
ou, ou
canoagem, canoagem
,, ,
passear, passear
de, de
bicicleta, bicicleta
,, ,
explorar, explorar
uma, uma
floresta, floresta
pontilhada, pontilhada
por, por
cachoeiras, cachoeira
., .

, 

Deu, deu
fome, fome
?, ?
Além, além
dos, do
restaurantes, restaurant
do, do
hotel, hotel
,, ,
existem, existem
ainda, ainda
no, no
empreendimento, empreendimento
um, um
bistrô, bistrô
francês, francê
,, ,
o, o
Chez, chez
Dominique, dominiqu
,, ,
e, e
um, um
sushi-bar, sushi-bar
., .

, 

Ilha, ilha
da, da
fantasia, fantasia

, 

Localizado, localizado
no, no
km, km
123, 123
da, da
rodovia, rodovia
Rio-Santos, rio-santo
,, ,
o, o
Frade, frade
é, é
também, também
hotel-fazenda, hotel-fazenda
e, e
hotel, hotel
ecológico, ecológico
., .

, 

Áreas, área
que, que
já, já
foram, foram
ocupadas, ocupada
por, por
pastagens, pastagen
estão, estão
sendo, sendo
reflorestadas, reflorestada
com, com
palmeiras, palmeira
da, da
espécie, espéci
Bactris, bactri
Gasipaes, gasipa
(, (
conhecidas, conhecida
popularmente, popularment
como, como
pupunha, pupunha
), )
,, ,
nativas, nativa
da, da
Amazônia, amazônia
., .

, 

Ao, ao
contrário, contrário
das, da
palmeiras, palmeira
mais, mai
conhecidas, conhecida
,, ,
que, que
demoram, demoram
7, 7
anos, ano
para, para
crescer, crescer
e, e
que, que
são, são
boas, boa
para, para
um, um
único, único
corte, cort
,, ,
essa, essa
espécie, espéci
brota, brota
novamente, novament
dois, doi
anos, ano
depois, depoi
da, da
extração, extração
do, do
palmito, palmito
., .

, 

Um, um
outro, outro
restaurante, restaurant
dentro, dentro
do, do
empreendimento, empreendimento
,, ,
o, o
Morro, morro
do, do
Coco, coco
_, _
que, que
fica, fica
numa, numa
elevação, elevação
de, de
onde, ond
se, se
tem, tem
vista, vista
de, de
360, 360
graus, grau
e, e
aberto, aberto
aos, ao
não-hóspedes, não-hósped
_, _
tem, tem
no, no
cardápio, cardápio
a, a
salada, salada
com, com
o, o
palmito, palmito
pupunha, pupunha
desfiado, desfiado
., .

, 

Ingredientes, ingredient

, 

Atraídos, atraído
por, por
uma, uma
receita, receita
que, que
junta, junta
litoral, litor
,, ,
estrutura, estrutura
de, de
fazenda, fazenda
e, e
mata, mata
Atlântica, atlântica
até, até
onde, ond
a, a
vista, vista
alcança, alcança
,, ,
vêm, vêm
aos, ao
140, 140
apartamentos, apartamento
do, do
hotel, hotel
do, do
Frade, frade
cariocas, carioca
(, (
25, 25
%, %
), )
,, ,
paulistas, paulista
(, (
25, 25
%, %
), )
,, ,
brasileiros, brasileiro
de, de
outros, outro
Estados, estado
(, (
10, 10
%, %
), )
,, ,
argentinos, argentino
(, (
20, 20
%, %
), )
,, ,
outros, outro
latino-americanos, latino-americano
(, (
10, 10
%, %
), )
,, ,
norte-americanos, norte-americano
(, (
2, 2
%, %
), )
e, e
asiáticos, asiático
(, (
2, 2
%, %
), )
., .

, 

Cerca, cerca
de, de
30, 30
%, %
dos, do
hóspedes, hóspede
desse, dess
resort, resort
integram, integram
convenções, convençõ
_, _
o, o
hotel, hotel
pode, pode
sediar, sediar
eventos, evento
de, de
até, até
160, 160
pessoas, pessoa
., .

, 

Já, já
os, os
marinheiros, marinheiro
de, de
verdade, verdad
,, ,
que, que
vêm, vêm
com, com
seus, seu
próprios, próprio
barcos, barco
,, ,
têm, têm
o, o
Frade, frade
como, como
referência, referência
., .

, 

Com, com
marina, marina
