Universitário, ﻿universitário
do, do
curso, curso
de, de
Ciências, ciência
Econômicas, econômica
,, ,
e, e
funcionário, funcionário
de, de
uma, uma
loja, loja
de, de
eletrodomésticos, eletrodoméstico
,, ,
Estrella, estrella
disse, diss
que, que
também, também
a, a
qualidade, qualidad
da, da
comida, comida
e, e
o, o
jeito, jeito
`, `
`, `
muito, muito
amável, amável
'', ''
dos, do
brasileiros, brasileiro
são, são
um, um
diferencial, diferenci
em, em
relação, relação
à, à
o, o
que, que
acontece, acontec
na, na
Argentina, argentina
., .

, 

Antes, ant
de, de
conhecerem, conhecerem
o, o
Brasil, brasil
,, ,
o, o
que, que
sabiam, sabiam
do, do
país, paí
se, se
resumia, resumia
a, a
informações, informaçõ
de, de
agências, agência
de, de
viagem, viagem
., .

, 

A, a
cidade, cidad
catarinense, catarinens
de, de
Florianópolis, florianópoli
foi, foi
a, a
opção, opção
para, para
a, a
lua-de-mel, lua-de-mel
,, ,
por, por
conjugar, conjugar
mar, mar
,, ,
areia, areia
,, ,
montanhas, montanha
e, e
uma, uma
natureza, natureza
`, `
`, `
hermosa, hermosa
'', ''
(, (
formosa, formosa
), )
., .

, 

`, `
`, `
Não, não
temos, temo
nada, nada
disso, disso
., .
Em, em
Mar, mar
del, del
Plata, plata
,, ,
por, por
exemplo, exemplo
,, ,
não, não
há, há
montanhas, montanha
., .
A, a
costa, costa
é, é
aberta, aberta
,, ,
a, a
areia, areia
é, é
de, de
pedra, pedra
e, e
a, a
água, água
é, é
gelada, gelada
,, ,
mesmo, mesmo
no, no
verão, verão
'', ''
,, ,
diz, diz
Estrella, estrella
., .

, 

Rio, rio
de, de
Janeiro, janeiro

, 

Mônica, mônica
,, ,
secretária, secretária
e, e
também, também
universitária, universitária
,, ,
afirma, afirma
que, que
só, só
se, se
sentiu, sentiu
insegura, insegura
ao, ao
verificar, verificar
que, que
os, os
motoristas, motorista
de, de
ônibus, ônibu
dirigem, dirigem
em, em
alta, alta
velocidade, velocidad
,, ,
mesmo, mesmo
em, em
subidas, subida
e, e
descidas, descida
de, de
morros, morro
., .

, 

O, o
casal, casal
pensou, pensou
em, em
conhecer, conhec
o, o
Rio, rio
,, ,
mas, ma
acabou, acab
descartando, descartando
a, a
idéia, idéia
diante, diant
da, da
fama, fama
de, de
violência, violência
., .

, 

A, a
cidade, cidad
tem, tem
essa, essa
imagem, imagem
também, também
no, no
país, paí
de, de
origem, origem
do, do
casal, casal
,, ,
a, a
Argentina, argentina
,, ,
onde, ond
as, as
notícias, notícia
sobre, sobr
os, os
conflitos, conflito
no, no
Rio, rio
de, de
Janeiro, janeiro
chegam, chegam
constantemente, constantement
., .

, 

Eles, ele
esperam, esperam
voltar, voltar
para, para
mais, mai
uma, uma
visita, visita
ao, ao
Brasil, brasil
., .
Ele, ele
diz, diz
que, que
até, até
moraria, moraria
no, no
país, paí
,, ,
porque, porqu
as, as
pessoas, pessoa
são, são
simpáticas, simpática
e, e
não, não
parecem, parecem
de, de
maneira, maneira
alguma, alguma
ambiciosas, ambiciosa
., .

, 

Preços, preço

, 

Ela, ela
não, não
compartilha, compartilha
da, da
mesma, mesma
opinião, opinião
sobre, sobr
a, a
simpatia, simpatia
do, do
povo, povo
brasileiro, brasileiro
., .
Disse, diss
não, não
pensar, pensar
em, em
sair, sair
do, do
lugar, lugar
onde, ond
nasceu, nasceu
., .

, 

Ambos, ambo
afirmam, afirmam
que, que
as, as
políticas, política
governamentais, governamentai
nos, no
dois, doi
países, país
se, se
assemelham, assemelham
muito, muito
., .
Mas, ma
diferem, diferem
em, em
relação, relação
a, a
alguns, algun
aspectos, aspecto
econômicos, econômico
., .

, 

Dizem, dizem
que, que
os, os
preços, preço
no, no
Brasil, brasil
assustam, assustam
., .
`, `
`, `
Como, como
alguém, alguém
vive, vive
com, com
o, o
salário, salário
mínimo, mínimo
de, de
apenas, apena
R$, r$
100, 100
?, ?
A, a
comida, comida
e, e
as, as
roupas, roupa
são, são
muito, muito
mais, mai
caras, cara
do, do
que, que
na, na
Argentina, argentina
., .
Os, os
preços, preço
no, no
Brasil, brasil
estão, estão
loucos, louco
., .
E, e
não, não
apenas, apena
para, para
os, os
estrangeiros, estrangeiro
., .
Estão, estão
caros, caro
também, também
para, para
os, os
brasileiros, brasileiro
'', ''
,, ,
afirmou, afirm
Estrella, estrella
., .

, 

