À, ﻿à
primeira, primeira
vista, vista
é, é
possível, possível
notar, notar
que, que
Curaçao, curaçao
não, não
tem, tem
só, só
belas, bela
praias, praia
em, em
sua, sua
costa, costa
,, ,
mar, mar
e, e
Sol, sol
., .
Há, há
também, também
prédios, prédio
típicos, típico
da, da
arquitetura, arquitetura
caribenha, caribenha
., .
Cada, cada
um, um
deles, dele
conta, conta
um, um
pouco, pouco
da, da
história, história
da, da
colonização, colonização
da, da
ilha, ilha
., .

, 

As, as
construções, construçõ
antigas, antiga
_, _
a, a
maioria, maioria
recentemente, recentement
restauradas, restaurada
pelo, pelo
governo, governo
de, de
Curaçao, curaçao
_, _
são, são
de, de
típica, típica
arquitetura, arquitetura
do, do
período, período
da, da
colonização, colonização
holandesa, holandesa
., .

, 

A, a
ponte, pont
Queen, queen
Emma, emma
é, é
uma, uma
das, da
principais, principai
atrações, atraçõ
., .
Trata-se, trata-s
de, de
uma, uma
`, `
`, `
ponte, pont
flutuante, flutuant
'', ''
,, ,
que, que
abre, abr
e, e
fecha, fecha
(, (
em, em
determinado, determinado
tempo, tempo
fica, fica
encostada, encostada
a, a
uma, uma
das, da
margens, margen
do, do
canal, canal
), )
para, para
a, a
passagem, passagem
de, de
barcos, barco
e, e
navios, navio
., .
A, a
ponte, pont
abre, abr
e, e
fecha, fecha
cerca, cerca
de, de
40, 40
vezes, veze
por, por
dia, dia
., .

, 

Construída, construída
em, em
1888, 1888
,, ,
a, a
ponte, pont
fica, fica
na, na
entrada, entrada
do, do
porto, porto
da, da
baía, baía
de, de
Saint, saint
Anna, anna
e, e
separa, separa
as, as
duas, dua
principais, principai
áreas, área
de, de
Willemstad, willemstad
(, (
a, a
maior, maior
cidade, cidad
da, da
ilha, ilha
e, e
capital, capit
das, da
Antilhas, antilha
Holandesas, holandesa
):, ):
Punda, punda
e, e
Otrobanda, otrobanda
., .

, 

Outro, outro
importante, important
ponto, ponto
histórico, histórico
da, da
ilha, ilha
é, é
o, o
Forte, fort
Nassao, nassao
,, ,
construído, construído
em, em
1796, 1796
e, e
onde, ond
hoje, hoje
está, está
instalado, instalado
um, um
restaurante, restaurant
., .
O, o
forte, fort
fica, fica
a, a
uma, uma
altura, altura
de, de
60, 60
metros, metro
acima, acima
do, do
nível, nível
do, do
mar, mar
., .

, 

Do, do
forte, fort
,, ,
que, que
fica, fica
no, no
topo, topo
do, do
monte, mont
Ararat, ararat
,, ,
se, se
tem, tem
uma, uma
visão, visão
ampla, ampla
do, do
porto, porto
de, de
Curaçao, curaçao
,, ,
o, o
primeiro, primeiro
do, do
Caribe, carib
,, ,
e, e
das, da
refinarias, refinaria
de, de
petróleo, petróleo
que, que
ainda, ainda
existem, existem
na, na
cidade, cidad
., .

, 

Em, em
Curaçao, curaçao
vale, vale
uma, uma
visita, visita
à, à
primeira, primeira
sinagoga, sinagoga
do, do
Ocidente, ocident
,, ,
construída, construída
no, no
ano, ano
de, de
1732, 1732
., .

, 

No, no
local, local
ainda, ainda
há, há
uma, uma
réplica, réplica
do, do
cemitério, cemitério
Bet, bet
Chayim, chayim
,, ,
localizado, localizado
em, em
Israel, israel
., .

, 

Ainda, ainda
em, em
Punda, punda
é, é
possível, possível
conhecer, conhec
o, o
Mercado, mercado
Flutuante, flutuant
,, ,
um, um
porto, porto
em, em
que, que
os, os
barcos, barco
ficam, ficam
ancorados, ancorado
e, e
comercializam, comercializam
frutas, fruta
,, ,
legumes, legum
e, e
peixes, peix
exportados, exportado
principalmente, principalment
da, da
Venezuela, venezuela
., .

, 

A, a
viagem, viagem
de, de
barco, barco
entre, entr
Curaçao, curaçao
e, e
o, o
continente, continent
dura, dura
cerca, cerca
de, de
seis, sei
horas, hora
., .

, 

O, o
mercado, mercado
está, está
sendo, sendo
reformado, reformado
e, e
funciona, funciona
diariamente, diariament
das, da
6h, 6h
às, às
19h, 19h
., .
As, as
obras, obra
de, de
restauração, restauração
terminam, terminam
no, no
próximo, próximo
mês, mê
de, de
dezembro, dezembro
., .

, 

O, o
forte, fort
Amsterdã, amsterdã
é, é
atualmente, atualment
ocupado, ocupado
pelo, pelo
palácio, palácio
do, do
governo, governo
de, de
Curaçao, curaçao
,, ,
mas, ma
é, é
permitido, permitido
ao, ao
turista, turista
visitá-lo, visitá-lo
., .

, 

Ao, ao
lado, lado
fica, fica
a, a
praça, praça
`, `
`, `
Os, os
Arcos, arco
das, da
Águas, água
'', ''
,, ,
que, que
fazia, fazia
parte, part
do, do
forte, fort
e, e
onde, ond
funciona, funciona
hoje, hoje
um, um
centro, centro
comercial, comerci
., .

, 

(, (
Lélio, lélio
Pagioro, pagioro
), )

, 

