É, ﻿é
raro, raro
encontrar, encontrar
pacotes, pacot
exclusivos, exclusivo
para, para
Boston, boston
., .
A, a
cidade, cidad
aparece, aparec
em, em
programas, programa
pela, pela
Costa, costa
Leste, lest
dos, do
Estados, estado
Unidos, unido
e, e
Canadá, canadá
., .

, 

O, o
pacote, pacot
da, da
Advance, advanc
(, (
011-, 011-
259-2777, 259-2777
), )
é, é
uma, uma
das, da
exceções, exceçõ
., .
O, o
programa, programa
prevê, prevê
sete, sete
noites, noit
na, na
cidade, cidad
,, ,
além, além
de, de
aluguel, aluguel
de, de
um, um
carro, carro
., .
Custa, custa
US$, us$
1.545, 1.545
por, por
pessoa, pessoa
,, ,
incluindo, incluindo
a, a
passagem, passagem
aérea, aérea
., .

, 

Não, não
faltam, faltam
opções, opçõ
de, de
hotéis, hotéi
em, em
Boston, boston
., .
Só, só
na, na
área, área
metropolitana, metropolitana
são, são
35, 35
., .
Uma, uma
boa, boa
maneira, maneira
de, de
decidir, decidir
onde, ond
ficar, ficar
é, é
pela, pela
localização, localização
., .

, 

Os, os
vários, vário
hotéis, hotéi
concentrados, concentrado
em, em
Back, back
Bay, bay
permitem, permitem
bons, bon
passeios, passeio
a, a
pé, pé
,, ,
dispensando, dispensando
o, o
metrô, metrô
., .

, 

Um, um
deles, dele
,, ,
o, o
Boston, boston
Park, park
Plaza, plaza
(, (
veja, veja
quadro, quadro
), )
,, ,
agrada, agrada
também, também
aos, ao
politicamente, politicament
corretos, correto
com, com
seu, seu
programa, programa
de, de
controle, control
ambiental, ambient
., .

, 

O, o
hotel, hotel
eliminou, elimin
o, o
uso, uso
de, de
aerossol, aerossol
,, ,
recicla, recicla
papel, papel
e, e
listas, lista
telefônicas, telefônica
,, ,
além, além
de, de
doar, doar
alimentos, alimento
e, e
móveis, móvei
para, para
moradores, morador
locais, locai
., .

, 

O, o
hóspede, hóspede
não, não
perde, perd
nada, nada
., .
A, a
única, única
diferença, diferença
nos, no
serviços, serviço
é, é
que, que
o, o
hotel, hotel
,, ,
procurando, procurando
reduzir, reduzir
o, o
números, número
de, de
embalagens, embalagen
plásticas, plástica
,, ,
colocou, coloc
recipientes, recipient
fixos, fixo
de, de
xampu, xampu
e, e
espumas, espuma
de, de
banho, banho
., .

, 

Quem, quem
prefere, prefer
ficar, ficar
próximo, próximo
ao, ao
aeroporto, aeroporto
,, ,
tem, tem
como, como
opção, opção
o, o
confortável, confortável
Harborside, harborsid
Hyatt, hyatt
., .

, 

(, (
Luciana, luciana
Veit, veit
), )

, 

A, a
Mandala, mandala
(, (
011-257-2558, 011-257-2558
), )
e, e
Soletur, soletur
(, (
011-231-4244, 011-231-4244
), )
têm, têm
pacotes, pacot
pela, pela
Costa, costa
Leste, lest
dos, do
EUA, eua
e, e
Canadá, canadá
com, com
apenas, apena
um, um
pernoite, pernoit
em, em
Boston, boston
., .
Preços, preço
de, de
US$, us$
775, 775
a, a
US$, us$
819, 819
,, ,
sem, sem
vôo, vôo
., .

, 

