Até, ﻿até
o, o
ano, ano
passado, passado
a, a
corrida, corrida
das, da
500, 500
Milhas, milha
era, era
a, a
única, única
competição, competição
anual, anual
no, no
autódromo, autódromo
Indianapolis, indianapoli
Motor, motor
Speedway, speedway
., .

, 

Mas, ma
em, em
agosto, agosto
de, de
94, 94
foi, foi
introduzida, introduzida
uma, uma
nova, nova
corrida, corrida
,, ,
a, a
Brickyard, brickyard
400, 400
,, ,
de, de
`, `
`, `
stock, stock
cars, car
'', ''
da, da
qual, qual
participaram, participaram
85, 85
carros, carro
., .

, 

A, a
competição, competição
tornou-se, tornou-s
o, o
segundo, segundo
evento, evento
esportivo, esportivo
de, de
um, um
dia, dia
no, no
mundo, mundo
,, ,
ultrapassando, ultrapassando
a, a
disputa, disputa
pela, pela
primeira, primeira
posição, posição
nas, na
500, 500
Milhas, milha
., .

, 

Este, est
ano, ano
a, a
segunda, segunda
edição, edição
da, da
corrida, corrida
acontece, acontec
no, no
dia, dia
5, 5
de, de
agosto, agosto
., .
O, o
autódromo, autódromo
também, também
é, é
,, ,
desde, desd
1993, 1993
,, ,
palco, palco
de, de
um, um
campeonato, campeonato
de, de
golfe, golf
., .

, 

