A, ﻿a
pesquisa, pesquisa
Datafolha, datafolha
mostra, mostra
que, que
a, a
imagem, imagem
que, que
os, os
turistas, turista
fazem, fazem
do, do
Brasil, brasil
é, é
multifacetada, multifacetada
., .

, 

Segundo, segundo
os, os
dados, dado
,, ,
o, o
país, paí
abriga, abriga
gente, gent
cordial, cordial
e, e
é, é
dono, dono
de, de
uma, uma
miséria, miséria
que, que
incomoda, incomoda
tanto, tanto
os, os
olhos, olho
locais, locai
quanto, quanto
os, os
vindos, vindo
de, de
fora, fora
., .

, 

Para, para
os, os
estrangeiros, estrangeiro
,, ,
a, a
beleza, beleza
natural, natur
e, e
a, a
imagem, imagem
de, de
um, um
país, paí
exuberante, exuberant
e, e
exótico, exótico
continuam, continuam
sendo, sendo
o, o
principal, princip
chamariz, chamariz
., .

, 

As, as
respostas, resposta
à, à
pergunta, pergunta
sobre, sobr
a, a
primeira, primeira
imagem, imagem
que, que
vinha, vinha
à, à
cabeça, cabeça
desses, dess
turistas, turista
quando, quando
pensavam, pensavam
no, no
Brasil, brasil
antes, ant
de, de
viajar, viajar
são, são
prova, prova
disso, disso
(, (
veja, veja
quadro, quadro
ao, ao
lado, lado
), )
., .

, 

Terminada, terminada
a, a
viagem, viagem
,, ,
28, 28
%, %
dos, do
estrangeiros, estrangeiro
saem, saem
daqui, daqui
tendo, tendo
como, como
primeira, primeira
idéia, idéia
os, os
aspectos, aspecto
sociais, sociai
negativos, negativo
., .

, 

E, e
esse, ess
tipo, tipo
de, de
impressão, impressão
se, se
impregna, impregna
de, de
maneira, maneira
tão, tão
forte, fort
nos, no
estrangeiros, estrangeiro
que, que
32, 32
%, %
deles, dele
apontaram, apontaram
a, a
miséria, miséria
e, e
pobreza, pobreza
brasileiros, brasileiro
como, como
aquilo, aquilo
que, que
mais, mai
detestaram, detestaram
em, em
suas, sua
visitas, visita
ao, ao
país, paí
., .

, 

Brasileiros, brasileiro
e, e
estrangeiros, estrangeiro
concordam, concordam
quanto, quanto
ao, ao
melhor, melhor
do, do
país, paí
:, :
as, as
praias, praia
e, e
a, a
hospitalidade, hospitalidad
., .
O, o
próprio, próprio
brasileiro, brasileiro
se, se
espantou, espant
com, com
a, a
recepção, recepção
encontrada, encontrada
., .
Em, em
pergunta, pergunta
sobre, sobr
o, o
que, que
mais, mai
surpreendeu, surpreendeu
na, na
viagem, viagem
,, ,
13, 13
%, %
de, de
estrangeiros, estrangeiro
e, e
brasileiros, brasileiro
escolheram-na, escolheram-na
., .

, 

As, as
respostas, resposta
dos, do
turistas, turista
estrangeiros, estrangeiro
mostram, mostram
que, que
não, não
é, é
mero, mero
folclore, folclor
a, a
idéia, idéia
de, de
que, que
o, o
Rio, rio
de, de
Janeiro, janeiro
e, e
a, a
beleza, beleza
das, da
mulheres, mulher
são, são
símbolos, símbolo
nacionais, nacionai
reconhecidos, reconhecido
no, no
mundo, mundo
todo, todo
., .

, 

Também, também
são, são
os, os
estrangeiros, estrangeiro
os, os
mais, mai
otimistas, otimista
quanto, quanto
ao, ao
futuro, futuro
do, do
Brasil, brasil
., .
Entre, entr
os, os
brasileiros, brasileiro
,, ,
31, 31
%, %
não, não
acreditam, acreditam
que, que
o, o
país, paí
passe, pass
para, para
o, o
Primeiro, primeiro
Mundo, mundo
contra, contra
24, 24
%, %
dos, do
estrangeiros, estrangeiro
., .

, 

Para, para
melhorar, melhorar
o, o
país, paí
,, ,
32, 32
%, %
dos, do
estrangeiros, estrangeiro
e, e
48, 48
%, %
dos, do
brasileiros, brasileiro
acreditam, acreditam
que, que
é, é
preciso, preciso
investir, investir
na, na
educação, educação
., .

, 

